census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14
250,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,0,0,0,0,0,1,3,3,2,3,7,5,0,5,0,3,3,1,0,3,3,2,0,45,3,0,3,3,0,0,1,1,0,0,0,0,0,46,13,7,4,4,1,2,7,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,7,25,2,0,0,0,0,0,0,0,0,6,19,20,11,24,11,11,3,9,4,15,7,0,0,94,15,7,6,2,3,1,3,1,1,8,11,9,0,31,4,0,0,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,7,15,25,9,3,1,1,0,1,40
251,3,2,2,1,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,5,9,5,1,3,20,27,0,0,0,0,0,2,11,5,6,3,2,18,27,17,35,10,7,8,8,2,3,2,3,10,8,1,4,11,0,40,5,8,12,10,6,8,8,10,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,35,2,0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,0,0,5,10,20,8,5,9,16,22,28,17,27,46,11,8,6,7,4,10,13,8,16,34,52,31,106,7,0,0,0,0,0,0,0,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,9,23,22,52,19,18,1,0,0,0,20
252,3,1,2,1,1,1,21900,479,239,212,210,150,215,126,253,237,383,649,1919,18526,20414,653,378,307,274,348,205,325,472,366,686,1498,2869,16654,18298,863,746,670,631,487,618,548,738,855,1098,1493,2479,15965,12175,2238,1290,923,884,708,849,735,805,944,1169,1467,2099,19428,29969,5220,2451,2144,1852,1931,1646,1147,707,502,191,55,10,1,43647,5121,320,57,4,3,0,0,0,0,0,0,0,0,43643,5177,272,53,4,3,0,0,0,0,0,0,0,0,27291,5600,2620,1817,1405,1549,1777,1975,1382,932,429,95,5,2,17405,2457,1553,1144,1001,1185,985,1089,983,1148,1339,1748,1761,12313,9288,3501,3426,3026,7076,922,612,522,506,321,259,306,869,12715,1444,823,646,511,425,425,349,308,341,387,404,563,1889,27130,34186,5619,324,96,39,16,9,8,7,1,5,1,0,1
253,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,5,2,0,0,0,0,0,0,0,5,5,0,6,9,8,2,12,12,5,3,2,2,0,0,2,1,1,2,0,0,0,15,2,9,5,7,4,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,0,0,0,0,0,0,0,0,0,0,0,2,12,6,0,0,0,0,0,2,17,4,5,18,11,10,10,0,0,19,5,0,0,5,5,4,14,6,5,9,11,1,38,1,0,0,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,3,7,15,21,5,0,0,0,0,10
254,3,2,2,1,2,1,224405,3275,389,117,56,33,22,26,20,33,24,49,61,206,201905,19373,5323,1182,385,98,47,34,29,31,37,45,77,150,215023,9423,2785,778,229,107,45,35,31,23,32,37,69,99,27460,13193,8783,7727,6968,7102,7582,9198,8855,10012,12258,16003,23651,69924,74581,50734,25086,17180,14390,12991,10232,8515,6893,4874,2439,646,60,95,367,100786,100286,23251,3098,697,200,31,0,0,0,0,0,0,371,102326,99125,23608,2470,605,183,28,0,0,0,0,0,0,122482,53488,28431,12990,5360,2867,1357,767,452,226,98,53,46,99,75984,25320,16103,11873,9166,10523,9677,9699,9748,10061,13871,16787,9551,353,14,6,25,34,73,89,139,219,248,401,697,1644,5719,219408,45405,24724,18941,16007,14234,12390,11388,10250,10629,10854,10929,12058,25059,5848,68620,140048,12563,4368,1839,771,294,111,55,21,12,10,4,0
255,3,2,3,1,2,1,156668,2231,462,245,176,69,102,113,49,128,83,258,452,1893,156381,5250,1411,476,286,169,68,123,132,100,170,307,600,1422,153782,7407,3124,1643,1193,519,392,163,184,165,199,316,529,1040,61965,17208,9490,6953,6822,6790,4361,6544,6261,5950,5803,10038,10184,15884,102574,36112,13709,8273,6344,3815,2879,2691,2316,1493,1308,911,528,968,39352,147234,1818,179,51,30,16,16,7,3,3,1,0,0,42235,144749,1430,186,40,28,14,14,7,3,3,1,0,0,129485,22422,10463,5319,3163,2532,2214,1089,858,511,483,389,513,976,95025,16008,9887,8860,4054,6908,2838,2572,3804,2592,2193,1524,1131,1644,30,166,426,746,1467,829,1266,1358,1637,2146,3343,6801,17450,132991,19223,11749,11100,10961,8617,8561,6989,6779,6366,6779,8750,10944,36714,13363,81834,58314,10027,6100,4793,3830,2360,1675,1267,1059,880,869,773,472
257,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,3,0,3,2,1,0,2,3,2,2,3,0,4,1,4,2,2,2,33,7,2,0,0,0,0,0,0,2,3,2,0,0,17,24,9,7,8,1,0,1,2,4,4,0,0,0,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0,0,0,0,0,0,0,0,0,0,0,8,16,20,14,26,31,19,14,24,3,15,19,1,100,34,18,5,4,7,16,9,8,5,1,4,32,2,31,3,0,0,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,3,20,26,6,4,2,0,0,41
259,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13,30,11,48,43,0,0,0,0,0,0,0,20,59,31,15,63,90,23,173,43,61,27,21,19,16,36,17,16,24,17,18,16,0,63,113,30,42,47,43,32,53,37,31,26,9,6,0,0,0,0,0,5,10,59,35,47,2,0,0,0,0,0,0,0,0,6,17,44,41,54,0,0,0,0,0,0,0,3,9,19,96,72,44,45,78,106,72,30,36,85,73,19,27,9,15,17,23,40,36,68,99,34,327,31,1,0,0,0,0,0,0,0,0,0,0,290,540,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,2,11,33,219,196,59,32,18,6,4,44
261,1,2,1,1,1,1,170403,11556,1797,663,392,286,176,162,144,171,166,295,503,1958,140536,32591,7631,1407,715,311,272,146,200,169,225,336,618,1520,158151,17303,4141,1171,656,356,301,231,167,160,214,279,457,1093,23954,11026,8567,6007,5896,4841,6227,7248,6846,7866,10616,14194,22036,47335,42476,32719,23486,19601,15893,13696,9948,7559,5302,2845,1223,706,412,1081,991,78880,48477,41248,3578,643,206,42,9,4,1,0,0,0,1111,81399,46857,41711,2209,599,143,37,8,4,1,0,0,0,68693,57335,29424,11519,4337,2266,1230,935,705,561,461,390,341,779,55973,19106,14596,11042,10520,11386,12588,9714,10150,8237,10745,9905,5062,1917,228,67,196,293,346,378,487,762,1021,1345,2330,5610,16150,153446,20497,19317,17024,15143,14216,12196,9620,7915,7391,7480,7974,9897,22358,5919,27266,99196,25577,10670,5819,3497,1842,915,582,356,294,280,279,374
262,1,2,3,1,2,1,68974,81575,20205,4518,2366,998,554,292,96,42,30,55,104,258,121835,43230,8566,2800,1653,883,414,165,83,45,42,74,105,172,137060,27764,8329,2795,1751,975,595,321,127,62,37,54,101,96,26440,17415,13177,10314,10937,9541,11019,9180,10463,9798,12031,13985,14691,11076,55382,43347,22917,17042,12222,9239,7041,4832,3358,2185,1447,682,248,124,174,173276,5357,1009,199,30,4,0,0,0,0,0,0,0,177,173129,5390,1129,194,26,4,0,0,0,0,0,0,0,85959,48534,22600,8836,4630,3009,2048,1402,1065,849,627,341,125,41,63155,30674,18328,13292,12292,11025,6434,7962,7532,4458,3186,1339,197,198,0,14,27,87,245,597,1353,1880,2383,3364,5681,12044,33061,119331,6470,8391,10381,11212,11750,10670,9892,9298,9907,11038,14043,18831,38633,9550,22932,94871,32546,11560,5831,3632,2519,1815,1353,903,600,452,478,574
263,1,2,2,1,1,1,130581,8303,1120,417,151,85,36,27,25,13,6,11,22,21,122319,14239,2552,720,426,217,124,71,44,38,22,18,21,7,108782,20486,7003,2199,1103,534,331,180,101,50,23,15,9,2,37886,13652,8647,5799,5763,4817,5646,5121,6134,6168,7970,9842,11719,11654,52168,22033,12210,10254,8931,8596,7263,6018,5124,3795,2775,1295,304,52,16687,119416,3460,752,245,138,89,20,10,1,0,0,0,0,16836,119153,3509,825,241,131,92,21,8,2,0,0,0,0,63892,26963,20583,11265,6712,3968,2676,1726,1220,843,546,336,78,10,67203,15890,9579,7626,7476,7240,4593,5827,6076,4131,3215,1712,234,16,0,14,21,76,144,239,463,844,1296,2270,4229,9946,28542,92734,31626,12103,9426,7527,6560,5541,5067,4425,4706,5165,6258,8714,25465,8235,18764,55441,29235,15882,8423,4936,3049,1853,1237,715,410,305,259,309
264,1,2,2,1,1,1,45053,80722,33211,9384,3813,1321,749,624,472,477,456,789,1513,3354,99324,58299,11705,3122,1601,1002,652,467,380,405,473,948,1668,1892,131267,31815,7918,2682,1513,927,644,535,468,522,579,826,1206,1036,25145,14912,11443,8890,9435,8656,10638,9231,10585,10306,12767,15215,17660,17055,50537,42854,24650,18757,13786,10183,6995,4475,3072,2104,1711,1203,715,896,182,177786,3249,517,146,43,13,1,0,0,0,0,1,0,183,177714,3282,551,148,46,12,1,0,1,0,0,0,0,80032,53784,23862,8368,4360,2674,1934,1339,1121,1053,901,919,811,780,55545,27357,17633,13417,12994,11549,6955,9197,9292,6250,5015,3009,1821,1904,1409,467,490,471,685,1024,1388,1892,2482,3180,5214,11277,34660,117299,4981,6448,8820,9785,10926,10719,10291,10136,11020,12742,15631,19621,39514,11304,21691,100880,30979,11782,5922,3981,2705,1369,762,495,323,254,321,474
265,1,2,3,1,2,1,18037,24705,9159,6639,6872,5135,4951,6129,3860,3758,1085,124,10,0,30306,22002,9850,5630,5756,5506,4642,3294,2240,1023,194,16,5,0,40329,14991,9590,5775,5544,4663,4133,3122,1588,616,102,9,2,0,6929,6107,6757,6826,9122,8799,10094,6706,5575,3901,4027,4576,5535,5510,12459,12928,10897,11043,9631,8778,6899,5440,4668,4301,2933,471,14,2,237,77327,12871,29,0,0,0,0,0,0,0,0,0,0,241,76030,14160,33,0,0,0,0,0,0,0,0,0,0,19734,20757,16725,7976,5723,4890,4640,4136,3466,1900,462,44,9,2,15111,12815,12671,10529,9801,8262,4841,6042,5167,2743,1849,606,27,0,34,198,233,341,656,1594,3690,4742,5188,5746,6592,8566,14657,38227,2092,5559,7246,7946,8151,7840,7291,6485,6572,6286,6409,6299,9373,2915,4773,28041,16569,8605,6673,5653,4833,3823,3214,2634,2066,1803,1526,251
266,3,2,3,1,2,1,218032,6482,1124,482,331,227,158,148,155,116,132,196,359,637,201516,18456,3971,1221,707,400,368,233,249,202,195,275,398,388,181871,26455,10609,3760,2040,1100,729,467,392,249,199,247,267,194,68842,22450,13684,8921,8699,7149,8601,8028,8908,9227,12249,15183,18732,17906,92845,37949,19656,15402,13347,12205,9982,8223,6827,5228,3918,2021,681,295,33310,192300,2616,294,43,16,0,0,0,0,0,0,0,0,34752,190997,2476,303,40,11,0,0,0,0,0,0,0,0,115338,43046,28505,14958,9374,6154,3931,2668,1658,1225,776,509,308,129,118740,23228,14038,10472,11216,10184,8413,8172,8884,5811,4787,2953,1135,546,16,50,144,280,441,507,995,1655,2331,3747,6714,15663,45091,150945,44781,20273,15683,12342,10746,9333,8294,7507,7844,8768,10584,14920,43455,14049,34345,95764,43225,22522,13239,8123,4613,2737,1585,919,547,386,330,244
267,3,2,2,1,1,1,266197,7458,1451,628,229,84,36,20,14,11,17,26,44,86,244198,22932,5344,1868,943,387,248,122,77,28,28,32,52,42,232840,26958,8905,3521,1862,848,612,347,203,67,51,31,32,24,82616,22204,14554,9208,8786,6637,8390,8454,8975,8844,11997,15748,25859,44029,115769,41929,22003,17562,16272,15327,13576,11074,8930,6300,4369,2235,817,138,37664,217299,13987,4857,1279,449,243,203,150,87,61,22,0,0,40386,216162,12507,5061,1034,451,212,182,134,85,68,19,0,0,142600,54233,35175,17773,9816,5450,3454,2603,1837,1538,1045,667,92,18,138503,22791,14427,9373,12370,9379,12467,9007,13388,11351,12343,9273,1584,45,42,72,86,237,450,519,1261,1928,2624,3979,7197,14789,36297,206820,65560,25342,17579,12922,10876,9325,8485,7767,8059,9465,11185,15760,51397,22579,59485,126196,42631,19760,10921,6532,3940,2371,1506,1026,625,476,424,408
270,1,2,3,1,2,1,147353,12836,2277,874,451,207,139,104,64,58,51,62,120,183,142309,16174,3139,1086,689,408,258,182,105,69,58,101,109,92,129041,22764,7143,2315,1369,787,495,323,198,97,59,67,88,33,35339,18167,12678,8871,9168,7854,9359,7809,9099,8731,10530,11043,9789,6342,53246,33541,18657,14937,12412,11065,8172,5250,3382,2079,1282,519,174,63,14047,147194,3185,286,49,14,3,1,0,0,0,0,0,0,14108,146859,3435,308,52,12,4,1,0,0,0,0,0,0,71123,39461,26795,12086,6101,3352,2216,1386,999,638,349,176,75,22,75135,25403,15358,11287,10420,8596,4614,5141,4067,2235,1420,784,229,90,72,169,261,358,493,554,899,1320,1925,2860,4745,10162,32869,108092,19774,16357,14144,11584,10329,8761,7761,6737,7286,7589,9130,11795,24994,8538,16379,68284,35984,19367,10270,5815,3404,2049,1260,777,466,325,264,135
272,1,2,2,1,1,1,239084,50456,31912,19798,16120,11051,7409,2713,4704,1487,1017,244,170,373,237073,71171,37097,13120,9232,6840,6451,2629,1486,768,139,125,137,270,196169,80251,43234,24490,14875,10809,7866,5163,2506,642,159,79,101,194,95547,55969,40432,24632,27137,17403,18935,17740,16809,15901,15123,15890,14564,10456,105040,62566,37508,29262,27849,26244,22998,21850,18051,15588,12066,6110,1122,284,21768,320394,36483,5216,1477,738,323,103,27,9,0,0,0,0,22360,325107,31443,5330,1219,730,238,78,24,8,1,0,0,0,127588,71122,51702,38267,24914,17677,15701,12367,10781,7757,6058,2203,264,137,172407,54353,48811,24533,28556,17827,14078,10913,6794,4364,2295,1063,292,252,48,234,989,2729,4959,8942,11530,14828,18675,24365,31939,48196,77143,141961,63619,42384,34424,27418,23044,19607,16883,14948,14194,15373,17713,23650,58750,14531,29977,103081,57752,41245,31338,24903,19984,15273,12545,10459,8265,8300,9827,13589
273,1,2,1,1,1,1,77611,26537,28083,25729,30186,33607,38034,26680,68847,38688,40856,22874,2307,4435,97916,65022,85611,59254,53573,45713,38016,7661,2443,2232,1136,1353,1430,3114,106489,131631,151652,46913,10859,5181,2853,1700,1439,895,795,760,838,2469,65984,59001,49567,33300,41965,22865,29462,27664,25137,28447,24372,25235,18814,12661,145347,110714,61063,41094,34845,26264,16237,10447,6309,4580,3162,1665,849,1898,6316,442233,13638,1523,454,166,84,34,19,4,3,0,0,0,7066,444217,10994,1549,366,168,58,31,17,4,4,0,0,0,194922,136440,69716,26246,11805,6560,5538,3881,3059,1876,1504,896,501,1530,120741,65549,77010,30006,50037,25461,36583,25736,10247,12005,3905,2707,1500,2987,254,767,1237,1691,2753,3900,7467,13108,21968,37933,66588,102404,107404,97000,6758,7937,9322,10837,12809,14746,17266,19698,22676,27794,37590,57773,178150,41118,61415,183172,109349,46296,21923,13646,9296,5781,4028,2971,2162,1693,1516,1226
274,1,2,2,1,1,1,72282,80298,74096,45514,42473,37757,33983,21896,42110,11578,6199,4561,6611,25222,110293,138236,110141,50715,30136,13127,8812,4335,3192,3133,2351,4002,7785,18322,123042,216447,80585,22595,11554,7944,6022,4492,2978,2367,2644,3838,6900,13172,59582,65454,54457,34815,43356,23380,30825,29030,26601,30410,26289,28819,26302,25260,113976,106350,66309,46797,41556,33894,24558,17959,12037,9908,8732,6439,4613,11452,1967,468452,29103,3667,866,337,126,42,14,6,0,0,0,0,3243,471460,24961,3750,696,313,101,37,13,4,2,0,0,0,160295,143855,79504,35978,18164,10775,9847,7619,7107,5780,5610,4771,4981,10294,135459,76892,83023,29167,46947,23164,30861,21121,8743,12752,5652,5605,8236,16958,191,6287,6269,5823,6223,7927,9232,11969,17135,26761,45503,89893,157143,114224,11693,17623,21730,22826,24863,24605,24699,25582,26688,31275,41399,62778,147578,21241,32715,160866,126429,54609,32095,23897,20315,16243,10740,6684,4528,4186,4816,6457
275,1,2,2,1,2,1,0,0,24,113,657,5126,7277,4025,11504,6329,9758,8207,1,0,1,1969,7375,3548,5642,6407,8016,5215,5827,8127,888,6,0,0,1,6690,5430,7377,6982,6078,5821,7126,6370,1117,29,0,0,0,18904,13710,11537,4413,2697,610,525,291,141,114,49,20,10,0,13980,3487,2790,3143,3603,3459,3142,3455,3517,4664,5554,2158,68,1,0,37548,15230,173,32,21,12,5,0,0,0,0,0,0,0,40452,12341,170,22,22,9,5,0,0,0,0,0,0,12701,3824,3216,3790,3489,2784,3489,3242,3976,5028,5916,1548,17,1,16671,5320,9719,4123,8349,3578,4046,962,126,100,25,2,0,0,5572,3026,5902,8681,7420,7957,5543,3673,2251,1564,920,350,152,10,242,1622,3095,3780,3608,2919,2693,2473,2650,3121,3935,4553,8247,10083,3507,5458,4196,3192,2543,2550,2863,2891,2727,2361,2168,2447,4100,12018
276,1,2,2,1,2,1,74,1316,1985,1819,2495,4135,6801,4619,17231,12243,16408,9636,7,0,572,3041,6165,4882,6563,8339,14754,10689,10142,12147,1441,34,0,0,555,3515,5681,9007,11076,12322,11662,11032,10490,3272,149,8,0,0,13860,24452,21992,9073,5402,1310,1210,684,390,257,84,49,6,0,6629,5949,4379,4083,5159,6062,6101,6934,6390,7560,9884,8522,1105,12,0,52272,25497,722,169,62,37,5,5,0,0,0,0,0,0,57987,19852,699,129,67,27,3,5,0,0,0,0,0,5952,6034,4933,5831,6198,5686,7008,6454,6978,7334,10581,5696,81,3,11756,10244,17904,7938,14859,5800,7159,2370,327,327,66,19,0,0,1071,1650,6709,14684,11595,12236,10524,7795,4682,2902,1974,1811,1044,92,1467,7305,8928,7644,6496,5224,4864,4297,4397,4993,5333,5467,9483,2871,812,3166,3680,3538,3554,3862,4836,4915,4875,4477,3933,4294,5989,26838
277,3,2,3,3,3,2,0,0,1,1,0,141,1694,3972,5572,8149,7477,4690,782,759,1,20,2376,5514,6109,6981,4657,2830,1657,1306,703,282,739,63,0,3993,13431,6989,3020,1834,1279,800,658,423,229,368,214,0,772,3370,6848,5605,4013,2811,2114,1792,1474,1375,1300,1052,606,106,5527,9006,5634,4128,3062,1803,1100,831,623,664,613,177,59,11,0,30228,2995,15,0,0,0,0,0,0,0,0,0,0,0,29806,3420,12,0,0,0,0,0,0,0,0,0,0,9162,10657,5821,2382,1273,991,709,527,549,673,246,163,75,10,1442,4430,7748,5140,4531,4261,2191,1380,733,364,256,330,416,16,4,79,48,272,675,1270,1948,2400,3047,4249,6650,7377,5003,216,0,11,30,69,283,561,560,785,1129,1797,3188,5941,17677,1207,1211,9892,9560,4100,2385,1861,1276,855,561,391,306,281,514,45
278,1,2,3,1,2,1,573,1984,3114,3829,4682,5028,5962,4078,16748,15488,25284,15050,60,0,1665,5014,7774,5249,6782,8372,16947,15180,16349,16749,1776,23,0,0,1269,5198,7270,9544,11607,13002,15091,19532,16496,2779,91,1,0,0,18279,42200,25165,6638,4242,1243,1323,956,741,649,293,124,27,0,7590,5491,5804,6873,7618,7560,7872,9933,10544,12236,13288,6575,487,9,0,53047,47210,1273,228,91,29,2,0,0,0,0,0,0,0,60291,40104,1192,191,83,18,1,0,0,0,0,0,0,6982,5441,5238,7045,7884,6842,8247,8539,12634,13884,14747,4287,107,3,13870,11690,28728,11965,20866,6784,5991,1491,256,205,30,4,0,0,1657,4336,16251,21340,13450,12960,8986,5956,4306,3821,3569,3165,1864,219,1950,9079,9963,8917,8542,7050,7190,6135,5922,6338,7206,8449,11864,3275,667,3850,3753,3558,3875,4555,6020,6554,6127,5628,5124,6320,11090,34759
279,1,2,2,1,1,1,306400,127325,44587,10359,3215,1148,494,140,109,18,14,13,17,14,322907,133442,27599,4626,2382,1461,928,283,101,67,23,20,11,3,304963,134373,29495,12108,5726,3378,2008,1030,484,209,61,9,8,1,102058,57080,39289,27412,31490,23077,25963,27001,27301,30119,30606,33283,27434,11740,145075,103206,65284,48640,38475,29216,20380,15414,10492,7978,5794,3041,754,104,12982,397342,73726,6701,1543,689,350,203,133,105,48,29,2,0,13641,401771,68529,7090,1385,655,289,183,126,96,57,28,3,0,201299,138368,66258,33965,18078,10987,8375,6201,4703,2968,1867,712,63,9,204836,69032,55251,32817,36206,27251,24437,19429,10817,8698,3687,1280,100,12,375,250,470,656,1205,2129,3290,5160,8087,13845,24855,52133,130078,251320,52343,32305,32420,31805,31787,29833,27685,26151,25072,27407,31481,38967,92757,13840,37994,199872,101487,49147,31091,20823,14228,10042,7572,5647,4127,3781,3826,4216
280,1,2,2,1,1,1,149469,85428,60928,28100,12562,5771,3436,1543,2223,816,397,44,3,3,162595,124153,44337,7263,4348,2955,2741,1151,658,377,75,56,11,3,199455,106132,21474,9579,5009,3579,2541,1631,886,272,88,54,22,1,46940,41145,31855,21216,28051,14283,19874,18719,17449,20960,18688,23466,27317,20760,88999,85558,55908,35526,27107,19516,12766,8931,5261,4146,3674,2458,687,186,0,314461,30611,3500,1106,585,277,100,55,23,1,4,0,0,1,322220,23013,3604,942,573,220,73,50,20,3,4,0,0,136459,124165,43224,16662,8140,4810,4647,3602,3214,2424,2005,1148,211,12,116515,50310,53458,18934,30746,14303,22250,16788,6528,12261,5473,2856,286,15,49,142,492,1099,1906,2995,3839,4728,6077,9320,16450,35040,86343,182243,14860,17105,19481,19753,21158,20802,20451,20946,20828,23993,28944,37011,78452,6939,28887,174994,64703,23926,14466,9803,7301,5309,4394,3309,2696,2530,3159,5246
281,1,2,2,1,1,1,139328,124008,56475,7646,2475,1177,673,509,280,203,147,81,30,1,186927,125947,12657,2970,1227,958,586,557,393,371,240,169,31,0,228842,85657,10094,3066,1559,1095,774,552,448,384,285,199,76,2,22057,20695,20323,20970,19857,21067,22203,22790,25233,28181,26866,31811,32452,18528,57189,78704,59568,47707,35315,26679,14485,6468,2910,1689,1094,767,333,125,28,147689,174590,9062,1197,305,104,27,17,8,3,1,1,1,29,183914,138923,8830,933,266,83,26,16,8,2,1,1,1,99519,138315,68666,13737,5376,2734,1710,1163,765,539,359,135,11,4,73217,63846,48288,31630,29175,28057,15549,18747,10817,7427,4149,1543,530,58,0,5,20,59,71,156,348,833,1478,2650,5250,15507,66175,240481,10888,20101,24681,25287,25906,25527,24694,23943,23507,25220,26793,29201,41887,5398,17106,160404,112301,23352,9762,4865,2411,1269,630,411,199,147,108,68
282,1,2,3,1,2,1,2983,16009,46642,25787,19317,16577,9662,5944,3429,1257,548,209,6,0,17930,75555,37311,10375,3473,1479,847,778,365,183,49,24,1,0,40916,89187,11321,3077,1510,961,680,366,203,71,49,26,3,0,6415,11988,13455,13171,12190,12239,11648,11441,10746,11610,11005,11026,8924,2512,24630,39104,26166,21909,15910,10234,5278,1992,1376,812,576,297,70,16,0,110488,35251,2407,183,27,9,2,3,0,0,0,0,0,0,118143,27772,2290,131,22,8,1,3,0,0,0,0,0,46774,58375,29964,5962,2543,1682,1120,749,601,352,209,35,4,0,25993,32134,23821,16992,12626,15251,7889,6775,4104,1797,728,203,54,3,29,31,28,44,83,154,367,839,1441,3050,6753,18670,56242,60639,1193,1569,3475,5854,8195,9688,10377,10605,10823,12411,14928,19756,36812,2684,4982,60980,57883,11993,5179,2800,1770,999,671,388,269,213,150,93
283,1,2,3,3,2,1,164703,94006,53700,37306,26154,17491,6813,2190,1684,906,708,698,860,2522,170026,143648,63673,13156,5147,3162,2321,1674,1149,1081,814,1019,1364,1507,189240,155479,30381,11676,6872,4161,2870,1919,1516,1270,1007,1198,1612,540,36699,35694,30382,26178,27085,25421,25954,28134,27287,31396,32891,35261,32328,15031,72392,81631,57827,47324,42406,37102,28731,15914,9292,6259,4692,3266,1656,1249,47,198971,137553,43784,15660,7352,2994,1423,741,378,232,202,170,234,47,209281,124558,48655,14396,6954,2635,1295,697,375,255,191,182,220,107198,121850,93033,35554,16168,9387,7003,5193,4378,3487,3041,2266,877,306,97145,70110,54742,36699,37081,34494,25022,21646,13809,8559,4602,2244,2078,1510,17,219,641,1030,1419,2294,3189,4213,6039,9709,18740,43905,116008,202318,17861,29750,33947,32797,32586,30010,26664,24017,23097,24456,27239,32355,64259,10703,19670,133489,132997,47112,26025,17299,11178,7490,5105,3265,1952,1316,1100,1743
284,1,2,2,1,2,1,288871,50845,12716,4409,1651,1035,946,532,594,451,537,736,1339,2466,213119,110503,20421,8745,2747,2428,1550,1064,819,971,813,1091,1547,1310,157471,120265,42719,18502,11613,5472,3058,1902,1268,1102,999,971,1224,562,23657,30479,29746,29130,34154,37743,27554,38200,25301,30656,29176,19583,8854,2895,15772,62207,63331,53050,48300,35416,31732,21401,14686,9862,6266,3170,1228,707,3,32047,35108,79748,86126,59655,28486,15080,10112,6805,4583,4108,2905,2362,3,32280,34886,97727,78082,58640,22526,13124,9196,6388,5064,3931,3155,2126,31196,104463,82114,49145,30174,16941,12927,8332,7805,7623,6921,5840,3034,613,69141,91506,65399,41955,35346,26227,16360,10866,2990,2137,1298,1216,1464,1223,0,125,2009,4906,4587,4849,5735,6608,8062,11180,19005,38148,95400,166514,34683,47895,46623,44485,41982,34334,28455,22713,18599,15465,12960,9629,8839,466,890,70398,91771,59900,38321,26637,18430,12775,9542,7374,5186,4666,5726,15512
