census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15
138,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2,3,1,0,0,0,1,2,0,2,6,2,2,4,3,3,7,3,25,9,2,1,0,2,2,1,1,1,1,1,1,2,0,8,25,8,3,9,1,2,1,6,1,4,2,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,8,0,0,0,0,0,0,0,0,0,0,1,8,14,17,16,7,13,10,8,18,11,3,25,27,10,3,5,5,6,7,4,2,6,5,15,15,5,40,4,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,4,1,3,3,5,11,21,2,4,4,0,3,1,30
139,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,1,2,1,2,5,0,0,0,0,2,9,6,9,5,4,6,2,1,11,1,0,53,9,7,2,1,2,2,1,0,0,0,0,0,0,0,5,45,15,6,4,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,2,16,0,0,0,0,0,0,0,0,0,0,0,7,12,5,12,0,0,0,0,7,11,21,18,8,13,13,9,17,15,1,0,54,18,8,6,4,3,5,4,8,8,6,11,11,8,0,51,14,4,3,0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,1,4,18,52,13,5,2,0,0,0,20
140,2,2,2,3,2,2,0,0,0,0,0,0,0,2,1,0,0,0,1,2,8,0,0,2,0,0,1,0,0,0,1,1,3,4,9,14,0,0,3,3,4,3,1,5,1,0,1,6,4,6,5,25,11,5,1,2,0,0,2,4,4,0,2,3,1,3,11,29,6,5,6,2,4,2,4,4,6,1,2,1,1,0,0,0,0,0,0,0,6,13,9,0,0,2,0,0,0,0,0,0,0,0,0,5,17,6,4,2,0,0,0,0,0,2,3,12,24,9,6,8,7,18,3,6,30,5,42,13,3,5,1,4,2,2,9,2,5,8,7,30,14,38,4,1,0,0,3,1,1,0,1,2,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,1,1,34,9,1,2,2,4,2,6,7,38,11,3,0,0,0,0,33
141,2,2,2,3,2,2,0,0,0,0,1,3,3,7,3,7,2,0,7,8,36,0,0,0,1,1,0,2,5,10,9,10,5,10,24,42,0,0,0,0,0,3,14,20,19,6,6,16,19,32,12,75,22,10,6,4,11,4,4,4,5,3,3,2,4,4,0,56,20,17,14,13,2,13,22,3,2,10,9,1,0,0,0,0,8,11,32,3,0,0,0,0,0,0,0,0,0,0,0,5,18,25,8,0,0,0,0,0,0,0,0,0,0,1,0,0,12,48,12,22,7,21,16,33,18,20,16,54,4,4,16,1,11,3,6,7,9,8,24,28,19,158,19,3,0,1,1,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,1,3,129,16,0,1,3,5,9,10,18,76,29,14,9,8,6,7,37
142,2,1,1,2,2,1,0,11,3944,25885,43067,64330,54801,57430,44830,38119,32126,24061,13064,3524,909,0,38,3393,14720,32345,46491,68577,60731,61023,51363,33848,21306,9712,2380,174,0,2115,29027,69537,76944,69981,48880,38200,27977,19651,13455,6392,2886,1052,4,2826,2011,2841,4068,6224,9257,13935,26292,54260,91494,87073,75661,26082,3989,88,2108,2099,11427,22583,40111,51251,67910,71250,60399,41129,22996,9123,2863,816,36,0,0,151,711,6240,51244,174199,107450,39892,20205,4468,1275,256,10,0,0,0,145,951,8006,46514,164585,112358,50516,17131,4382,1292,210,11,0,1484,3597,25559,56306,68000,61408,51726,41180,32967,24208,19483,12386,5420,1869,508,976,1294,2223,3249,5390,8111,17752,34036,69331,103446,112317,41322,5461,1178,15,2534,1940,1622,1963,3403,6067,10043,15179,22845,37261,61733,97309,105375,38031,796,15,40,338,2102,9398,30964,53729,62823,63445,58731,52752,42715,21498,5900,1651,334,7431,38457,79073,95878,75754,45362,26363,15823,10261,5741,2645,1548,1280,151
143,2,1,1,2,1,1,10,0,0,0,2,0,0,0,1,1,0,0,0,0,0,27,9,4,5,0,0,3,6,0,0,9,0,0,0,0,42,0,12,11,5,0,13,1,14,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,0,0,0,0,0,0,0,0,91,26,1,54,23,39,17,22,0,0,0,0,0,0,0,258,43,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,0,0,0,0,0,0,0,0,0,0,60,160,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,3,3,11,14,46,12,4,3,1,1,3,50
144,2,1,1,2,1,1,1,317,5660,9370,7795,6986,7511,7801,12010,9318,17837,30664,71761,12936,352,4,146,2137,5820,7993,7248,9870,10130,19050,34801,44974,29061,24715,4307,63,34,273,3196,10003,20025,25325,24518,22229,20960,22102,19883,16530,12411,2813,17,48,89,496,1112,1520,3775,5268,8360,15955,19716,30032,42937,49053,21386,572,51,775,7580,18890,23911,23827,23931,22031,17971,18131,15459,12981,11188,3311,282,0,0,79,21398,35127,22937,24263,26452,15925,19410,14606,8840,4884,5101,1297,0,0,78,27996,35560,16029,22273,24499,21896,17637,13627,8525,6443,4467,1289,30,680,7663,19228,22773,23115,21041,19407,16711,16004,14988,15409,13483,9093,694,35,46,205,433,975,1889,6077,9675,21380,36950,53686,42144,23503,3277,44,9,458,2084,3622,5420,8182,11616,15181,20500,25677,30325,37022,31731,8135,357,186,221,452,1621,5836,12448,16709,17738,19310,21765,24648,28237,32003,19121,24,12,12952,39881,37225,28843,21940,16397,11897,9551,7527,5805,3956,2940,1273,120
145,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,2,2,0,5,3,0,0,0,0,0,2,2,4,8,3,2,5,7,0,2,0,23,5,2,2,2,0,1,0,0,0,0,0,0,0,0,0,19,7,6,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,14,27,22,30,17,14,10,9,9,2,0,58,22,18,10,6,4,11,6,4,3,8,4,6,14,1,36,4,2,2,1,1,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,1,6,3,17,9,5,1,1,1,1,10
146,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,3,3,4,11,17,0,0,0,0,0,0,4,10,12,2,2,10,7,18,26,40,10,6,7,5,7,2,2,1,0,2,6,7,9,8,0,46,15,6,9,10,8,4,2,4,15,13,7,1,0,0,0,0,0,0,0,0,0,0,29,15,2,0,0,0,0,0,0,0,0,0,0,0,0,20,24,2,0,0,0,0,0,0,0,7,28,24,3,6,15,9,16,11,29,13,43,18,6,2,2,5,5,3,3,8,9,8,9,24,23,114,0,0,0,0,0,0,0,0,0,0,0,0,0,30,130,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,2,3,10,55,62,10,0,0,0,0,0,40
147,2,1,1,2,1,1,0,0,0,0,0,0,30,198,2298,7978,23341,59799,136462,40514,613,0,0,0,0,49,1120,4088,7311,17124,33115,59999,90030,53098,5246,53,0,0,1243,6142,10596,17801,27915,43776,48534,44799,39929,20365,8895,1237,1,1426,1371,2055,3686,5048,7131,9234,13462,21031,29220,45179,59701,56695,15778,216,919,1476,6017,11822,23276,35652,41073,40492,34988,29210,21130,14379,8339,2248,212,0,0,458,55323,82068,63526,32331,20440,8547,5688,2174,625,52,1,0,0,0,383,59062,87985,51991,31867,20964,11629,4687,1963,634,68,0,0,501,1888,7159,15052,24870,32444,33762,34052,29955,27651,24291,20479,13907,4836,386,553,357,529,668,1167,2336,4659,8914,18794,44015,85842,77422,23874,2084,19,495,1760,2389,5772,10678,15261,19817,25416,35871,44134,45426,38240,21406,4495,73,0,0,11,168,1009,3921,8856,14932,21751,30127,41308,57173,62299,29175,503,38,7731,40900,55325,46906,33353,22385,15863,12716,11329,9680,7137,5225,2494,151
148,2,1,1,2,2,1,0,0,0,0,0,0,69,1308,6800,17128,35036,70014,128421,43844,2070,0,0,0,27,506,3800,10042,16324,22429,32758,55866,94389,55730,12367,452,0,4,4220,14759,18697,22548,31358,47669,55213,44761,29641,19340,13179,3169,132,581,883,1255,2456,4378,7598,12903,22100,35536,52016,66160,59337,32708,6401,378,677,3476,14670,19110,26330,36705,44104,43917,37162,27555,19569,15054,11131,4454,776,0,0,95,65510,125285,72718,27534,9410,3567,567,4,0,0,0,0,0,0,82,66585,131330,62426,27869,11902,3955,526,15,0,0,0,0,349,4841,15849,22021,28101,35419,38667,37640,33463,27619,21749,17252,13645,7096,979,112,360,497,654,1328,2683,6633,14820,31874,57780,82144,74010,26065,5397,333,27,339,2419,6671,12009,15707,21148,29740,42783,54084,52184,37546,21849,7964,220,0,0,3,71,717,3112,7480,13056,20783,30458,46244,66681,80783,35062,240,132,12149,36672,56329,56613,44061,29394,19774,14415,11262,8937,6646,5426,2739,141
149,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,1,1,4,4,3,0,0,0,2,1,2,7,5,2,3,4,5,9,9,0,31,8,2,3,2,1,1,1,2,2,3,0,0,0,0,4,30,5,9,5,5,3,2,5,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,6,6,2,2,0,0,0,0,0,0,2,7,5,6,2,6,2,0,0,0,1,5,7,15,22,7,5,5,17,7,3,17,8,0,51,19,4,3,10,2,5,5,8,10,4,9,6,25,7,59,0,3,1,0,0,0,0,0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,2,2,6,32,9,7,4,1,2,2,33
150,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,1,2,3,2,1,0,1,0,0,0,0,0,0,25,11,14,4,3,2,3,3,1,0,0,1,1,2,0,61,7,0,2,0,2,2,0,0,0,0,1,1,1,0,63,14,2,3,0,1,2,2,2,1,1,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,21,11,8,3,3,3,1,3,2,3,3,2,2,98,4,1,1,1,0,3,0,0,1,2,1,3,3,1,43,11,6,8,6,0,0,1,1,4,1,1,0,1,13,83,0,0,1,0,1,0,0,2,2,0,2,1,25,7,3,1,2,3,5,12,9,23,12,10,0,4,1,4,21
151,2,1,1,2,1,1,53,28780,27058,43211,47399,50339,42274,45758,37683,28070,30736,15485,6415,4404,2811,4843,52420,61931,68442,57037,45021,41600,26558,20805,12992,6403,3751,3248,5376,49,11545,114401,92315,65776,44738,28154,19268,12670,6854,4428,2672,1876,2593,3186,0,37736,45222,16325,17460,17910,20328,23688,35059,32842,39193,38242,36079,35244,14856,292,7914,109457,75468,57882,45302,35726,25975,18437,13834,8384,5138,2963,3087,866,43,2,3326,115356,134671,72422,63033,13761,4261,2277,1076,278,13,0,0,0,1,3477,114200,141915,86499,42732,13235,4762,2403,967,271,14,0,0,0,28765,100552,63409,54199,40438,32464,24521,19384,14268,11564,7631,5153,3107,3356,1665,60826,23690,11277,13676,21546,25176,52222,81441,68446,38303,6904,1949,2758,2259,3,6116,5896,2580,2535,2903,4476,7743,12377,17300,27127,45866,73566,75977,73381,52633,28,345,901,2100,4276,8087,12832,17353,23117,32009,45789,67242,114176,77157,5064,17791,90159,68386,65079,52619,33713,22226,16498,12300,9660,7140,4863,4561,4710,771
152,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,6,0,1,0,6,2,0,0,1,3,4,1,4,24,14,9,10,2,10,9,4,2,0,5,1,3,5,0,202,5,1,1,0,2,0,2,1,3,0,0,0,0,0,226,104,15,5,2,1,1,3,4,5,4,1,0,0,0,0,0,0,0,54,86,0,0,0,0,0,0,0,0,0,0,0,0,0,80,109,3,0,0,0,0,0,0,0,0,134,107,108,133,58,143,53,37,41,12,9,14,25,15,0,776,66,27,23,28,9,6,4,5,3,4,7,28,29,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,0,0,0,0,0,27,24,0,3,2,5,4,18,20,80,31,12,2,2,3,9,230
153,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,1,1,0,1,4,4,3,6,55,20,1,2,2,0,3,2,5,6,6,6,2,5,11,137,9,2,2,2,0,0,0,1,1,0,0,4,2,8,111,17,16,8,6,3,6,1,4,2,1,6,4,1,3,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,4,2,0,0,0,0,0,0,0,0,0,0,0,65,49,49,18,13,12,12,12,18,8,7,14,10,12,23,233,12,14,12,9,8,7,6,9,6,4,3,7,15,26,124,18,2,2,1,0,3,3,0,0,0,0,0,0,60,190,3,0,0,0,1,0,0,1,2,0,0,2,56,3,4,7,3,3,8,15,21,80,23,4,6,2,2,7,50
154,2,1,1,2,1,1,0,14,2461,20515,43093,63322,74089,77643,89954,85088,88183,62177,36111,8585,3007,1,435,10052,38782,59804,69262,86122,107203,83911,69943,56028,38920,27745,5165,869,3,6542,59112,104019,113192,94116,79479,60189,48867,31093,26616,17405,10763,2781,65,4421,7746,12127,25851,28261,39274,44563,54929,71883,88916,102007,94901,65525,13256,582,3419,12369,35104,71595,86527,89388,76176,72129,58422,51855,38183,31329,20265,6682,799,0,56,13996,138570,181521,166736,100024,37771,9044,5178,1244,95,7,0,0,0,76,13505,162049,205129,120191,95764,39094,12811,4388,1122,106,7,0,0,2424,17998,56016,83835,87155,79499,68923,65914,48468,44043,35393,29294,21948,11080,2252,2775,7048,13322,27743,39662,48442,84996,101235,99404,76699,76714,51398,21485,3259,60,4141,3207,1747,2810,6042,12194,22910,36964,56239,84231,119713,135059,106550,54764,7671,38,1048,7247,19914,34365,46934,55151,58677,63535,70613,84713,97669,80344,32175,1819,608,28127,85553,117806,112244,91291,68103,48304,34732,24746,17030,11145,8590,5303,660
155,2,1,1,2,1,1,0,37,3829,23540,45578,55469,59164,61578,78971,64090,85189,97855,81554,20320,2013,0,273,15629,48481,52995,47295,50730,76232,70695,75255,82182,74288,73223,11264,645,8,26213,68305,68894,66740,62694,70069,61420,68710,54760,57216,43397,26833,3869,59,4372,3951,4760,9107,11596,18927,24024,35613,64519,79738,130641,134613,115090,38095,4141,4595,12107,39466,49190,48628,59555,63724,74710,75188,77171,64612,55226,38463,14274,2278,0,0,33860,246355,185672,109381,52099,27758,10523,9467,3586,480,6,0,0,0,0,34771,279576,187619,73618,49271,27276,14918,8319,3303,504,12,0,0,3465,30950,50917,57534,57168,59239,55746,63709,54556,59935,57206,54418,45976,23714,4654,2499,2823,4884,9001,13540,20924,40591,60450,93106,104534,152779,125731,41281,6906,138,3214,2614,2429,6790,15889,28669,43543,54862,66520,74355,84623,88593,89226,81037,36823,96,1527,9997,24388,41991,60492,73222,77779,78450,78075,79795,75299,56828,18762,2486,1083,61282,76392,84118,87442,82677,71948,58716,46429,37032,27446,18891,14425,9925,1381
156,2,1,1,1,1,1,0,0,1418,14432,24868,32798,39583,43964,61337,59799,65751,78219,68020,22729,3395,0,70,8211,21116,28846,33004,35712,51653,52458,59166,71988,71636,64328,16761,1364,1,10064,35519,40494,44299,43336,49114,48788,59735,56975,53742,41147,24958,7963,178,2880,1699,2404,4104,6988,12454,19708,41413,63415,103497,109965,79903,46682,18561,2640,2379,7162,21968,27159,27170,34706,40321,51331,60395,67065,69010,57406,34698,13337,2206,0,0,8093,39996,38580,45973,74270,68889,46075,62946,64772,49224,16384,1111,0,0,0,8159,45415,40239,35414,67275,74075,57760,59627,60823,46749,20163,614,0,1736,12667,26976,30749,34577,36181,40279,43774,47773,52970,56776,58627,48320,20692,4216,1759,1184,2256,5158,7356,13612,23750,33664,56551,78567,122234,103864,55305,10683,370,2753,4374,5169,10012,17787,28187,41683,51078,58421,61210,63597,62650,58315,41544,9533,109,694,3031,11807,33460,63062,77973,73050,64493,55415,49326,42000,29428,10976,1489,197,22842,43210,52320,58489,61654,59721,54044,46926,38464,29256,20705,16096,11463,926
157,3,2,2,3,2,2,0,51,5663,20008,23821,25670,27310,26523,32674,28724,28432,28294,27069,10921,551,0,806,14622,21651,24932,25126,26028,32718,28485,27620,29511,25906,22188,5902,216,2,10749,34318,36479,32184,27650,27575,25393,26197,21659,19302,13066,8779,2263,95,1584,3703,3593,7019,8565,14956,16088,22547,31576,39253,50510,46269,31440,7747,861,910,8606,20046,24052,23958,28446,29316,32431,30664,29488,22671,17653,11608,4967,895,0,0,3223,45977,54989,50190,46885,34584,18941,16783,9307,4065,732,35,0,0,0,3387,54896,58102,37010,43865,35615,24118,15019,8703,4121,843,32,0,673,12994,24340,27692,27966,26928,25584,27597,24489,24808,21737,18386,14104,7300,1113,637,1682,6295,12173,11810,14333,21820,27794,37469,42052,54701,36230,14985,3537,193,312,1845,3011,5099,7419,10465,14920,19763,24092,29861,36252,42074,48209,36365,6024,64,347,1396,5305,14120,25506,32727,33917,34114,33379,33581,33867,28508,8462,418,114,15623,38866,41968,39488,35588,29554,24060,19718,15415,10109,6672,5287,3062,187
158,2,1,1,1,1,1,0,0,296,2010,10527,32501,67128,55561,73883,82171,56042,61495,49323,22331,3688,0,74,1936,8790,34704,50721,60805,60363,66587,58254,53602,54728,48856,15865,1671,0,3229,50693,70263,69026,54777,51167,47098,44159,38515,34547,26961,19101,7158,262,2303,1313,1596,2365,3072,4803,6786,12562,22507,44116,76158,124685,143790,65675,5225,2564,8361,37992,46893,43899,45531,47919,52695,53993,52732,49300,40930,25065,7992,1090,0,0,131,1496,4191,11046,43948,126446,99640,103313,65591,40434,18316,2365,39,0,0,152,1663,4880,9203,40680,123180,120295,93344,62886,40445,18156,2037,35,1964,21112,51201,52893,48569,49152,46446,43865,41612,40783,38742,37336,29236,11997,2048,1637,1782,1725,2575,4263,6928,15077,21989,44500,71194,122676,128183,81266,12551,610,1845,2546,2518,5057,8625,13158,20119,28656,37114,47863,59849,77877,102628,96926,12175,59,442,1795,6134,20169,44299,57186,57066,55582,55513,58733,63437,70017,25072,1452,508,65175,84470,79851,70179,60031,46946,35651,26732,19714,13443,7806,4449,1936,65
159,2,1,1,2,1,1,0,0,0,38,450,1418,2230,3368,7738,12618,30295,66827,95034,23534,3569,0,0,23,707,2051,3316,6432,12587,19618,33157,55007,67722,37215,8792,492,0,119,2316,6096,11992,20028,31903,40877,45511,36710,24914,14422,9168,3063,0,2975,4734,6362,6639,7606,10751,14086,18919,27242,35893,48155,41088,19153,3360,156,1439,1831,4274,10453,19635,30050,36875,38907,34089,26157,18722,11990,7841,4257,599,0,0,382,27244,85079,75975,33042,14433,6768,2971,881,262,77,5,0,0,0,387,29544,91321,64322,33400,16598,7760,2593,831,256,104,3,0,912,1422,6235,14479,21725,27386,29888,31658,29189,25815,21296,16511,11813,6605,2185,709,1715,2415,2889,5011,6100,9391,12808,23652,42300,65226,55989,15401,3507,6,2772,4582,2757,5573,9573,15080,21801,28947,36159,41298,38008,25118,11271,3569,611,8,41,152,714,2605,6526,10714,14033,19664,29703,43234,54318,48220,16041,1146,180,3597,18173,35386,42042,38234,30028,23172,17355,12650,8587,5997,5380,4969,1369
160,2,1,1,2,1,1,0,0,24,638,1839,3024,4006,4997,9720,12225,24699,58706,88884,23853,1207,0,11,463,1815,2787,3840,4940,8501,12366,22462,42145,58196,63067,12772,457,0,768,4145,5732,8179,11234,17529,23459,32479,34322,37080,32418,22566,3771,140,976,869,837,1528,2054,3316,5010,8488,15716,24234,45830,62790,48386,12387,1401,781,1192,4077,6259,8817,13993,19108,25361,29501,32754,32589,29030,20638,8052,1670,0,0,1144,30374,63313,56391,34895,19910,10693,8988,4753,2642,665,54,0,0,0,1203,35739,69913,43379,33422,20946,13147,8135,4611,2628,678,21,0,493,1773,5389,8458,10961,14715,17032,22060,22271,26006,28365,30443,28641,14976,2239,563,507,502,720,1108,1752,3462,5963,11672,20010,40250,85487,54726,6785,315,581,705,1781,6274,11697,18366,24528,29687,33430,33704,30169,22263,12943,6405,1289,13,53,367,2123,7609,17669,25574,28657,29959,31128,31431,29489,21752,7522,476,171,5403,15087,24820,31635,32926,29466,25286,20151,16122,12345,8665,6929,4577,239
161,2,1,1,1,1,1,0,0,0,0,5,88,407,3578,11306,25202,42018,71377,88198,18001,1286,0,0,0,17,605,4474,15098,23183,27876,35301,43911,62897,40409,7411,284,0,0,4823,17935,19702,22905,25725,32087,35919,36352,32712,21005,9217,3015,69,2948,1373,4199,8538,11116,12186,13478,18706,26218,34054,39047,44718,34363,10159,363,2591,3562,14770,17041,19988,24622,29324,32339,33175,30765,26669,16667,6552,2535,866,0,0,87,27929,56239,54743,37745,32273,18920,18472,9055,4211,1268,524,0,0,0,80,29511,62204,45885,36632,31082,25853,15759,8407,4015,1638,400,0,1970,5328,17736,21507,23060,26760,27655,27621,27039,25359,22186,18933,10870,3885,1557,2070,657,684,1228,5383,6253,13585,15500,29978,40387,54895,61871,24608,4185,182,1641,3007,1998,3653,10328,20962,28265,29324,30181,32822,34083,31928,24603,8506,165,0,3,11,132,840,3843,11895,22392,31159,35819,39806,42633,44385,26507,2041,638,12493,29168,35391,37782,34456,28857,26178,22949,16685,9293,4312,2097,1027,140
162,2,1,1,2,1,1,0,0,25,540,2316,3236,4546,6823,10802,19693,34120,53691,67383,20418,1879,0,1,394,2264,4373,6789,8565,13970,17969,25852,34790,48097,50310,11308,790,0,1421,8568,12129,13567,16506,18226,22959,27589,29811,29105,24818,16443,3938,392,634,326,744,1517,2593,3586,5567,8851,15320,24384,38356,57399,52479,12747,969,642,1678,10895,13136,13152,15268,18650,23461,27944,29588,28798,22799,12842,5079,1540,0,0,3,12156,38687,48403,40328,27878,19466,17294,11306,7491,2318,142,0,0,0,1,13596,44670,40499,38147,29490,22552,15824,10775,7207,2629,82,0,492,4113,12646,14161,15569,18511,20722,22537,23111,22672,22360,22144,17145,7559,1730,464,177,172,335,925,1594,4017,7772,16929,29180,41363,67824,47021,6955,744,518,721,1470,4740,10356,15662,19263,22508,25980,28642,30009,27630,22511,13478,1984,4,13,53,347,2128,8640,21513,29866,30137,28301,27979,30904,31654,13433,500,127,12620,22317,28711,33405,31732,25637,20024,16405,14002,10302,6223,3098,843,26
163,2,1,1,2,1,1,0,0,23,3208,9469,13725,17461,20747,31140,37348,46305,68985,83428,26386,2026,0,26,1890,7678,11704,16152,16343,25899,27769,34915,48043,62284,87029,19741,778,0,4732,19343,20665,22240,21177,24400,25065,34247,40420,46652,51164,41481,8334,331,1095,304,635,1209,1841,2837,4595,10226,16696,36784,58625,97571,99875,25686,2272,1008,1581,11331,16428,14598,17357,22041,31252,39339,46141,53901,52141,36819,13747,2567,0,0,7,3113,18027,28093,48177,46617,36468,43701,45016,43559,33232,14069,172,0,0,6,3992,20605,23727,44975,48867,42848,41146,42822,40658,39705,10754,146,793,5153,18582,19012,20881,21482,24723,25522,29939,33796,39764,47436,46226,23155,3787,888,208,251,473,789,1732,3514,5722,14345,30188,76151,119329,91314,14630,717,999,1677,3599,12446,22617,29820,33681,35518,35975,36533,35269,35008,37331,32915,6863,26,135,610,2675,13025,43026,65700,59523,48888,37930,31140,28082,21579,7109,803,110,18875,29967,36104,41010,41453,38615,36368,32824,30138,24634,15955,10208,3799,191
164,2,2,2,3,2,2,0,0,61,3847,9556,13760,18473,22259,35329,37721,45175,63496,60123,11982,865,0,4,1947,7047,10142,15669,15515,27589,28700,35472,50177,58358,63182,8541,304,0,3690,14545,17306,20535,19910,24943,25345,36916,41639,45029,43379,25605,3718,87,2053,2583,3282,4166,4688,5218,6713,13526,19246,44839,63742,74440,57387,18247,2517,1333,1893,8167,11677,11153,15545,19523,27562,36941,43892,53131,51097,31453,8525,755,0,0,415,3500,5507,7822,23854,33136,29922,56937,66167,54886,28989,11294,218,0,0,444,4034,6031,6193,21219,32433,39776,54517,61885,51416,35974,8533,192,1012,4404,11816,14009,16721,17277,21664,22727,29174,34385,40516,47439,43227,16532,1744,1223,559,888,1625,2488,4251,6523,8548,17923,33657,82109,97229,59430,5998,196,1599,3716,6067,10899,17167,24575,31725,34850,35555,33787,32101,29671,29522,25083,6330,24,287,1461,5622,21425,53799,66342,50695,35888,27020,20898,18177,14823,5140,1046,57,13084,19723,25266,31233,36385,37837,37079,34593,30807,23299,16016,11106,5772,390
