census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9
130,2,1,2,1,1,1,1020,9416,33675,82673,178693,304020,386965,310064,8056,4465,17413,31994,63718,101491,206152,346906,534543,7900,2745,9554,18498,36953,60719,136430,355760,675590,18333,48662,88442,103353,145630,200117,246160,271809,187884,22525,12595,15368,19944,29064,48494,83381,173507,419558,512671,0,7403,41792,83881,141041,372493,478338,180097,9537,2,9878,49033,80881,170771,350651,434727,207353,11286,6769,10414,19937,30144,47438,80770,174354,482265,462491,41341,40438,37528,69902,101920,162986,310896,528458,21113,13673,317149,568902,253301,105793,36142,14550,4821,251,533922,341869,175444,97705,56640,40359,32738,24810,11095,2351,4588,13731,27677,48609,77053,116717,223376,800480
132,2,2,2,2,2,1,0,0,1,2,5,4,3,6,14,0,0,2,9,5,10,3,13,7,0,0,4,12,14,9,6,9,2,57,5,5,3,0,0,0,0,0,33,30,8,4,2,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,6,22,0,0,24,43,21,11,8,5,0,77,16,8,4,4,1,3,6,0,64,1,2,0,0,0,0,0,20,40,0,0,0,0,0,0,5,51,0,0,8,23,38,9,3,1,12
133,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,6,1,2,4,9,4,5,3,9,19,51,9,7,3,5,1,8,3,11,54,14,17,14,6,15,10,12,5,17,24,31,11,3,0,0,0,0,48,28,33,10,7,0,0,0,0,56,79,80,47,26,28,44,51,65,277,21,6,14,21,21,20,38,93,67,2,0,0,0,0,0,0,60,190,0,0,0,0,0,0,0,18,0,2,12,25,45,22,6,0,74
134,2,2,2,2,2,1,2654,20647,17815,31480,83790,162183,133294,42308,3172,1031,22645,26295,65190,134918,111914,84512,48838,2000,702,32860,82821,102630,123344,92127,46138,15984,737,5137,18155,33890,75053,159553,160872,39850,4697,136,3222,22722,105299,133593,99226,68727,42118,19866,2570,0,534,33566,332114,89940,30600,7883,2592,114,0,550,45968,318809,95761,25744,7364,2981,166,4144,57373,116985,99982,76793,58341,47336,30458,5931,6515,23207,21797,35838,96394,171233,117622,24240,497,3074,6199,15076,39702,101799,156716,127272,46181,1324,1716,10074,23600,40550,64134,97679,150648,102592,6350,1133,39326,169698,130042,71553,40596,21756,15709,7530
135,2,2,1,2,1,1,0,4,880,4267,31072,136388,161966,78910,1634,0,711,10484,52712,120492,133419,76113,20526,664,300,24829,110370,118120,91286,45062,20621,4394,139,1786,3266,6802,18331,56612,126368,160800,40812,344,1340,29032,88333,114012,93512,54732,27618,6171,371,0,4212,88112,242788,67081,11947,980,1,0,0,6718,92835,231826,72308,10471,962,1,0,1514,53395,105073,95193,70129,47106,29706,11514,1491,555,2392,6316,14967,62691,173251,143251,11457,241,752,2632,4759,12542,31122,81748,145762,127495,8309,2,306,3050,20842,49480,86068,138966,111794,4613,4061,103358,153796,88362,36680,18345,7943,2432,144
136,2,2,1,2,1,1,0,2161,9157,32122,42872,65681,90111,51208,1318,1077,22253,56257,68650,57426,53222,27333,7872,540,14769,102524,81927,42460,29271,15358,6482,1731,108,4939,9707,12567,23648,36067,63051,95350,46345,2956,18561,101799,75740,41809,27890,17323,9253,2044,211,0,76013,156470,51048,8080,2505,511,3,0,0,98923,148047,37644,7588,1947,476,5,0,31878,101479,62744,37873,24880,19067,11712,4141,856,5765,8013,17315,32299,84436,112813,29909,3937,143,514,2482,3290,6585,13400,28881,58004,112676,68798,6,155,1572,6949,15254,27138,61625,153458,28473,49859,123659,61883,30561,14584,8307,4292,1270,215
137,2,2,1,2,1,1,0,237,9048,43578,57415,70648,51965,24433,2972,2,2028,15613,48423,83833,59317,35675,14084,1321,12,16528,65941,76018,58006,27809,11942,3642,398,3076,2792,7817,21634,57436,108561,52889,6057,34,2443,8339,46815,73934,63933,40410,19769,4435,218,0,0,3232,137699,90526,26769,2006,64,0,0,0,4295,142506,91722,19845,1856,72,0,1842,27192,67341,60403,45190,29691,19549,7611,1477,1461,2984,5689,15980,46328,109105,72433,6092,224,3674,2295,3404,8973,22012,59635,98791,60231,1281,9,750,7337,25615,45663,64945,78076,34369,3532,960,32175,95951,69773,33747,16547,6617,3546,980
138,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,2,4,0,0,3,2,8,2,5,8,7,31,5,1,2,3,2,2,2,1,25,16,12,3,3,5,6,0,0,0,0,0,27,1,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,9,27,22,18,16,25,9,46,18,6,8,11,5,8,25,13,44,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,1,17,5,3,4,12,26,5,4,4,30
139,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,2,5,3,0,0,11,15,6,9,3,12,0,61,9,2,3,2,0,0,0,0,43,23,9,9,5,2,0,0,0,0,0,0,0,0,1,13,8,10,0,0,0,0,0,0,14,14,8,0,0,18,37,13,23,19,22,1,71,10,9,7,7,14,13,19,4,62,10,0,0,0,0,0,0,30,100,0,0,0,0,0,0,3,24,0,0,1,13,67,12,2,0,20
140,2,2,2,3,2,2,0,0,0,0,2,1,0,2,9,0,2,0,1,0,1,4,9,18,0,4,6,3,6,1,4,9,9,36,5,3,0,3,7,2,3,4,35,11,11,5,3,8,7,3,1,0,0,0,0,11,17,0,2,0,0,0,0,0,11,17,4,2,0,0,4,13,32,10,12,20,16,26,55,7,2,4,7,8,12,13,39,42,1,0,4,1,1,2,0,30,70,0,0,0,0,0,1,2,42,2,4,5,9,45,11,0,0,33
141,2,2,2,3,2,2,0,0,1,4,9,10,2,8,43,0,0,2,1,7,18,13,22,56,0,0,0,8,36,18,20,36,29,91,17,9,13,9,6,5,4,7,27,56,24,13,24,16,6,16,0,0,3,16,34,1,0,0,0,0,0,0,23,27,6,0,0,0,0,0,1,0,42,34,25,36,43,29,62,12,20,10,6,12,15,42,31,176,4,1,1,0,0,0,0,30,100,0,0,0,0,0,1,6,142,1,5,12,21,96,30,15,9,43
142,2,1,1,2,2,1,0,8248,64659,103744,85879,69887,48800,22476,2408,0,6735,43761,90938,108025,89222,48709,17481,1230,218,52516,124889,105228,62628,36833,18449,4941,399,4077,4743,9150,18223,45743,131272,137021,54393,1479,3198,19295,55835,96257,118661,77021,30392,5028,414,0,272,6830,168809,169344,54837,5491,517,1,0,268,8834,176611,171661,42832,5403,491,1,2631,44899,107416,97553,70139,43797,28598,9520,1548,1803,3697,7632,19533,60577,152566,146998,12889,406,3948,2684,4830,12363,25505,53527,123863,162508,16873,26,718,11149,65262,103393,101037,83329,36223,4964,2931,65431,152811,108614,44904,20045,7702,2785,878
143,2,1,1,2,1,1,10,0,2,0,0,2,0,0,0,34,9,2,0,9,0,9,0,0,42,14,14,12,2,14,0,0,0,140,0,0,0,0,0,0,0,0,150,25,0,0,0,0,0,0,0,0,0,31,27,0,0,0,0,0,0,0,60,8,0,0,0,0,0,117,35,43,39,39,0,0,0,0,277,24,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,60,160,0,0,0,0,0,0,0,50,0,1,6,12,67,8,4,1,53
144,2,1,1,2,1,1,90,8846,14207,10951,15095,17580,35313,93923,4314,41,3758,12301,13790,17331,49978,66695,35357,1068,145,5829,27557,43597,36387,35150,31677,19366,611,82,833,2350,6554,15210,31310,53292,82338,8350,300,13965,36942,39902,36704,29285,24350,17254,1617,0,429,56175,38642,35126,35219,21022,9488,4218,0,1873,61761,33566,38419,30349,19289,10484,4578,220,14724,35430,37784,31411,27083,24589,23516,5562,60,292,1342,4325,17756,53890,83844,37980,830,215,3437,7941,15451,25759,39946,54692,49326,3552,324,839,7153,23397,29687,34886,43163,53491,7379,4365,61868,52680,33406,20199,13707,8628,4729,737
145,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,7,1,0,0,2,6,10,3,11,3,0,27,4,3,0,1,0,0,0,0,12,20,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,12,26,0,0,14,43,41,26,17,13,0,73,30,11,13,9,6,10,15,8,39,5,1,1,0,0,0,0,10,40,0,0,0,0,0,0,1,27,0,0,1,8,22,10,2,1,11
146,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,28,0,0,0,4,13,11,8,22,33,48,10,10,8,4,0,4,16,12,37,25,14,16,7,5,24,11,1,0,0,0,0,0,29,17,0,0,0,0,0,0,0,20,26,0,0,0,0,7,42,15,19,20,23,35,57,12,2,9,4,11,14,13,46,114,0,0,0,0,0,0,0,30,130,0,0,0,0,0,0,0,63,0,1,4,37,95,5,0,0,40
147,2,1,1,2,1,1,0,0,0,18,613,9873,56739,192757,11233,0,0,49,3466,12361,46931,123121,84066,1239,0,3004,14977,35608,70856,76361,55326,14833,268,2297,3539,7750,13077,22732,44269,82767,89029,5773,1597,9852,32061,62990,67062,51363,31277,13832,1199,0,6334,131515,87310,29408,13814,2702,150,0,0,6459,140971,78286,32213,10639,2454,211,0,1221,12254,35995,55433,54705,47726,38473,22791,2635,784,838,1652,4773,16093,57852,143481,45201,559,1719,4351,15024,27941,43279,69279,72597,35376,1667,0,36,1152,9159,25037,45391,77790,101875,10793,2428,64731,83741,49347,26659,19640,14630,8632,1425
148,2,1,1,2,2,1,0,0,0,7,2876,22422,75677,185303,18405,0,0,533,9774,27269,48310,120393,94315,4096,0,8373,29307,42538,77784,81227,43122,21200,1139,1194,2172,6187,15418,37101,77634,107537,54604,2843,2103,22445,39715,65368,73024,51051,30095,17970,2919,0,2055,188835,93629,17277,2890,4,0,0,0,1906,196091,84978,19521,2179,15,0,0,2159,25577,43425,61101,62006,49701,33680,22359,4682,310,854,1787,6071,27003,80716,137816,47854,2279,170,4274,17021,29152,50214,84096,79173,36647,3943,0,13,778,7527,22158,45204,88230,128490,12290,5484,60726,95685,65230,33288,20388,13605,8751,1533
149,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,6,6,0,0,3,5,9,5,8,11,8,38,3,5,2,2,3,3,0,0,29,12,12,7,4,10,3,0,0,0,0,0,0,0,8,5,9,4,0,0,0,0,12,8,8,2,0,0,9,19,27,9,20,10,20,5,66,9,12,4,11,15,10,20,21,59,3,1,0,0,0,0,0,10,80,0,0,0,0,0,0,2,25,0,1,2,5,39,12,5,3,34
150,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,25,2,4,3,0,1,0,0,0,32,20,5,3,5,1,1,2,1,66,4,0,4,0,0,0,3,0,71,10,1,2,4,2,1,0,0,26,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,39,33,15,4,6,3,3,5,4,102,1,2,1,2,1,3,3,4,50,13,11,0,1,5,2,0,14,83,0,1,1,2,2,2,2,31,4,3,7,19,28,19,1,6,23
151,2,1,1,2,1,1,18157,51907,76437,80185,64067,59872,42182,11857,5812,38892,105588,100193,74725,46470,25781,8869,6152,3806,86844,153247,88684,41811,21076,8487,3978,5364,985,74768,29243,30642,40700,48569,61841,63267,54514,6932,79661,133985,82377,53336,32002,17018,7202,4578,317,6,167249,158522,74250,7441,2717,291,0,0,6,177225,168861,54113,7648,2338,285,0,0,103592,108155,75616,49280,31499,21422,11431,5324,4157,79466,20729,30820,51758,121930,91900,8154,5384,335,11136,4332,4562,9320,20235,39468,93573,125911,101939,205,1591,5854,16018,29151,48229,87393,192978,29057,82548,115154,96332,49468,27506,17423,10524,8319,3202
152,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,14,6,1,3,5,0,4,5,4,36,15,8,17,6,2,5,5,4,205,3,1,2,2,4,0,0,0,311,38,3,1,5,8,5,0,0,0,0,54,86,0,0,0,0,0,0,0,80,112,0,0,0,0,0,201,170,169,183,62,41,19,42,2,830,43,47,14,7,6,10,46,12,106,1,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,51,2,4,8,28,102,31,3,6,237
153,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,35,1,0,0,1,1,4,7,7,62,14,4,1,6,9,9,6,15,144,5,3,0,1,1,0,4,10,122,24,12,7,5,4,4,8,3,57,3,0,0,0,0,0,0,0,66,8,0,0,0,0,0,0,0,105,63,26,20,23,19,15,20,31,243,20,17,13,11,12,7,11,37,140,4,3,2,4,0,0,0,60,190,3,0,1,0,3,0,2,59,10,4,11,29,99,15,8,5,54
154,2,1,1,2,1,1,0,7357,58726,109528,144005,136563,131733,60441,5889,72,19136,89866,136594,142088,137759,84254,41266,3207,1424,91420,190024,149883,101765,62096,39344,17029,1257,8684,21864,47858,78070,87574,133921,168609,101811,5851,9776,60164,139074,142235,115773,89962,60385,32651,4222,0,37575,296568,241662,63068,14023,1336,10,0,0,48010,332749,201619,60223,10406,1217,18,0,9527,96561,141340,129745,99061,78041,55443,36344,8180,6636,25663,58251,100413,174444,135919,109798,41964,1154,6699,3142,8106,26077,63050,123411,210419,174610,38728,439,12997,49176,83128,98452,113330,149710,129398,17612,13318,138286,192734,139334,81120,46722,25047,14103,3578
155,2,1,1,2,1,1,0,10335,62649,96340,110146,112786,148634,127883,10414,47,29380,87951,92553,94963,132691,135079,103004,3519,8486,107563,114111,108974,108208,100471,88779,41194,1401,6876,8324,18586,39686,59333,123802,223609,176080,22891,9600,60895,83491,102465,121275,126608,103035,62051,9767,0,73116,392771,147767,41516,19945,4033,39,0,0,111959,390007,115383,41915,16104,3747,72,0,16412,90113,93509,99144,94578,99463,93571,75376,17021,4176,8732,19839,41889,117383,160333,236191,88382,2262,5284,4551,21101,55603,93196,119150,143557,146903,89842,707,17520,59772,108762,129315,129941,131586,88844,12740,38678,127204,144435,132455,97170,67177,40703,24296,7069
156,2,1,1,1,1,1,0,5093,35625,59112,80529,97840,121628,102722,13764,4,15112,43127,56563,76255,99175,120304,98015,7758,3296,55373,71708,75735,86008,96205,82485,41981,3522,3945,4091,10039,26309,69599,144579,167500,78358,11893,5289,34387,46162,60610,84639,108569,109064,58770,8823,0,15108,71561,91619,103631,102903,101545,29897,49,0,21181,72632,84627,115171,94353,92017,36248,84,7400,44097,55208,62842,72354,85781,95251,78347,15033,2468,4207,11038,25308,62745,118091,193510,94851,4095,5984,8945,25166,54633,85260,100686,105622,95561,34456,440,5870,42791,114932,121474,97587,78527,47142,7550,11760,71096,94202,101921,89517,69371,43897,27039,7510
157,3,2,2,3,2,2,1,12605,36937,43362,50611,46928,46437,44055,4775,49,22136,39826,46361,43787,49829,47898,33694,2131,4114,52707,56911,46108,43605,38761,28752,13897,856,3785,6722,13957,28347,36186,59887,82163,50316,4348,3764,33289,40519,47980,52534,49831,35045,19345,3404,0,8449,95740,82087,51543,33753,12601,1528,10,0,14415,101970,71787,55251,28589,11759,1929,11,6264,41384,46017,44328,42872,42206,34203,23447,4990,1462,12414,18721,25710,51830,65928,79837,28379,1430,1480,5167,11039,19830,33097,46174,63493,78558,26873,238,2652,18342,46946,56633,56064,56276,44509,4051,7008,61487,67564,55979,40080,28276,14719,8879,1719
158,2,1,1,1,1,1,0,921,11912,69393,117331,124520,100982,77686,14211,19,4074,41411,86493,109044,101193,90668,75956,8098,400,78045,114766,87130,78813,69773,52706,31874,3449,3127,2741,4781,8671,22931,59172,148907,231698,34928,5955,58878,74876,78434,85997,88439,77250,42161,4966,0,466,5352,31645,162690,190058,95565,30576,604,0,595,6100,32153,187528,167021,91873,31044,642,10370,81428,83941,78717,74138,69003,64043,47631,7685,2697,3391,5894,13926,40913,104849,206595,132946,5745,3770,4557,12264,25721,47315,73874,109084,168746,71625,268,3274,25057,82256,94821,92569,100953,106043,11715,35598,141785,122800,93015,59314,36745,19104,7610,985
159,2,1,1,2,1,1,0,4,484,3142,5872,18358,68456,137539,13264,0,130,2651,7710,19781,47619,102065,63261,3902,4,4050,16469,40254,68372,66403,35269,15228,1070,5995,10169,12152,20138,31843,54910,77790,32570,1552,2480,7607,27545,54163,63957,47958,27284,13101,3024,0,1440,111265,100916,24112,8161,1070,155,0,0,2341,118911,91454,26718,6501,1022,172,0,1598,11059,32116,47573,50904,45459,32851,19626,5933,1807,3791,7141,11140,24609,58502,106353,32706,1070,6487,5011,13759,29002,48265,66018,56509,19496,2572,25,313,3182,13286,23827,43527,78764,76759,7436,1595,30379,67404,59304,38396,23739,12748,8988,4566
160,2,1,1,2,1,1,0,123,2378,5650,9510,18812,56109,130964,10276,5,931,4140,7299,12495,32315,82766,90117,3754,157,6471,12196,22455,39775,56793,59708,34975,1292,1580,1488,3196,7003,14344,35417,88021,75865,6908,1363,6518,13245,26440,42090,52187,52610,33550,5819,0,3468,91363,81629,31025,18223,6810,1304,0,0,6170,100685,70627,32795,15607,6635,1300,3,1134,9044,16896,26356,33876,41852,48671,46117,9876,908,880,1612,3464,11263,28132,86753,98424,2386,1092,3504,16442,34240,49347,56128,46053,22059,4957,40,783,9342,34104,47912,50971,51505,35492,3673,2753,25106,49257,53406,41394,29151,18382,11725,2648
161,2,1,1,1,1,1,0,0,5,454,5533,34594,86535,126001,8344,0,2,620,15902,37742,52288,85604,66035,3273,0,10222,32238,40110,52341,60537,48372,16113,1533,3653,8103,16418,20287,32746,51609,68675,55397,4578,4043,22329,31580,43483,54230,52512,39261,11791,2237,0,988,83267,81046,44309,36798,12299,2598,161,0,1241,90554,75046,49782,30383,11177,3083,200,3887,28035,37679,45159,46311,42964,35675,18168,3588,2554,1017,6451,13453,32707,59543,98197,45433,2111,3651,3863,13113,39537,48881,53136,55843,39526,3916,1,33,952,10588,37310,57210,68100,74250,13022,6180,47269,62023,54318,43162,31645,12528,3595,746
162,2,1,1,2,1,1,0,55,2826,5740,12221,27139,67556,99536,10399,0,996,6036,12722,22698,37725,65821,74990,4484,264,13470,21951,28542,38036,48513,46257,26631,1808,827,1339,3648,6859,15607,35242,74606,81674,5670,1226,16286,21991,27228,39412,48271,45126,21616,4316,0,172,50674,76629,43361,33379,16898,4349,10,0,225,58042,70651,46755,29106,15692,4980,21,1782,20075,25124,32306,37005,38242,37390,27801,5747,588,301,1184,3742,14541,41209,83156,77388,3363,935,2863,14007,28263,37443,46349,48781,36929,9902,10,128,2407,21604,48532,48321,48115,50352,6003,6053,37667,53460,49740,33460,24600,14801,5325,366
163,2,1,1,2,1,1,0,316,12384,26181,36732,57508,95270,118829,13031,10,4237,17051,25019,40719,55340,86719,123896,7260,816,30073,36091,37098,44948,63263,79505,64838,3619,1287,1039,2758,5885,17813,47440,124331,146144,13554,1518,17310,26118,30857,51882,73391,89550,60798,8827,0,54,21093,58835,70282,73939,74970,55783,5295,0,130,24473,56946,77125,67492,68452,59475,6158,2603,27484,34334,37364,43944,54154,70290,74165,15913,1031,441,1137,3330,10861,41310,149245,146790,6106,2275,7013,32050,52196,58537,60794,58520,61149,27717,80,1185,15206,86523,99176,69368,50318,34578,3817,9098,51056,65912,67746,59656,51996,36023,16852,1912
164,2,2,2,3,2,2,0,535,12929,27861,39346,60335,92052,84663,4926,0,4013,15127,23543,41928,57474,87013,90614,2935,907,22888,32281,35861,47023,65869,73636,42688,1494,3652,5502,7618,10073,23174,56295,117632,87204,11497,2048,12647,19528,27531,45671,70261,87915,52920,4126,0,976,8446,20815,46148,84708,105273,52021,4260,0,1464,9045,21234,52987,79917,94707,58297,4996,2981,18077,26904,31016,39960,54251,70613,69196,9649,1573,1586,3624,7168,15840,47894,143932,99186,1844,3941,10541,24966,45275,57514,57703,51961,48613,22133,170,2740,25909,98980,84913,49851,33367,23125,3592,7510,33143,48710,61717,61080,53904,34505,18777,3301
165,2,1,1,2,2,1,0,0,114,4515,21327,96988,256791,128613,2801,0,67,1305,9632,39358,151634,224332,82518,2303,0,1364,13711,38991,109457,179284,129618,36588,2136,4308,15308,50418,69416,107271,128965,99884,34413,1166,3925,7394,28886,68731,130278,151893,99107,18703,2232,0,79,13440,53092,80054,135092,126124,78509,24759,0,266,18439,51965,87665,124043,125273,78121,25377,3139,6465,26926,60435,108310,137383,123199,41469,3823,3095,929,5659,32130,93730,140427,173475,59970,1734,5873,9448,60912,123483,144511,103715,46537,16103,567,17,649,7435,48031,130528,147178,107638,60366,9307,1897,19403,76004,126813,129570,98224,43296,13731,2211
166,2,1,2,2,2,1,0,78,1464,11767,60878,138476,217421,132855,787,27,1499,12016,33467,75679,154475,192866,93400,297,527,8780,19936,52011,104990,153975,152886,69608,1013,7767,23901,61463,68079,94430,119397,119435,63740,5514,6762,9319,24482,52897,84389,141651,148067,71969,24190,0,959,10955,52418,74055,131371,144322,118322,31324,0,1332,15009,52653,84326,120771,133667,122823,33145,5916,9460,24462,46815,80163,124203,166314,93365,13028,6396,3153,13564,49217,104392,127007,159744,98198,2055,5569,17234,80798,131324,136841,114004,60374,15821,1761,27885,48057,47583,114945,142224,80442,59754,32946,9890,3483,19252,58428,94838,102272,103617,88271,71562,22003
167,1,1,1,1,2,1,71,14679,45715,117499,165172,128322,71020,15408,10,848,21204,54336,117826,130859,123461,82967,26386,9,3950,23747,50703,87040,144919,126152,86589,34759,37,20501,45472,73987,75614,89548,96568,94744,59783,1679,15301,9273,16421,34025,72761,129993,138732,103574,37816,0,4595,6425,48666,66332,133612,160107,119363,18796,0,5309,9816,48121,78691,122510,142945,128703,21801,15468,11376,21609,43277,75693,127788,139378,105827,17480,17907,20872,55285,63849,102419,130764,108304,58363,133,11336,3358,33023,115435,150850,122040,88036,31136,2682,99030,138750,126900,93440,42998,21157,11667,8462,15492,10771,12269,33504,63104,78517,88277,94185,104820,72449
168,2,1,1,2,2,1,0,0,511,7970,28465,92347,243193,100351,2209,0,766,1928,7843,32055,96278,221514,112728,1934,693,1840,7815,18746,44647,149097,185134,65132,1942,6774,31877,55237,52027,82595,105142,96836,43067,1491,4888,1077,2628,12265,58978,163117,181991,47033,3069,0,24,138,4372,11819,47598,105661,154367,151067,0,24,166,4603,13537,46971,99113,153252,157380,4058,1485,7232,20344,47086,107675,191686,90476,5004,4589,1245,6524,31535,74382,114884,164058,76132,1697,6903,33936,102341,130073,113099,56377,23592,8316,409,37,2058,27758,149556,181023,77932,24791,5900,5991,906,5120,19510,61112,105802,119885,86874,60355,15482
169,1,1,1,2,2,1,0,226,2770,6770,16018,53458,155183,84288,423,440,1539,3878,5597,13894,46920,164620,81995,253,993,2814,3931,7165,18328,76455,149836,59403,211,3505,17756,37984,31137,43377,61731,82293,40599,754,3221,1645,2025,4112,12274,68661,143829,73089,10280,0,0,13,5357,7831,24643,63643,120870,96779,0,0,33,5690,9310,23951,58213,122006,99933,2823,1966,3005,6113,14645,42021,144932,95842,7789,3179,1083,2502,15940,46658,66494,104151,78789,340,2023,24632,72333,94792,76067,34834,11239,2950,266,9032,29566,55263,109518,85065,18565,5911,2732,3484,1372,3498,6947,22678,47697,71198,68677,69708,27361
170,2,1,1,2,2,1,41,11098,30263,52597,92441,160532,126331,28643,2187,178,8382,29579,42996,95429,154392,127530,43393,2254,735,18406,42703,59788,100706,153793,98840,26798,2364,8001,51282,64142,71096,106469,111985,71437,18821,900,4006,7357,26319,54830,113154,163012,106500,25155,3800,0,0,1041,49875,63783,95292,120537,123056,50549,0,3,1953,52196,70221,88531,111877,125900,53452,3283,9388,32899,56000,91981,142979,118559,43961,5083,3693,4561,35850,90230,105320,110412,119933,32138,1996,6394,21468,68550,105136,112134,91661,62242,31332,5216,1453,7927,38576,131025,161351,104056,44634,10224,4887,1003,17693,46969,92072,111677,106597,72152,45222,10748
171,2,1,1,1,2,1,10,9014,23256,27256,53709,103399,100366,24075,1016,1485,26072,21265,26004,65133,101765,77141,22333,903,643,21089,32395,49637,77511,86089,55715,18298,724,11137,37075,38874,44441,64637,70504,54376,19619,1438,3865,6289,16808,35381,66473,92537,66891,38131,15726,7,1889,28577,94622,105717,83168,23018,4997,106,8,2174,34198,88230,117599,71990,22820,4954,128,3108,9884,25523,43765,66662,79325,64058,39981,9795,15406,27076,20490,32960,59947,84922,78530,22036,734,3668,2462,28771,65294,90091,79376,52083,19103,1253,39038,40116,35890,63357,73804,52916,24673,7925,4382,1158,9600,32974,64721,69316,51600,31343,26747,54642
172,2,1,1,1,2,1,0,3153,21623,48596,74926,105347,116811,85985,9497,2,6795,28828,47674,73485,90048,110542,101920,6644,1763,46091,64720,63924,71760,84741,81766,46884,4289,5906,3208,4636,10361,33354,73299,132637,171081,31456,6085,23709,39116,50057,75699,101206,108483,55934,5649,0,1,523,23348,90300,136423,127511,74126,13706,0,2,633,26350,100782,126594,121246,76157,14174,8044,38599,51723,56266,65459,77195,84718,72329,11605,4711,1241,2548,6617,21269,75701,202023,147543,4285,9983,8705,25953,45315,63459,76235,87620,101369,47299,256,3247,24568,114233,127329,85285,63130,39226,8664,17496,78177,92667,91567,74187,54325,34119,19243,4157
173,2,1,1,1,2,1,1,24,7399,72174,107178,104703,68419,45983,8514,31,2402,40524,79162,103012,88294,55617,40692,4661,100,70449,110344,74960,65133,48017,27878,15665,1849,2897,1870,3346,8092,25655,78401,148742,132051,13341,5938,65154,69080,76347,74702,62182,41617,17407,1968,0,0,0,15978,170962,179927,41470,5810,248,0,0,0,22309,199829,147643,37509,6806,299,13026,76624,78733,72134,63712,48255,37846,21029,3036,2316,2516,6166,17719,55163,116475,155954,54708,3378,1886,2585,7067,15114,31208,57935,98054,150115,50431,13,829,9266,44677,69956,77636,89154,107039,15825,32096,125508,110710,72861,38865,21195,9795,3149,216
174,2,1,1,2,2,1,0,0,4225,24431,39914,50698,47679,42863,15941,0,414,11899,23997,40273,49649,46943,41239,11337,18,20168,38839,36764,41100,37036,25192,20893,5741,4789,932,2163,3848,8739,15107,39300,110953,39920,4565,8496,21751,34329,43560,49135,37248,19286,7381,0,3519,40586,53684,64924,47654,13551,1763,70,0,5478,45567,51491,69771,38915,12299,2138,92,4351,19187,32322,37438,37425,35114,30578,20237,9099,3943,830,1410,3693,11287,32364,75648,85985,10591,7181,6333,6438,10503,20637,36138,50576,63402,24543,24,355,3472,31588,62016,53265,43066,25889,6076,8939,51739,60884,48320,27025,13565,6726,7829,724
