census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10
189,2,1,1,2,2,1,0,74,622,2236,7260,19080,41962,124449,123652,5409,21,261,819,3894,11282,31512,64442,131064,78707,2742,2,862,5619,19573,41714,74261,130915,44514,6546,738,6480,35542,98624,93935,63986,18231,6638,1186,110,12,4409,10376,34877,44159,78457,87977,48069,13065,3307,48,0,84,21903,35081,5688,36278,25192,58751,95989,45778,0,71,26044,31002,6162,38139,23978,51116,112011,36221,3040,8204,33261,40041,60648,71795,60315,37199,7701,2540,2842,4558,15014,43479,62173,116484,60119,14998,4873,204,8359,11368,62110,110486,80259,35549,13325,2779,467,42,2,91,666,2770,8859,24193,59259,107532,107729,13643,1076,3441,21511,49706,69383,85348,57637,23228,11654,1760
190,2,1,1,2,2,1,0,0,0,3,21,190,4802,85441,192158,3772,0,0,47,386,2536,11114,49013,138253,83584,1454,0,70,3027,19965,35865,110462,100121,13741,2611,525,6168,12818,36370,57667,53998,42935,44088,27083,5239,21,4555,16985,55508,68433,71696,45226,17277,4333,1645,729,0,5735,70154,139401,21476,33124,15433,1056,8,0,0,5255,77759,133237,21622,34533,13039,938,4,0,3333,18391,63820,73780,57177,36810,18652,9528,3103,1793,1915,2510,5070,18837,70378,124308,56407,4687,2030,245,6038,4699,12152,48024,74728,76642,50540,12305,1257,2,1,9,97,496,1779,4853,16401,57015,170818,34918,1475,24995,78315,80311,57925,25484,8985,3675,2733,2489
191,2,1,1,2,2,1,0,0,0,195,1077,10255,40256,157941,263265,4312,2,540,1027,2106,11367,72957,247849,117946,20905,2602,78,1125,14295,121458,186980,100290,36267,10979,4394,1435,5920,15956,29529,68265,67715,78560,101683,85154,24370,149,4930,21477,87744,116581,105119,74426,42003,18127,5217,1677,0,2,7874,310131,135474,22779,1037,4,0,0,0,2,9063,314700,133991,18766,774,5,0,0,3381,32897,116051,116940,77689,59511,37095,23362,7497,2878,2220,5472,13219,59818,103601,131345,120260,34908,5360,1098,4825,2960,7317,17811,40679,96851,159533,130979,16268,78,2,116,1413,6891,18551,37338,71150,131419,193138,17283,1747,62944,146256,118870,69747,35356,19298,11144,9471,2468
192,2,1,1,2,2,1,0,0,0,725,1417,7502,19591,47892,110389,1826,21,949,1563,1585,2304,9504,82642,79353,10276,1145,25,2042,2137,28984,82768,54497,14262,2776,1329,522,4725,6604,14900,31240,27466,29675,39677,28632,6385,38,5321,14190,41829,47850,38939,24393,11062,3833,1332,593,0,0,7136,158680,22245,1259,22,0,0,0,0,0,9617,157772,21114,827,12,0,0,0,4721,19199,50633,46179,28504,19644,11360,6171,1738,1193,2676,2005,5059,25437,50641,56555,38042,7213,1461,253,3326,1478,2614,6944,20155,48888,68145,35925,1865,2,1,43,290,1365,3296,7059,16850,41171,99871,19396,2916,31843,60765,46160,23855,11295,5751,3083,2429,1245
193,2,1,1,2,2,1,0,0,0,3,83,8497,54003,144837,117399,10490,0,175,1649,13924,42704,77211,123835,55389,15588,4837,5,7072,54643,107004,95625,42409,14384,5321,6704,2145,26818,27383,39824,60786,63956,54237,39165,18322,4419,402,15667,34055,76760,90401,63663,30569,12425,5313,3869,2590,0,61411,179781,85408,8371,337,4,0,0,0,3,61531,180282,84829,8444,223,0,0,0,0,12515,32477,93232,86562,52444,27166,13918,7429,4131,5438,16378,17587,31038,56225,94142,73078,32477,7464,5330,1593,20558,5891,7389,13802,31196,68372,99912,72318,14883,991,2,22,263,1402,4736,12952,38144,95556,153643,28592,9094,30559,97902,97768,49952,22351,10779,5470,5262,6175
194,2,1,1,2,2,1,0,43,184,2839,5591,14915,52676,226872,144362,2010,1,331,1631,8060,34284,107863,168384,98422,30149,367,89,4224,41607,106569,130587,90221,48222,22283,5609,81,3757,5031,10640,27863,45320,81631,118369,117207,39284,390,4156,18560,49935,74538,95122,95883,70703,33243,7070,282,0,1,2327,50624,191746,162092,34757,6335,1541,69,0,1,2253,48305,204801,156320,30207,5947,1604,54,3144,27639,64844,80236,86030,77645,57789,37946,13763,456,2710,3166,7260,24060,52398,98495,154440,95426,11311,226,1555,1289,5366,14839,32583,70961,129927,149033,41905,2034,18,347,2392,14135,45984,75091,98017,112678,92117,8713,1925,49544,115068,131590,80279,37015,18811,9677,4996,587
195,2,1,1,2,2,1,6,3,8,263,1648,23291,105975,160142,80085,5254,4,90,1680,14858,72107,103026,118593,49239,13113,3965,2,7757,71871,108416,94772,54334,23691,8938,4027,2867,11258,13470,18477,41694,52418,65588,85282,68617,19728,143,7841,28494,70621,82679,78665,54993,31018,14426,4401,3537,0,1423,43226,196515,102881,23139,8801,605,85,0,0,1424,47792,196215,104062,18986,7611,503,82,0,7262,36377,84173,83019,59494,46142,29517,19314,6755,4622,6735,9177,17877,49420,68074,84628,94400,38715,5078,2571,9971,2552,4638,11485,25075,52517,95647,124821,49649,320,31,296,1882,7847,20347,39305,71113,107806,114174,13874,5220,56237,113650,96898,51490,24152,12354,6773,6443,3458
196,2,1,1,2,2,1,1,7351,26797,26659,28623,49678,80860,49778,10026,1161,127,13820,24308,31062,67572,69472,49191,19890,4595,897,227,14260,64787,62291,57869,43097,24382,10699,2593,729,8292,15861,23546,32801,44033,63755,63575,25052,3942,77,5290,14530,33749,40922,48445,51216,37759,29516,16236,3271,0,0,26896,84360,23798,6460,21617,77062,38884,1857,0,0,34657,77526,24086,5598,22090,77386,38292,1299,4613,18748,38652,42352,44743,49209,37273,27896,15174,2274,8124,19760,24708,44995,48492,54570,51849,23152,4627,657,4608,2170,3092,9210,24943,59413,80916,60892,34346,1344,31941,29613,15969,14908,21740,35457,38008,42477,43360,7461,3050,27324,45577,58085,42628,24122,19984,18026,21687,20451
197,2,2,2,2,2,2,0,0,0,298,2718,8076,39778,82099,36665,2643,0,159,1882,4761,24065,40825,52212,31078,15803,1492,1,3539,19313,35956,43370,33629,19539,10879,5259,792,5355,4769,6987,17909,20615,30306,42017,34272,9930,117,3944,6287,17480,25491,33782,34541,27559,16630,5303,1260,0,0,325,39459,90651,28620,5937,5681,1600,4,0,0,435,41168,96726,21658,5101,5550,1636,3,3560,7958,20384,28480,28750,28980,24134,19590,8472,1969,3406,2494,7306,17998,22518,32181,46063,28182,11340,789,5206,2541,4490,8892,16671,29701,46182,45059,13471,64,36,513,2387,10342,22422,28852,35442,38031,28878,5374,2569,12040,32875,44639,35887,21515,11705,5766,3800,1481
198,2,1,2,2,2,1,0,0,1,89,960,5746,24812,53778,24644,2009,0,3,415,3698,17887,29723,33429,19106,6334,1444,0,2152,16393,26330,27966,20663,10747,4697,1975,1116,1649,1138,2346,5341,8498,16256,27440,32583,16000,788,1878,6690,10865,14748,21889,24020,19072,9134,2594,1149,0,0,543,16791,58221,30859,3746,974,847,58,0,0,639,15434,62046,28888,3195,945,838,54,1819,8211,14134,18584,19901,18641,14922,10367,3824,1636,1350,714,2249,6966,12306,22043,35532,25155,4634,1090,2679,725,1432,3308,6282,12815,26612,37320,20471,395,13,266,1255,6727,17176,21607,22062,20934,18766,3233,621,14876,28663,31279,18891,8598,4224,2193,2457,237
199,2,1,1,2,2,1,0,980,20040,44657,81311,109664,122016,91349,25162,4786,178,9647,27207,41219,67843,91139,99953,105615,53275,3889,1932,10529,29573,53463,75327,90276,89870,94741,51175,3079,20185,16997,29894,46903,72163,97463,104560,78116,31879,1805,13056,7450,12795,23853,53066,81386,85690,90939,96727,35003,1,196,8373,37324,62715,79568,65710,125238,112769,8071,1,196,8466,36314,68575,79251,62665,124068,114864,5565,10447,6469,15260,30815,53965,78049,80897,91210,106495,26358,14717,16300,27395,43994,59618,74255,90982,101483,68182,3039,17588,8024,34955,78712,96678,119403,92426,38786,12719,674,75676,78121,55088,68672,69037,62603,38028,20364,16981,15395,3145,11773,25115,64540,75546,59498,58789,54598,71329,75632
200,2,1,1,2,2,1,3244,99564,125377,116504,123394,106133,99505,52296,17176,4773,5484,97273,87404,71032,89457,100722,109145,113031,69109,5309,3364,38371,107526,83534,94448,108823,145660,112725,48430,5085,51458,42796,86631,106342,128950,140560,114879,58170,14171,4009,39812,9113,16887,42922,89154,111477,132941,165675,115635,24350,0,0,16769,19963,5642,11919,80852,315964,278400,18457,0,0,17196,19251,6249,12495,85380,314288,279866,13241,37496,6068,17849,63190,105928,102910,118635,156857,119921,19112,50101,77208,77652,74586,88417,98941,115696,112175,48548,4642,51195,13780,42008,80063,124720,153600,156865,105053,17879,2803,146304,145996,131754,106852,71887,50870,28510,10457,9297,46039,32882,5841,9102,57107,108133,127673,123995,101027,103464,78742
201,2,1,1,2,1,1,0,0,0,58,1183,4439,21719,82649,164779,9584,0,0,75,2062,8409,29204,74925,114757,53549,1430,0,1286,14288,36928,58669,74498,56447,29562,12327,406,1022,1401,2829,8039,18172,38591,67066,94166,51515,1610,991,7715,27214,51962,66856,56908,38007,21514,11640,1604,0,214,134197,101498,32448,11016,3475,1473,90,0,0,201,134129,100303,35388,9796,3165,1316,113,0,579,9198,32032,52027,56276,49529,38231,27083,16419,3037,318,603,871,2120,8049,31107,94031,123744,22818,750,297,3076,9510,16650,30092,51826,74754,68797,28786,623,1,28,557,4527,15616,30245,52923,86125,89826,4563,879,44632,86305,65618,36526,20041,13452,9285,6545,1128
203,2,1,1,2,1,1,21,8689,31053,21862,30728,32256,101204,240147,109417,16331,1713,35225,49388,45213,59247,97846,143224,117003,35185,7664,3101,69151,80511,89070,94062,115495,85529,35964,15866,2959,46235,129179,169719,148403,64330,19346,9846,3434,1093,123,19377,84701,100068,76254,83512,93170,76075,39638,17608,1305,32,59012,56970,69689,35531,99405,123548,47097,41077,59347,33,59087,62170,63303,39558,105862,116215,42175,50300,53005,14324,64942,100846,79058,70844,82958,81051,61373,28392,7920,40684,105470,89508,107373,107373,74960,36230,16506,12260,1344,21781,18287,48964,116375,137415,96244,63904,53351,32984,2403,405,4455,14657,30241,54111,76778,94512,122061,164870,29618,3618,30347,70442,91514,96788,96672,86340,58089,43084,14814
204,2,1,1,2,1,1,0,0,0,246,2950,16006,95854,263013,66426,2372,21,3474,16518,47447,129543,152793,72743,18031,5711,586,705,31794,155658,155371,68509,20993,8412,3322,2084,19,66998,152539,124890,62242,26154,9924,2919,774,302,125,29087,114462,144470,82124,40935,20767,9559,4186,1236,41,3,421491,23680,1660,32,1,0,0,0,0,7,423136,22164,1531,29,0,0,0,0,0,20534,69443,153197,100948,50374,26532,13456,7666,4108,609,55590,133760,133736,71951,32969,10990,4100,2372,1396,3,11236,10113,22030,38587,72452,109900,108083,63677,10529,260,1,115,657,2642,7046,16711,38858,89826,237242,53769,9311,33441,109306,119499,78915,44170,24051,13192,10392,4590
205,2,1,1,2,1,1,0,0,0,1,361,2104,13389,15084,1301,91,0,185,1780,5201,13941,8673,1772,536,235,8,1,3474,17198,8882,1920,493,181,90,92,0,3361,10079,9614,5208,2763,970,298,37,1,0,773,6529,14795,7174,2075,601,221,103,59,1,0,32095,230,6,0,0,0,0,0,0,0,32110,217,4,0,0,0,0,0,0,556,6572,14177,7069,2516,785,341,154,109,52,4311,14627,9025,3073,944,167,79,63,42,0,639,234,285,824,3057,7509,10228,7778,1773,4,0,1,9,37,197,674,2471,9828,18057,1057,149,1759,8539,10835,6584,2758,975,329,233,170
206,2,1,1,2,1,1,252,58,108,368,6271,36038,110384,96287,11683,198,137,3002,17623,45481,93798,65149,28371,7019,1037,30,194,24589,102509,84922,34561,10957,3124,567,224,0,22067,80223,67846,48191,26933,11607,3996,697,83,4,6615,36408,84775,73164,38083,15637,5449,1267,242,7,0,245670,15949,28,0,0,0,0,0,0,0,246986,14637,23,1,0,0,0,0,0,4850,33226,81534,67032,40722,21053,9097,3328,664,141,24786,68284,61114,56791,35208,12551,2279,475,159,0,1694,2107,5763,14946,35736,58715,71953,58294,12317,122,132,122,488,1764,5492,14906,42005,97181,91409,8148,1934,14307,55550,68703,55717,34243,17765,7784,4271,1373
207,2,1,1,2,2,1,1,0,3,1060,24541,91405,119422,95372,50621,3018,7,2107,26105,70062,93659,77777,53972,43983,15866,1905,55,39538,107531,86567,59186,39652,27692,20163,3993,1066,8653,35168,63019,88202,95940,61470,24214,6470,1649,658,7008,41247,72999,75965,61060,44794,32543,26251,20622,2954,14,222011,161255,2075,88,0,0,0,0,0,15,218925,164021,2365,117,0,0,0,0,0,4333,36183,74686,69738,56863,44407,34323,29710,28548,6652,8927,29111,47304,92966,88633,60737,36903,16055,3565,1242,1505,4380,14970,27720,44296,66204,89869,92089,42171,2239,63,5531,18112,24742,35799,49474,71363,97305,74763,8291,3345,34169,77442,79876,60894,41413,28363,18910,18040,22991
208,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,1,2,10,6,5,13,12,28,7,7,5,3,3,3,5,3,6,0,26,5,13,7,6,10,8,7,2,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,8,26,0,0,0,1,15,24,10,27,32,31,9,13,23,6,3,5,5,16,35,46,41,10,5,3,1,0,0,0,0,30,100,0,0,0,0,0,0,0,4,13,0,0,0,5,27,30,21,2,0,20
209,2,1,1,2,1,1,0,0,825,6203,40634,62318,96804,79868,27068,306,20,6725,23492,61501,98366,60177,36353,24557,2787,48,736,28096,105939,82794,53590,31880,9706,1076,199,10,7938,44253,88199,82865,52737,25619,9598,2514,302,1,4859,79946,85994,58811,40121,24107,13548,5961,626,53,0,260334,51294,2265,133,0,0,0,0,0,0,260633,51118,2152,123,0,0,0,0,0,5386,79304,79537,58231,39111,24448,15535,9591,2719,164,6401,46450,76223,108352,51052,19013,5701,673,156,5,1708,1873,5432,16596,36571,59840,80923,80818,29577,688,596,2745,5084,9117,16558,26162,41054,62911,124718,25081,2721,59340,79316,63120,43429,27432,16944,9583,7485,4656
210,2,1,1,2,1,1,0,476,6007,13869,50060,49454,53615,27719,10943,4343,434,10473,21970,46848,56189,38134,20368,13743,6612,1715,1998,17575,39143,56775,52373,31014,10047,3076,4086,399,13644,48706,75904,46019,19682,8114,3155,1053,201,8,5754,7373,25604,35115,45848,47050,31446,12918,3385,1993,207,155311,55379,4875,714,0,0,0,0,0,308,155492,55316,4636,734,0,0,0,0,0,4498,10767,25287,35962,40938,42241,32595,15711,4910,3577,14430,48718,49269,50421,27395,15254,5769,1784,3267,179,10132,2964,4687,17857,46728,56505,42468,24843,9156,1146,1530,7885,19846,35898,39939,34946,27831,22071,19301,7239,1949,5693,15080,25790,32772,34588,35469,27849,21634,15662
211,2,1,1,2,1,1,0,0,1854,15365,50837,75468,103836,81693,30052,2433,39,4164,36679,83574,102611,68501,38034,23205,3819,912,490,51124,110448,90453,68896,31040,5459,1446,1995,187,17520,58931,94249,82938,56370,31997,14695,4329,504,5,11700,61961,106941,83659,55328,26288,9650,3383,1395,1233,1,320735,39291,1482,29,0,0,0,0,0,10,321036,39079,1383,30,0,0,0,0,0,11112,68433,99486,80307,51045,28635,12890,5501,2218,1911,14638,59957,78164,106423,67592,24352,7283,1379,1650,100,6037,3552,6402,18120,42281,68245,84027,82586,48088,2200,62,936,3398,8384,16726,30577,58407,99027,120594,23427,5443,49803,89233,82348,58893,35296,19825,9477,5585,5635
212,2,1,1,2,1,1,0,0,143,1445,13322,41016,100261,114880,61170,8072,36,4328,27265,57248,77003,73802,50014,38546,8970,3097,1127,42144,83702,86533,73458,37299,7243,3010,4828,965,53304,72975,83009,58571,36389,20881,10201,4200,772,7,45181,56794,84894,64379,42492,25936,12361,3903,2993,1376,1,311050,28696,562,0,0,0,0,0,0,1,311456,28377,475,0,0,0,0,0,0,40983,67126,86747,59016,35898,22911,14220,6206,3358,3844,44431,65067,69794,74972,45774,22701,10472,2703,3757,638,27766,6586,10826,24620,46863,66441,72380,57087,26240,1500,27,649,3083,8746,14887,22330,40324,71491,112300,66472,26227,40265,73706,71133,49098,29947,18942,11916,10191,8884
213,2,1,1,2,1,1,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,16,40,0,0,0,0,0,0,0,15,14,41,13,11,2,2,10,6,5,3,11,21,0,10,22,9,4,21,16,17,23,18,0,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,9,23,10,41,64,0,0,1,13,8,12,10,3,32,82,78,0,0,0,0,0,0,0,0,20,120,0,0,0,0,0,0,0,0,61,0,0,0,1,47,43,3,0,0,80
214,2,1,1,2,1,1,0,0,5931,36397,43970,40991,29836,17463,8954,4598,221,9325,46107,47020,33698,22624,14189,7132,5145,2679,2130,62994,50622,31698,19740,10130,3971,2399,3057,1399,13219,20135,23375,24876,27384,27193,24429,17604,8875,1050,10644,47794,40785,31885,23743,15741,8956,4130,2190,2272,0,87042,92470,6537,1946,142,3,0,0,0,0,85410,93508,6882,2215,123,2,0,0,0,10384,40502,38477,29158,22758,18136,13068,7868,3771,4018,10010,15913,28805,47566,47647,24557,7035,2351,2850,1406,7518,3215,3949,8468,14119,18981,23973,33542,49357,25018,27,379,2145,6199,12028,20574,31146,46026,59097,10519,17455,47460,35313,25785,18878,13890,10199,7294,6461,5405
215,2,1,1,2,1,1,0,0,0,832,31267,87968,85160,42812,7432,209,3,1803,23839,68913,75605,50288,24334,8763,2060,72,64,46219,94906,59077,32414,15075,5685,1728,491,21,8622,21891,37655,44574,48805,43536,31867,15272,3361,97,9504,48780,62076,53760,37957,23424,13975,5257,877,70,0,144842,109100,1667,71,0,0,0,0,0,0,143674,110000,1916,90,0,0,0,0,0,7120,47619,62675,48680,36179,25009,16577,8828,2679,314,7719,21538,29091,58418,72002,51228,12766,2262,629,27,873,1249,3106,8351,18409,31566,51159,74166,59180,7621,5,330,2639,7974,14846,24936,42577,71959,79106,11308,7342,55859,67191,49782,31787,18995,11656,6728,5043,1297
216,2,1,1,2,1,1,30,97,81,528,24278,52559,88922,140782,47269,1416,23,477,18403,57351,112752,96666,51572,15336,3062,320,53,57774,143279,89817,46457,13961,2484,1121,937,79,51334,61786,71380,56162,43299,30622,23623,13765,3799,192,39144,152481,118200,33406,8026,2501,1264,673,264,3,0,347785,7953,224,0,0,0,0,0,0,0,348399,7370,193,0,0,0,0,0,0,28767,117999,137980,48764,14503,3887,1831,1062,886,283,31444,72238,80574,72149,56709,32354,8091,1703,668,32,11708,9862,14518,20769,31459,48099,68409,83525,59091,8522,0,3,48,166,496,1609,6567,35193,237537,74343,18528,108663,121882,64557,26921,9292,3115,1463,1225,316
217,2,1,1,2,1,1,0,1,0,1,109,1835,12607,78019,134246,1820,0,615,4097,12060,28151,43435,73498,59815,6614,353,65,5452,34284,58188,80994,37122,9248,2072,1194,19,33270,49146,56000,45747,26523,11476,4929,1484,63,0,14733,48771,89485,51027,14908,5685,2650,1201,178,0,6,77102,87792,59125,3698,829,86,0,0,0,20,76685,92056,55444,3737,625,71,0,0,0,9005,31016,93160,61364,21229,6469,2929,2038,1255,173,27190,36434,31430,42765,49869,29936,9411,983,619,1,8967,5106,8562,22938,57749,70776,43621,10212,706,1,0,1,13,113,481,1253,3854,20747,162551,39625,4153,11706,74179,82096,35819,12359,4502,1784,1335,705
218,2,1,1,2,2,1,0,0,0,0,3,182,9368,122047,115847,1214,0,150,2019,8959,39301,76694,93937,25177,2099,325,7,7177,59426,99080,66650,12736,2102,621,834,28,38443,36409,49508,49126,39108,24527,9415,1864,256,5,26549,56162,89629,53387,16537,4413,1193,414,340,37,0,120957,127042,633,29,0,0,0,0,0,0,120576,127360,683,42,0,0,0,0,0,18983,39635,99959,60675,20717,5508,1787,671,383,343,28584,41165,47914,47828,47547,27392,7094,633,482,22,7771,6541,9939,15843,30051,58523,74283,38917,6724,69,0,0,7,47,247,1015,4763,26850,163202,52530,9058,31355,97090,70325,26901,9383,2736,781,517,515
219,2,1,1,2,2,1,0,0,0,0,2,4193,57615,169115,55361,8605,0,61,1976,22646,90216,106918,44475,15781,8620,4198,9,30756,116133,90083,34372,9545,3865,3050,5219,1859,78377,52725,49894,41019,32180,21531,11732,5134,2212,87,44108,95733,93029,36176,11684,4704,2644,2107,2944,1762,0,272206,20293,2385,7,0,0,0,0,0,0,273381,19411,2094,5,0,0,0,0,0,29213,74319,111316,44408,17542,5849,2930,2040,2851,4423,50627,74692,66397,45870,30218,12862,6249,2326,4268,1382,24719,12381,16766,23378,33283,44580,53032,57568,28348,836,0,1,28,234,862,2353,8363,33695,173317,76038,16548,53133,86033,64074,39201,17859,6699,3200,3842,4302
220,2,1,1,2,1,1,3,39,767,3214,20722,46175,76100,57491,13205,5755,240,3347,17941,54669,75693,41068,14992,7538,3753,4230,1369,54765,94248,41673,16508,5643,2147,1503,2756,2859,37203,27727,33864,32086,28973,24448,20256,12878,5800,236,37076,96517,55732,17282,6217,2845,2025,1373,2117,2287,1,205843,14563,3028,36,0,0,0,0,0,14,206420,14176,2835,26,0,0,0,0,0,30470,72803,72080,25294,9510,3791,2204,1537,1518,4264,31604,34497,39585,39849,36433,23240,10479,2463,2544,2777,19832,5978,6409,8764,12178,19135,33234,58569,53498,5874,1,27,181,399,942,2697,7371,24139,136467,51247,24695,86036,61690,25033,10412,5090,2827,2270,4218,1200
221,2,1,1,2,1,1,0,0,1944,23428,72427,104087,75553,33545,9304,3263,304,8448,60350,100918,79538,41625,18073,8133,3784,2378,2098,117185,119003,49038,19587,8063,3305,1799,1652,1821,16760,19090,26496,32191,38628,45569,53595,54348,33713,3161,23888,132406,90400,38395,18827,9207,5051,2143,1412,1822,0,246133,72359,4321,705,33,0,0,0,0,0,245162,73104,4460,795,30,0,0,0,0,23815,114144,95145,41764,21867,11872,6600,3422,2005,2917,14020,19801,33736,55546,74854,77768,34538,9146,2334,1808,7943,2805,3809,6616,11841,18028,31358,69055,121252,50844,3,136,901,2401,5209,10968,22638,61461,192790,27044,46523,146629,66113,28301,15002,8531,5008,3179,3636,629
222,2,1,1,2,1,1,0,803,40141,58992,45909,31552,17094,8083,4364,8483,207,55145,61880,42168,22003,12716,6757,3616,3358,7571,23460,94904,46689,22332,9767,4880,2689,1801,2285,6614,12431,10366,12769,14572,17268,21623,29625,41863,45691,9213,29037,82923,43461,25946,13580,6802,3772,1992,1563,6345,0,109128,83468,10492,6770,5340,135,75,9,4,0,107641,84269,10772,7584,4949,124,64,15,3,36086,68404,42207,25644,15996,9380,5067,3104,1931,7602,11231,12439,19446,34356,58607,52600,15073,2800,2293,6576,13591,2364,2265,3883,6782,11116,14823,24992,53949,81656,31,220,703,2018,5007,10833,24612,57362,102235,12400,68113,64330,31357,17752,10805,6898,4455,3056,8217,438
223,2,1,1,2,1,1,255,226,27193,43931,33354,21643,15940,13026,6965,3153,336,31024,47315,31098,19267,13966,10431,5764,4484,2001,11956,74294,34614,18854,11263,5806,3267,2186,2136,1310,8778,5785,8696,11471,15231,20932,28178,34323,27927,4365,17498,61666,31979,21181,13634,8248,4921,3030,1803,1726,0,86183,66778,7961,3776,951,33,4,0,0,0,85054,67391,8125,4211,874,27,4,0,0,23652,53165,30918,19109,13357,9477,6375,3750,2861,3022,7843,5820,11996,30204,49398,38812,13504,4200,2559,1350,7130,2526,2341,3480,5604,8434,13121,20821,43681,58548,95,240,1104,2865,6196,11882,19457,38560,75570,9717,45168,52247,24527,15008,10007,6728,4520,2869,3100,1512
224,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,0,0,0,0,2,8,4,3,10,8,27,3,3,5,4,1,0,3,9,1,0,33,4,3,12,7,3,12,3,0,0,0,0,0,10,14,4,0,0,0,0,0,0,2,8,18,6,0,0,0,0,0,0,3,36,14,10,24,18,21,23,27,8,5,4,6,6,11,25,25,44,1,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,18,0,0,1,4,34,24,5,3,1,30
225,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,25,13,5,0,0,0,0,0,0,0,45,22,1,0,0,1,0,1,0,1,48,26,0,0,0,0,1,0,2,1,54,30,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,37,2,1,0,0,0,0,0,1,81,46,0,0,0,1,0,1,0,3,110,43,5,3,0,0,0,1,1,1,21,82,4,1,1,0,0,0,0,7,21,2,2,3,6,15,12,6,5,5,27
226,1,1,1,2,1,1,340,13819,21846,28188,25403,18832,18828,14943,8107,8484,5448,22867,25529,25545,19999,18464,14490,11210,7969,7269,3676,33800,35980,25814,16511,12102,9899,9074,5897,6037,16599,21272,16336,16694,20375,21702,20280,14481,8435,2616,9550,17416,22011,22460,21459,18984,15433,11669,11252,8556,0,16705,64937,43593,23755,9349,332,70,49,0,0,16308,62844,43649,26867,8693,319,56,54,0,8494,18261,24299,21720,19356,17536,14271,11884,12796,10173,22816,17265,13746,20746,27948,21236,12844,9491,6625,6073,14023,3372,4820,10616,15047,20078,26467,30297,25783,8287,4625,12051,17509,19655,19515,18362,20470,22625,15375,8603,9593,16894,17545,21408,21647,18600,15036,11534,17438,9095
227,2,1,1,2,1,1,387,8538,16413,35309,28819,22580,15976,8511,2311,1601,4464,16076,30484,27774,22724,18433,10667,6137,2209,1477,3291,33041,37198,24139,17650,11470,7246,3641,1507,1262,8101,10426,12187,19736,24825,22259,17971,14692,8400,1848,3792,20840,25678,22979,21631,17787,12765,8604,4293,2076,15,10282,55712,51427,20275,2613,112,9,0,0,20,9919,53656,50818,23488,2430,105,9,0,0,3242,21880,27572,22533,20128,16228,12233,9013,5208,2408,11618,8258,12282,23427,36454,27626,12937,4785,1675,1383,1355,1855,1464,5218,11980,19950,27095,28525,29343,13660,1423,5054,10480,16036,19642,20798,22253,26221,16370,2168,6192,26875,20258,21216,20638,16059,11223,7473,6545,3966
228,2,1,1,2,1,1,0,14,4142,18012,22356,15077,7902,2820,509,2,7,1804,14890,19984,16726,10956,4141,1867,457,2,156,9704,21249,18225,12269,5525,2384,946,355,21,376,1998,7589,15269,16995,12704,8471,5231,1963,238,225,2170,10550,16735,17380,12789,6607,2994,1176,208,3,1746,22275,31941,13740,1106,23,0,0,0,3,1713,21037,31206,15966,890,19,0,0,0,174,3192,11552,16458,16083,11492,6604,3395,1635,249,197,1256,8249,20146,23292,11489,4356,1360,465,24,42,164,587,1753,5470,11332,16323,17257,13747,4159,189,1409,4047,9726,14972,15141,14375,9563,1159,253,659,7461,12321,14727,14493,10297,5771,2758,1629,718
