census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12
330,2,1,1,2,2,1,51,378,8073,12596,25953,46693,64159,66814,80440,45902,8828,189,644,17197,30577,36055,73836,56571,53348,54367,30444,6322,706,9,3616,29556,52863,79389,71530,65967,43876,11018,1623,393,245,0,17731,76430,106423,69802,39249,26264,13985,6470,2708,786,208,20,15914,25523,44052,62578,58504,60630,49442,31811,9569,1586,327,140,0,123646,231389,4705,333,3,0,0,0,0,0,0,0,142660,213530,3695,187,4,0,0,0,0,0,0,13868,27179,45441,59665,58357,53054,45674,31461,17995,6382,729,271,24217,59108,75902,71335,37352,48184,26926,12720,3754,390,188,0,1997,1766,5052,16461,39339,60274,67758,64484,53822,33752,11318,4053,204,1770,5324,15495,29612,39251,43173,47913,49802,53165,61636,12731,4631,14727,33513,51842,56579,49387,41546,35546,27929,19783,16863,7730
331,2,1,1,2,1,1,518,213,2505,10583,11862,21668,40298,55430,61450,30580,5568,294,342,4087,18052,21416,35751,41468,48202,42875,21385,6495,824,72,557,14523,29602,36495,44378,48114,43818,17416,5047,643,370,6,10616,29816,65817,61157,39457,22687,7784,2592,758,242,43,0,10470,18788,25635,30312,31322,36560,42323,32556,10563,1881,318,241,7,17943,164330,56679,1855,132,23,0,0,0,0,0,7,21729,176312,41780,1000,125,16,0,0,0,0,0,8024,18253,30952,33479,33298,34558,37176,26730,13234,4281,610,374,13203,30622,41282,53145,41869,31881,18490,7637,2059,443,331,7,2816,1937,4062,11078,28376,45768,51820,43880,30092,16662,4323,155,530,986,3274,9292,20136,30264,33293,33279,31893,34152,35559,8311,2296,6719,19680,32527,37524,37998,32556,26529,20043,14037,8720,2340
332,2,1,1,2,1,1,16,2815,16533,28932,43369,56996,67458,74896,64583,34293,7986,1280,3186,37952,46579,53539,54742,53654,57305,50255,27988,10223,3472,262,11898,55573,77015,67413,64177,58624,39910,16587,5489,1581,854,36,49682,86904,80136,66740,53640,36616,16495,6206,2144,485,90,19,57039,65507,68169,53539,42470,32191,29599,28671,16947,4293,632,100,0,131285,257454,9515,869,34,0,0,0,0,0,0,0,145851,244739,8009,535,23,0,0,0,0,0,0,52578,60505,70851,59614,43156,32932,29579,24434,16636,7055,1247,570,56443,71623,64758,63721,57432,41688,26836,12029,3258,773,579,17,24104,8064,9423,14503,24291,39897,58054,68158,65946,58289,27625,803,760,4292,10983,17764,22516,23851,26111,36038,51072,67349,85223,53198,31607,29124,65971,72971,58266,41318,30439,23827,17898,12953,10402,4381
333,2,1,1,2,1,1,6,533,3250,13220,39835,81452,132775,156383,98446,47788,9976,3913,1057,13481,57563,122302,114132,92502,72489,56285,36430,13699,6224,1413,2442,53445,138249,136045,89301,62975,46211,34026,15826,4926,3876,255,88024,111278,108719,92654,74472,56232,28051,14758,6207,3569,2265,1348,59753,113687,124351,91218,63555,41089,30245,24658,19866,13965,4032,1158,17,26493,334371,184468,38964,3021,240,3,0,0,0,0,17,29457,350232,178657,26328,2676,205,5,0,0,0,0,51262,85331,138750,104548,66210,40105,31495,24244,19380,17133,6442,2677,76362,130901,120443,85467,65445,40733,34023,18475,9364,3473,2786,105,32772,10754,13497,24985,48133,76312,96380,98389,87932,65639,29456,3328,865,4549,12809,18308,21757,23993,28832,43676,72957,128086,176979,54766,29840,43597,108180,117549,90845,62289,42637,30447,21307,15645,14321,10920
334,2,1,1,2,1,1,0,154,1259,7409,27462,54136,72783,116006,131453,77094,11290,674,105,4834,18024,46266,56499,67190,88468,100097,80814,30944,5795,684,658,8620,32637,45859,67722,71397,79082,101146,70318,16674,4547,1060,12770,31689,54070,81283,111640,106736,55411,26656,10297,4903,3039,1226,14196,24865,33175,40245,45429,43273,47183,59253,77696,82683,25894,5828,0,3087,226897,241165,25992,2283,296,0,0,0,0,0,0,3640,253083,224786,15742,2299,170,0,0,0,0,0,10137,18799,34737,42372,43782,42727,49229,54127,74149,94698,29446,5517,13312,41372,62529,71012,87556,60105,74070,48124,27795,8346,4355,1144,4477,6140,16316,56454,84487,95245,89609,69293,45714,24490,6968,527,12368,42650,71466,66882,52608,41789,37523,38816,40465,40747,40794,13612,2827,16712,36758,46777,49279,46186,43102,42814,44006,47291,67707,56261
335,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,1,3,7,2,5,3,7,0,23,8,3,2,4,1,0,1,0,0,0,0,0,23,10,7,5,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,5,15,0,0,0,0,0,0,0,1,2,6,8,23,0,0,0,7,23,37,21,24,16,23,3,0,36,33,17,19,11,8,9,4,5,27,13,0,32,1,0,0,0,0,0,0,0,0,0,20,70,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,4,15,28,0,0,0,0,20
336,2,2,1,2,1,1,4,5,895,2597,9463,41176,99619,136269,98002,37352,3547,353,74,2168,14508,41818,62135,86445,84466,75328,47679,13350,1237,74,310,17413,69540,88919,89334,78926,52008,24840,6726,870,396,0,40144,51814,53412,54993,57602,58229,50096,35811,19098,6942,1091,50,23619,41749,68075,74796,70043,63939,48459,27381,9363,1548,231,79,9,302,35469,66037,156560,121760,46530,2600,15,0,0,0,9,291,39108,70857,126533,147954,42121,2389,20,0,0,0,18687,35878,74798,83221,71286,56450,42955,28513,13546,3272,439,237,24196,45628,51603,57709,65601,66138,58713,39073,17117,3124,380,0,8446,6324,13510,19319,31341,47929,63102,76135,80480,62117,20197,382,3,43,311,1567,4830,13584,34612,66838,96125,101359,89372,20638,8912,24128,65895,89878,84162,64649,43759,27241,13058,4736,1805,1059
337,2,2,2,2,2,1,373,47,57,5850,66631,128794,124539,112006,93452,82208,16144,754,276,9633,106616,95384,87123,80579,86932,92720,58868,11656,640,428,4796,175777,110021,93364,84293,72922,59160,24922,4487,565,314,234,69336,48793,61489,72640,84544,105476,85113,63026,28656,9471,1910,401,235365,65524,71339,60743,55966,55826,50376,28271,6527,633,162,123,0,211682,53512,50704,243191,65856,5443,390,71,6,0,0,0,213665,51939,58003,214404,87971,4424,360,84,5,0,0,220288,74760,87828,69440,57065,49874,43855,20993,5381,958,317,96,49609,57651,141409,89510,109498,76070,55388,34244,14058,2808,303,307,35416,10103,13504,20455,26356,37130,54156,68991,84676,102560,139125,38383,5,2,62,665,3642,13501,36482,60602,78452,88600,120482,228360,188750,72324,101227,84408,69531,47035,28666,15965,11392,7974,3372,211
338,2,2,2,2,2,1,0,24,133,872,11109,43716,92062,92620,68671,27780,5630,297,3,239,5095,27974,44012,91718,83762,51851,26906,9575,1494,285,23,9219,62897,83022,69227,57160,33607,15546,8045,3236,647,285,14168,24014,40170,41188,38252,47884,43205,44809,28671,13013,5643,1897,15507,37941,47829,54150,51012,46672,36379,28781,15215,6166,2556,706,0,1407,72827,149893,82131,32090,3922,556,82,6,0,0,0,1834,85992,143393,67014,40765,3338,475,97,6,0,0,12794,36863,65763,65095,49903,39804,29082,18509,12198,8288,3786,829,12730,27813,39471,46565,53353,51171,48428,31489,23163,7646,768,317,5325,1873,2819,7522,15840,28329,44764,63679,80299,69006,21770,1688,90,1199,4604,9151,17636,26301,31131,39650,54293,69785,75745,13329,5506,28538,73499,76484,57659,37638,23030,15328,9847,6987,5843,2555
339,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,9,6,5,3,5,7,15,1,0,0,5,25,40,33,16,19,18,27,27,0,202,35,10,4,0,1,0,0,0,0,0,0,99,92,31,22,14,7,6,2,0,0,0,0,0,0,0,0,0,0,2,5,2,63,8,0,0,0,0,0,0,2,0,0,10,65,3,0,0,0,8,58,72,36,40,19,26,23,5,0,146,31,26,10,11,5,14,8,6,21,16,0,237,8,1,0,0,0,0,0,0,0,0,60,300,0,0,0,0,0,0,0,0,0,36,41,0,1,1,6,28,91,99,35,14,5,4,32
340,1,1,1,1,2,1,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,1,0,1,3,5,4,0,0,0,0,1,1,5,7,2,4,5,3,0,22,3,1,1,1,0,0,0,0,0,0,0,3,15,11,4,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,10,6,0,1,0,4,27,20,12,21,13,2,5,0,49,21,10,10,15,8,10,7,8,9,7,0,33,3,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,3,15,11,2,0,2,2,20
341,2,2,2,2,2,1,6,0,627,2974,8660,19434,31056,32882,25813,25315,10607,17,23,2626,5282,19015,29617,38502,33731,16831,7502,4211,51,0,346,9339,44236,39685,29328,23583,8178,2331,323,31,11,0,19269,40127,39961,21584,11599,8741,5629,4683,3277,1725,702,94,20339,42730,30517,25388,18035,11640,6229,2231,243,31,8,0,10,6590,109843,15823,18277,4745,1759,320,24,0,0,0,10,6806,112509,13741,16081,6302,1597,314,31,0,0,0,17113,39489,39404,25722,15983,10265,6210,2592,517,68,27,1,14261,32463,35499,27789,24624,13132,5979,2492,949,198,5,0,6148,2590,3990,5172,9115,18755,26374,29414,26954,20873,7716,290,4,12,48,223,1198,3018,5074,8016,15148,31695,78247,14708,6498,22947,40976,28468,21738,14261,9392,6391,3902,1863,863,92
342,3,3,3,3,2,2,0,0,0,0,0,4,224,1305,5764,2538,104,0,0,0,43,417,1435,3718,3072,985,241,26,2,0,0,120,817,2920,4238,1477,283,69,13,2,0,0,7945,1150,350,212,122,70,45,25,12,5,3,0,1286,5069,2577,593,182,111,77,35,8,1,0,0,0,0,561,2663,977,2499,3041,190,8,0,0,0,0,0,778,2636,626,2882,2817,189,11,0,0,0,399,984,2904,2891,1835,656,206,52,5,6,1,0,5269,3278,761,260,163,126,60,12,7,2,1,0,2199,2493,1525,1044,819,617,486,369,234,118,35,0,0,0,0,5,15,35,51,57,122,461,8020,1173,193,207,590,1253,1649,1984,1778,1202,731,249,84,19
343,2,1,1,2,1,1,0,0,0,0,359,7177,39789,62298,78901,176262,239476,396,0,46,5917,29047,50638,53904,97221,134654,162249,68210,2743,29,16,38867,62018,84252,104511,100933,125268,74780,13035,814,164,0,85885,194738,164666,68708,31638,28630,14550,10300,4299,1118,120,6,116504,118890,70167,63266,72798,73150,53945,29819,5743,305,63,8,1,405900,158779,23737,14964,1145,122,9,1,0,0,0,1,415472,157855,15980,13625,1613,99,12,1,0,0,0,97509,96142,83208,69815,75321,68600,66495,34588,11379,1359,181,61,24411,68935,184237,85263,130996,75077,26424,7065,1872,263,115,0,20466,36070,81182,93622,80717,70852,62939,51490,39076,32217,33969,2058,1,0,2,32,352,3174,14190,34367,70843,111339,249539,120819,59869,69719,79060,64272,59941,51566,51698,53290,56068,40511,17530,1134
344,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,9,0,0,0,0,0,1,4,4,3,5,10,8,20,5,8,3,2,2,3,3,2,4,4,7,0,15,9,6,6,6,7,5,6,8,4,5,0,0,0,0,0,0,0,0,0,4,2,20,0,0,0,0,0,0,0,0,0,2,12,28,0,0,0,0,1,31,19,20,26,23,36,33,4,28,22,8,6,6,5,16,14,11,48,42,36,9,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,1,20,6,0,0,0,0,4,21,24,15,6,3,0,21
346,1,1,1,1,1,1,20703,91247,69130,52231,52313,47514,42331,37328,20014,11047,5589,1989,40850,79619,59754,45670,46236,40827,46817,37200,27930,17388,7228,1917,42249,71990,58334,50068,53031,45567,42919,37096,28728,14403,4586,2465,9011,16863,44003,65453,74047,67013,63299,54450,35108,16095,4213,1881,13876,31195,37075,36334,41262,45659,57105,57888,55658,47271,21440,6673,2,49297,92644,81259,76350,52039,30299,8484,12509,28309,19658,586,5,51451,96086,89749,65530,55160,23671,8480,14727,27677,18199,701,19926,57833,48813,40673,44464,44881,48702,47009,42502,36874,14531,5228,18537,49041,51872,58067,57438,55777,54585,46206,36190,16972,4645,2106,6412,4802,2649,5989,16421,36828,57855,69968,72161,69627,87081,21643,25954,57184,71620,73976,66497,49281,33491,25306,18678,12995,10272,6182,3615,19551,49063,51336,55694,58459,53482,48067,39457,31260,28276,13176
347,1,1,1,1,1,1,9694,136725,56024,41941,40134,36018,29737,30626,18326,11203,2734,8,61193,101582,49204,38865,33645,26484,31292,24794,22365,20820,2922,4,54942,92504,44651,34201,39685,32395,35954,32433,28844,14668,2867,26,3159,10087,37359,61622,93641,71089,57521,39563,24085,12053,2836,155,5853,44901,60275,42258,36274,33574,39633,39227,40224,39862,24820,6269,0,25228,207570,146536,32522,1114,176,18,4,2,0,0,0,30228,216734,147149,17880,1028,116,30,4,1,0,0,14257,87114,54998,36095,32704,30497,35100,36657,34095,32627,16674,2352,12520,45909,49957,58016,63322,54097,41387,33858,31371,18509,4175,49,868,880,1726,4720,17996,36225,55392,56204,46946,51088,109875,31250,23721,56768,61093,57036,54286,50230,40649,31649,20382,10082,5718,1556,667,18722,77021,59906,43737,40521,39034,37453,33356,26984,22889,12880
348,1,1,1,1,1,1,270,37031,44412,22899,14202,16154,19008,32940,45052,39124,6173,170,10358,51992,34634,12288,10433,10806,15925,22499,36818,55652,15840,190,8498,31731,36720,23094,14397,12106,16617,24165,37282,49805,22720,300,6119,34102,40172,29406,26134,28773,34715,35141,25032,13316,3993,532,2636,14157,19092,15416,17403,18716,20522,21292,24813,38713,53510,31165,0,1872,43885,50648,54907,62554,59050,4437,78,4,0,0,0,2398,45649,53118,42781,73225,55718,4441,103,2,0,0,6266,22049,16055,17264,18622,18912,18235,17480,21669,39073,59729,22081,17363,47975,28258,14816,11723,13082,18539,24007,36830,43885,20548,409,1182,1465,18657,47293,41076,32044,30450,30685,29675,25635,18529,744,39882,74445,50397,30456,20692,16100,13707,12432,8751,6129,3478,966,433,1957,13416,19116,15901,16732,19519,21798,22593,23668,41690,80612
349,1,1,1,2,1,1,3623,13868,26359,25447,27726,41724,56294,101987,138238,100377,15038,910,5617,21161,24419,18397,19567,24825,37133,58366,104882,181458,54466,1300,3616,11058,19656,18777,17749,21457,30319,48308,89786,174404,114403,2058,5226,21338,28156,33317,44293,57523,76720,93559,94899,70861,22669,3030,1967,4483,6256,8622,11963,15643,20586,28423,46013,87005,161821,158809,0,2303,7762,26734,96376,175971,206134,34540,1607,157,7,0,0,2253,7924,29116,77112,202165,196290,34439,2147,136,9,0,1863,4589,8473,11476,13913,16958,20046,26084,41688,91235,203876,111390,11626,21518,19516,17736,21294,27029,37826,49246,89535,153104,100776,2385,1492,5081,76690,193525,112103,55517,36816,29286,21293,12586,4510,2692,192367,181487,85000,39025,20408,11669,7159,5188,3695,2576,2295,722,84,2529,4395,6339,10875,15168,19607,24797,29882,38464,94758,304693
350,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,0,0,0,0,0,0,3,4,2,1,10,15,16,2,4,7,2,1,0,4,6,4,2,8,0,15,7,1,6,9,6,1,19,2,0,11,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,6,49,3,0,0,0,0,7,43,23,7,11,54,55,66,20,48,14,9,1,0,5,8,6,42,63,106,44,0,0,0,0,0,0,0,0,0,0,30,90,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,20,35,9,0,0,0,30
351,1,1,1,2,1,1,228,20463,15003,12438,15161,26440,40717,71840,34781,9174,1484,2,14292,33736,24150,43453,38323,37019,35501,13857,4665,2066,669,0,18881,29373,31624,35680,51952,35541,23383,14992,4498,1360,447,0,5227,31895,56134,50967,51066,28690,13920,6649,2096,888,179,20,3644,18144,24840,24995,31645,28253,29253,27204,24485,25862,8817,589,0,28358,161463,53388,4207,213,97,4,1,0,0,0,0,31441,166545,47369,2066,227,77,4,2,0,0,0,10730,24395,19388,24641,28624,29144,31886,27643,24845,21080,4739,616,6163,39703,54538,45498,32624,22864,19483,15809,7961,2620,468,0,828,518,1108,1958,8072,31071,61132,53858,33656,23266,24706,7558,23178,26220,23350,23933,26988,28873,26957,25516,20965,14042,6524,1185,572,4626,20218,25863,29164,28962,28882,24920,21385,19976,25388,17775
352,2,1,1,1,1,1,334,30477,27960,30137,37639,42397,32814,21632,10643,4836,2636,1513,20602,56034,38869,48459,27196,16632,13404,9378,7361,2489,2146,448,27584,49500,45099,36422,36608,23435,13122,7118,2235,876,907,112,19807,40054,61604,51329,34908,18037,8400,4763,2213,1316,488,99,16561,24463,39639,37507,37522,28870,24476,17627,10114,5256,799,184,0,45939,146520,45679,4464,373,41,1,1,0,0,0,0,49712,150267,39956,2686,365,29,2,1,0,0,0,23838,41186,35037,33988,31012,27467,23415,13433,7815,4365,857,605,16502,40712,60872,51309,29823,18526,14121,6730,2534,1126,703,60,12499,1904,1487,1950,5293,13422,31576,46388,40296,38983,38890,10330,2404,10330,18305,25995,31944,32385,28466,26170,22483,17452,13125,13959,11151,5812,26834,42165,42677,34728,28335,20387,13398,8579,6687,2265
353,2,1,1,2,1,1,137,14165,16609,19404,34128,50486,39440,20803,3789,1012,313,4,7264,30380,25598,48377,36458,25761,17380,5868,1867,982,352,3,7556,24198,25094,27303,46544,34387,20904,10667,2705,635,295,2,3868,19953,39391,47169,47186,25317,9503,4726,1719,946,432,80,2275,12143,19696,19858,24489,22039,26752,29484,27063,14939,1319,233,0,8386,61934,89391,35431,4760,373,15,0,0,0,0,0,9336,68169,93333,24726,4488,218,20,0,0,0,0,4181,16776,17332,20348,21612,25552,32306,29915,22785,8395,816,272,4030,29119,47248,43665,33524,17536,14571,7263,2589,507,233,5,728,794,1056,2232,6861,20271,47194,52734,29457,20365,15867,2731,12050,25784,29356,28167,25399,21579,17250,14168,10807,8124,6474,1132,400,3027,12856,20435,25570,25117,27306,26038,21925,18165,15229,4222
354,1,1,2,2,2,1,596,3179,5538,7072,14169,30559,45056,57824,47057,20582,2081,141,1222,5771,13016,18960,24189,31289,38726,41580,37069,18449,3440,143,689,6319,14866,20635,23674,28417,35080,38826,38706,23044,3409,189,34102,37139,33856,28616,25266,23548,20536,15238,9585,4640,1122,206,8803,9397,11999,13347,14719,16964,20682,26377,34485,40881,28503,7697,0,3524,6794,19612,58161,71682,54095,17204,2274,375,96,37,0,3526,6933,22419,55080,75089,52620,15474,2250,339,86,38,6359,3897,7343,11679,15969,19344,22219,28047,38165,48624,28577,3631,23933,23589,23010,24339,25754,23780,23173,24836,21949,16119,3184,188,9105,5497,11315,42769,81314,47484,17055,8019,5171,3997,2059,69,21164,37527,38223,30396,22188,16447,12660,11354,11240,12155,13070,7430,4485,1436,2585,5040,7497,11228,15034,19444,23955,32148,64724,46278
355,1,1,2,2,2,1,2111,10759,17735,24747,28861,39174,55673,62105,47400,17216,928,2,3642,15305,29683,25066,27212,33401,45520,46761,45751,31259,3105,6,1724,9337,20904,24928,25684,31391,41839,51383,52830,38939,7738,14,23904,26596,32866,44438,52324,48692,37284,22182,12659,5042,708,16,8297,8872,11116,14832,18817,24174,30891,42076,54813,56388,31236,5199,0,106,3677,8088,37585,86736,99369,58154,11934,905,126,31,0,122,3835,8714,35470,90860,103952,50915,11930,762,117,34,5720,4628,9834,14473,18302,22167,28240,38272,54135,65876,40341,4723,21861,24566,29647,33141,38213,36704,34363,32378,28909,22015,4892,22,7259,3534,14829,56481,77721,61878,37944,21981,13175,7593,4066,250,13024,48297,63367,56849,39950,25130,15911,11806,9308,7981,8604,6484,3702,1705,4901,8943,13899,20012,26631,35958,44512,51881,66391,28176
356,1,1,1,1,1,1,46891,11810,9866,11387,11878,14250,15236,17418,16306,8317,599,12,43812,10687,7042,6256,7453,9007,11235,17750,28675,20528,1516,9,37188,11068,6372,5834,6196,8035,12216,21006,32268,21263,2511,13,2610,7600,12692,16443,16883,18494,22511,23428,23979,15487,3698,145,10989,20214,10957,6967,6088,7001,8896,12322,18870,29542,28163,3961,0,48183,65667,42256,7189,617,55,3,0,0,0,0,0,48892,69376,39546,5519,594,39,4,0,0,0,0,18262,20551,9089,6280,6472,8111,10735,14713,21507,30871,16543,836,14983,20636,11251,9502,9108,10972,15087,19935,26551,22393,3526,26,313,526,1059,6052,23585,31610,23278,13981,9061,7362,13917,33226,15774,35539,29902,22301,16097,11428,8523,7203,6423,5414,4830,536,1119,26405,13620,8011,8507,10789,12980,15467,17383,17914,20570,11205
357,1,1,2,2,2,1,6,0,1,0,0,0,0,0,0,0,0,0,15,3,0,0,3,0,0,0,0,0,0,0,9,5,4,0,3,0,0,0,1,4,5,4,29,6,3,3,4,2,1,2,2,1,1,2,27,4,6,3,4,5,2,9,3,6,1,0,0,0,0,0,5,1,0,0,2,0,2,14,0,0,0,0,6,0,0,0,0,2,2,16,6,9,6,2,5,0,10,7,8,14,22,9,28,1,7,3,5,5,2,1,3,11,29,17,26,3,2,1,1,1,0,0,2,0,1,32,85,0,1,1,0,1,0,0,0,2,7,0,4,2,0,6,8,12,12,6,2,2,1,35
358,1,1,1,1,1,1,2617,71901,65317,49396,59138,60545,57355,60707,34028,17926,5799,1769,22682,86147,59133,51972,57633,53235,64646,42586,25646,15324,6223,1271,24570,87953,59619,54932,69546,54730,49745,43593,27215,9337,3479,1779,7249,12201,39472,64477,97979,86057,78793,53205,28775,12827,4176,1287,7970,21351,50025,49818,54672,58848,70673,62522,53167,38104,14221,5127,0,27130,237651,172417,38417,6649,2930,824,428,52,0,0,0,31311,251982,168615,23995,7041,2188,897,446,23,0,0,10082,66283,58766,52242,56716,52284,55894,52962,41974,27608,6930,4757,10071,23568,37414,69753,89009,83614,69936,50409,35690,11758,3688,1588,5415,4829,2364,4705,17151,44247,72409,80402,74679,70209,92455,17633,7427,39116,65993,80657,84914,74510,52210,34757,20560,11962,8698,5694,3260,11282,58008,70502,69722,66181,58124,50788,40747,29671,19353,8860
360,1,1,1,2,2,1,2188,58188,56262,37304,32199,36756,37998,47521,43148,31452,12991,5,15377,54632,48864,28980,26828,24995,32955,38208,46515,55790,22854,14,12499,35679,38829,33370,30044,28783,35223,43187,50528,59335,28497,38,9724,15779,31203,43806,56993,57806,58533,47839,38901,27296,7853,279,8400,19097,22181,21392,23804,25109,30792,36151,43829,57788,66249,41220,0,10612,68156,106047,87769,65055,48538,9227,532,61,14,1,0,11739,73865,114307,69161,71315,46804,8251,508,47,14,1,11146,24190,25761,25596,25632,26858,28986,31802,39015,58153,73203,25670,15196,35447,38893,37217,36090,32677,34690,37761,44837,52974,30144,86,5562,1561,14633,51935,61276,55748,46863,40655,41558,40123,32000,4098,69623,95431,67848,43733,30673,22736,17657,15184,12746,8974,5779,5628,3734,9052,24650,26138,28751,30445,30828,31015,31055,33743,61508,85093
362,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,6,11,5,9,18,7,14,15,18,2,0,0,9,28,19,47,26,24,19,19,12,0,217,30,10,9,5,1,1,0,0,0,0,0,67,148,48,23,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,34,0,0,0,0,0,0,0,0,0,10,59,27,0,0,6,46,91,77,49,35,23,22,1,0,175,64,26,18,16,10,7,11,13,17,6,1,220,8,3,2,1,1,0,0,0,0,0,100,290,0,0,0,0,0,0,0,0,3,73,56,0,0,3,28,53,88,96,37,14,7,9,56
364,1,1,1,1,1,1,1841,40427,44382,50379,50886,58979,66066,80238,88373,52900,5229,64,9787,41073,40893,37635,36845,40299,50524,71184,94494,98613,18265,152,6139,25843,30204,31260,36419,41779,51429,67704,94360,121456,32976,195,7489,12565,26495,42837,60899,75502,88266,85089,81933,50048,8279,362,5838,12699,16329,18523,21317,26973,35440,47876,69047,110873,137481,37368,0,1810,26919,111524,175081,153345,58672,10891,1255,217,48,2,0,1978,28596,116568,167802,156091,58293,8934,1245,211,43,3,5925,15711,20555,21021,23550,28505,35170,47130,68931,119867,139049,14350,11831,25381,38333,44483,49471,47086,49282,60558,80317,101116,31659,247,3753,1934,17597,74590,108505,105170,79748,55815,38073,31028,22197,1354,92008,157682,114476,61835,35621,22401,15852,12741,10257,7616,5454,3821,2309,5263,17986,22546,27339,33901,40790,49597,56448,67595,119662,96328
366,1,1,1,1,1,1,108027,64927,54759,61658,60833,63685,63485,58220,37137,10915,1177,29,97155,59627,46292,40238,45391,54547,63254,75662,67020,32417,3169,80,69539,51506,40071,36784,39248,49056,65872,82462,84506,57084,8532,192,9783,30107,51520,63891,72843,77789,81938,72593,67577,44476,11665,670,21800,41826,34565,29762,29867,34224,41218,53288,74188,105795,98922,19397,0,100923,181124,185646,98330,16880,1690,225,32,2,0,0,0,102038,188815,183893,91087,17287,1513,188,31,0,0,0,32112,50969,36389,31172,34181,40311,49311,59706,79012,103191,64180,4318,40430,62529,47471,50451,50477,58088,64927,66963,72974,59208,11076,258,1762,1906,3117,16135,65033,114125,108672,74364,50269,39778,54504,55187,136727,134362,89034,62790,45420,31992,23270,18885,15529,12553,12196,2094,1765,47009,40732,30553,33209,39944,47624,57588,66433,76119,96126,47750
368,1,1,1,1,1,1,3142,172171,168958,81044,60506,53304,61559,73426,75500,33094,1397,28,13243,159607,155631,78848,52985,49880,52321,66010,83556,68104,3899,45,4499,97871,130042,95296,70368,61508,63583,73706,95863,84681,6616,96,6886,25679,54345,90975,130779,154673,151491,103573,49702,14176,1707,143,8828,46418,51909,55966,65352,70116,73154,78418,90217,114736,108827,20188,0,0,5217,96356,232692,272090,156337,20454,919,60,3,1,0,0,6426,103150,225811,279482,151679,16646,887,44,3,1,8772,60376,82036,78493,71499,64183,60483,67110,83585,120115,83434,4043,34448,93924,106014,103131,98143,80650,69896,70301,74185,48633,4679,125,1832,1798,8391,67100,97703,92388,81764,85775,113248,147127,84841,2162,101103,191229,146443,97720,64727,44697,33226,28980,27775,27120,19537,1572,259,22600,70524,80863,80767,72206,64181,61229,59103,63681,100633,108083
