census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7
169,1,1,1,2,2,1,0,1635,6604,22224,93388,192424,2861,782,2855,7105,17144,96955,190961,3334,1711,4127,7578,24157,144816,133332,3415,4524,38765,43092,51267,91112,85701,4675,3632,2396,4290,16619,131114,140185,20900,0,6,4311,11853,42035,124015,136916,0,7,5016,11957,39591,127218,135347,3246,3129,6349,19257,84464,180600,22091,3504,1792,14921,55904,97964,139162,5889,2611,62296,115140,96905,34268,7166,750,16702,46878,123027,106445,17160,4780,4144,2573,5152,22171,61626,92829,85863,48922
170,2,1,1,2,2,1,576,26502,60024,117322,203001,91681,5027,559,20299,56959,113086,202258,104911,6061,3514,38025,70193,128576,187772,71308,4745,19135,76029,87931,125821,140204,52095,2918,4921,19949,59249,145025,196552,71600,6837,0,187,34885,96349,125472,161760,85480,0,260,43904,90685,119300,165907,84077,4547,23347,65143,120115,180619,100559,9803,4221,19385,102547,128412,151466,93797,4305,9246,51839,124292,143504,106607,57604,11041,2647,21583,130114,205005,109888,28587,6309,3763,36446,101792,144011,125946,69900,22275
171,2,1,1,1,2,1,210,23433,31379,66415,146178,72246,2240,7800,32500,30232,82226,127865,59208,2270,2970,35549,57040,99180,101672,43290,2400,20241,50060,56044,77076,91705,42951,4024,4933,13589,37057,86248,113642,61442,25190,20,11384,90552,152228,72863,14442,612,14,12983,96114,147341,70351,14721,577,4344,21447,49269,85035,99264,63507,19235,24752,29086,37920,71563,117686,58512,2582,4263,12534,71939,113995,93281,42260,3829,52704,45434,69417,94186,56763,17974,5623,2794,22810,72362,88527,58432,33737,63439
172,2,1,1,1,2,1,0,15154,48815,95081,139095,143637,24156,53,21013,58207,88183,123156,154008,21318,8943,75143,82860,92665,108252,88739,9336,6708,4746,10431,38331,116420,214442,74860,9656,42268,59507,96972,134886,109230,13419,0,186,9430,128774,170463,128516,28569,0,185,15363,128366,161959,132258,27807,16900,57489,73054,84116,99862,108944,25573,5097,2218,7226,28208,142054,266858,14277,11596,19491,51000,82001,101668,124072,76110,690,10292,110774,162389,99166,67967,14660,38655,109124,119874,95616,62242,31486,8941
173,2,1,1,1,2,1,2,296,48037,138537,139037,68501,19985,147,12507,105937,128050,91713,62400,13641,5821,131997,107010,89375,47381,27730,5081,3484,3188,9494,32485,128010,205715,32019,18865,90763,90245,101500,74025,34636,4361,0,0,3817,230453,158365,20898,862,0,0,11454,236414,143439,22264,824,31005,102718,98881,79349,58751,37154,6537,2922,4070,21544,68306,178829,129590,9134,2363,5429,15899,41982,85705,167579,95438,55,3774,41711,90478,102712,127695,47970,69484,155754,107855,50866,22796,6811,829
174,2,1,1,2,2,1,0,122,20294,48351,71883,57228,27873,0,3826,29427,52579,60676,55953,23290,1750,40071,48455,55357,39708,27930,12480,5058,1824,4830,9337,27629,101698,75375,5621,18608,37208,59261,59270,34597,11186,1,27451,56197,91988,43096,6812,206,31,32887,61099,85105,39195,7234,200,6978,34018,47978,47124,44404,31763,13486,4258,952,4615,13205,59988,116350,26383,8934,8131,11383,27369,50974,76034,42926,79,1309,26297,78436,64266,44810,10554,21276,74779,68253,35181,14453,8586,3223
175,1,1,2,2,2,1,194,4610,82818,181809,173858,116926,19273,408,23515,148893,181012,118887,92838,13935,11548,150423,154769,123843,72344,57225,9336,14633,39909,70399,90089,132834,172209,59415,23677,100130,127918,153805,94044,46748,33166,1,80198,137125,253948,84725,19566,3925,22,90490,144609,244835,75507,20133,3892,38873,116768,138801,118112,80491,53158,33285,11226,26990,78908,116026,192367,143066,10905,13926,23818,51735,90719,137950,150562,110778,25376,28348,60767,133130,141465,137937,52465,78056,152065,142580,96479,45429,23122,41757
176,2,1,1,1,1,1,21,7253,17357,47013,130554,188332,36622,361,14143,47512,108391,162215,86653,7877,6510,75282,148389,119791,57341,15536,4303,8962,14290,31051,57704,120664,172644,21837,11638,67345,119763,119216,77800,27371,4019,6687,240557,108344,55964,14220,1366,14,9847,244867,106803,51223,12912,1485,15,14140,79454,117519,105239,71412,33354,6034,5678,14275,34787,77281,158706,130658,5767,6123,4796,15912,49788,122211,184653,43669,193,5326,31310,70356,117266,165946,36755,30915,167452,129536,59024,26561,11529,2135
177,2,1,1,2,2,1,0,7,10984,41428,50097,181323,23558,51,4194,43793,96051,118975,36309,8024,602,69907,132141,66993,23462,9140,5152,5247,10142,22105,47982,115540,102227,4154,8335,73983,103984,71333,32736,13082,3944,2246,24789,158597,87744,31192,2818,11,3110,24859,159012,90239,27162,3008,7,9061,84900,97682,64580,31320,13980,5874,2502,12453,40270,68740,119412,58470,5550,7820,3285,8649,26152,73555,159975,27961,29,1690,13995,32029,67682,153532,38440,24199,151237,77737,30516,14104,8835,769
178,2,1,1,2,2,1,13,468,11578,24795,66564,139298,16899,156,5381,26559,80592,103366,39524,4037,1766,55376,111374,63651,20073,4944,2431,5633,7618,17218,36737,78972,106672,6765,7705,71302,85924,60776,25189,7127,1592,103,8713,120961,118164,11387,286,1,122,10658,122017,116687,9827,302,2,12064,87104,79437,48359,21464,8280,2907,2785,7031,30106,74139,119340,23971,2243,6571,2793,4699,18731,65199,133909,27713,62,1463,7305,22855,55475,124331,48124,31048,131165,63258,19868,7714,4486,2076
179,2,1,1,1,2,1,10,304,37553,153089,182319,106691,14549,30,11665,125213,163555,123842,63149,7061,3208,153233,147738,115000,50483,23177,1676,2509,4247,13002,50228,203129,205947,15453,12617,115136,132595,125751,78384,28574,1458,0,22,5995,285648,187595,14896,359,0,24,5936,305741,166405,16057,352,23829,138008,132772,100797,64762,31774,2573,2073,6348,36934,102370,233168,109820,3802,1118,3565,15262,46090,116858,220599,91023,116,3020,34577,95688,137961,183186,39967,64697,207789,136040,56772,22257,6378,582
180,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2,1,1,1,1,1,0,7988,9320,14547,27104,145421,79489,16454,16651,9541,46600,116450,76042,2131,26101,28475,93815,89528,40268,4709,973,29791,29032,27170,37354,57946,96933,5643,27157,40630,74279,73123,50444,16672,1564,159716,123718,434,0,1,0,0,181711,101800,357,1,0,0,0,24817,49127,64328,66448,50388,25653,3108,36073,18008,26671,52896,98804,50379,1038,3647,3243,12240,40764,91830,120402,11743,1760,10050,20861,34588,59125,109220,48265,17874,106356,77155,39729,21862,12213,8680
182,2,1,1,2,2,1,0,2735,18483,24376,66822,231715,31981,13390,32700,21495,95099,145697,63603,4128,34765,44472,124684,115544,40729,14382,1536,39208,67149,68001,73060,74175,53718,801,43276,42233,89889,99013,68906,30178,2617,149975,224831,1285,21,0,0,0,186810,188108,1176,18,0,0,0,39802,49496,81331,93271,69756,37168,5288,53644,34711,51995,88870,104264,41016,1612,4300,9305,34186,78972,118001,123826,7522,1381,13800,36753,61260,93075,117657,52186,19787,98058,97519,70435,46403,27849,16061
183,2,1,1,1,2,1,0,0,9,21,7504,196180,251378,0,186,7223,17292,202274,224373,3744,146,17196,146969,192802,85820,9940,2219,18939,37656,51317,71158,165007,109759,1256,18378,61957,140021,131602,75023,25383,2728,158684,291651,3288,1361,108,0,0,217058,233950,2665,1303,116,0,0,14346,67278,120990,124202,86924,36923,4429,12027,37648,57630,81361,150909,113166,2351,4086,4800,20248,92427,220324,112971,236,851,9479,21834,34525,70480,207375,110548,16010,165527,147241,65061,34986,19704,6563
184,2,1,1,2,2,1,0,70,708,2030,9366,159432,148267,9,105,1782,8212,34986,240243,34536,7,3032,15758,33026,102220,154713,11117,3961,6727,23327,73587,125380,78493,8398,3994,11055,27174,51875,112665,102127,10983,43779,45762,159165,36648,2032,4299,28188,49602,42879,158902,34055,1896,4237,28302,2804,12185,26018,53248,101625,109001,14992,1842,3019,6650,24591,95663,175140,12968,4035,32076,124825,114906,29834,13852,345,197,8471,31820,70364,104955,77302,26764,3373,27117,54470,110894,77516,35308,11195
185,2,1,1,2,2,1,39,57,619,3789,20306,186347,113192,45,325,2271,13540,113689,183799,10680,47,5370,64772,121761,90394,35377,6628,7533,20163,40591,76555,135744,43020,743,7130,36229,87077,81783,75252,32496,4382,27535,88162,136354,67585,4551,162,0,40849,79168,138541,61371,4245,175,0,4669,38914,78808,81128,75390,38007,7433,3077,12601,32109,78744,119115,72625,6078,10699,6609,35416,105803,130854,34705,263,279,3400,14849,38899,69634,135904,61384,5275,83204,98954,79183,38113,16883,2737
186,2,1,1,2,2,1,270,2851,1881,5709,16477,88361,64303,1498,2148,2108,4463,34173,128727,6735,1900,2966,13295,46634,60122,53159,1776,5450,10669,21638,41336,57270,38799,4690,6177,16906,33597,37332,47046,36400,2394,429,11384,83042,31003,21357,8525,24112,528,16245,81011,28078,21544,8241,24205,5685,20909,32929,34568,40321,40414,5026,3506,4696,14117,39349,67218,48948,2018,1558,13627,52139,58496,39189,14304,539,32,1042,11051,29601,43950,59139,35037,7478,36599,40831,40861,34337,16490,3256
187,2,1,1,1,2,1,0,7298,24099,21839,52034,207860,14054,110,17244,20973,22209,54363,206463,5822,12417,25004,15078,23574,127036,121469,2606,4852,45411,99967,97966,57638,19964,1386,5395,26955,17651,48615,111135,106899,10534,0,147,512,18195,26895,94514,186921,0,172,743,18666,24711,94745,188147,17331,19568,13976,42810,92690,121288,19521,1779,7159,28209,104884,115819,66870,2464,3505,98875,137721,32503,13499,18942,22139,870,23508,83068,84616,69551,54043,11528,16631,18412,13777,34630,92571,98123,53040
188,2,1,1,1,2,1,7,2590,3738,10934,51585,216612,92198,255,1761,7613,11070,48647,295826,12492,374,7004,13774,101765,183928,67116,3703,12057,33469,74864,89716,75488,78184,13886,11406,32160,80027,110247,95425,44105,4294,0,3510,166381,63205,64239,34501,45828,0,8010,168995,55978,64382,34182,46117,10540,43712,84622,89907,82676,57753,8454,4491,7305,31530,134542,157190,38919,3687,9887,31479,118690,102422,87974,25854,1358,95,1994,13142,36698,81367,163012,81356,13064,81270,95553,84431,66188,28996,8162
189,2,1,1,2,2,1,4,454,3933,18235,61359,214993,25766,87,979,6436,29947,89580,190790,6925,115,4617,29394,78564,175420,33174,3460,13035,106571,137921,55883,10175,1133,26,7056,36484,69033,124649,74375,12494,653,0,5417,52890,29735,42548,114682,79472,0,13777,45069,29857,40251,115738,80052,4670,34840,58012,96981,90951,34723,4567,4040,12887,53714,151892,86862,12878,2471,10968,58135,151895,79876,21350,2342,178,13,564,4665,21821,81940,157860,57881,2183,18406,72511,114048,86047,25631,5918
190,2,1,1,2,2,1,0,0,5,90,10205,232427,43660,0,28,561,8242,63851,209779,3926,0,2199,30468,96982,144165,10790,1783,9729,39550,79059,71238,55061,31239,511,8326,56434,101260,85934,28554,4458,1421,0,49308,174366,35421,26654,638,0,0,62459,165541,31669,26139,579,0,6969,69071,101815,66118,29473,10267,2674,2855,5831,27902,162376,82363,3693,1367,7858,12037,73613,107793,75051,9921,114,2,78,857,4387,22935,130265,127863,6555,86107,112017,58924,14567,4506,3711
191,2,1,1,2,2,1,0,0,513,5872,61294,371269,38353,122,1103,3211,48041,284674,134434,5716,388,9199,195191,199796,57957,11556,3214,11086,36425,83390,116696,121134,105665,2905,10051,82589,169701,127019,65607,19157,3177,0,2999,372577,99174,2551,0,0,0,4345,397278,73434,2243,1,0,9393,126076,160882,94025,57530,24680,4715,3929,16925,78053,203139,148540,23537,3178,6035,7533,27716,94731,217260,122980,1046,22,1121,11256,38803,99041,229660,97398,12705,178303,163176,73013,28912,14323,6869
192,2,1,1,2,2,1,0,0,1198,5387,29153,124646,28958,266,1898,2286,6523,88700,87688,1981,801,2888,56061,100990,24564,2735,1303,6771,17517,38460,44164,47375,34402,653,9229,42298,69651,44832,18147,4082,1103,0,1017,176766,11475,84,0,0,0,2992,179720,6572,58,0,0,9346,58362,63137,32797,17900,6183,1617,3313,6427,32572,96188,45593,4108,1141,3934,2940,11345,48372,92856,29820,75,9,249,2183,7050,23553,83626,72672,10330,77038,62810,24234,8703,3896,2331
193,2,1,1,2,2,1,0,0,10,2756,76869,225245,30432,0,1573,25234,78490,163450,56517,10048,540,52547,151148,94586,23319,7468,5704,37751,50457,84605,87198,54272,20013,1016,25592,86387,127097,65649,19738,6489,4360,13866,213141,103648,4633,24,0,0,21133,208317,102496,3351,15,0,0,19341,105077,118779,54960,21563,8600,6992,22427,36085,88434,129925,45950,7998,4493,23193,9329,21356,69279,137558,70849,3748,6,199,2383,11457,52621,174690,93956,14803,106469,132578,48997,16517,7007,8941
194,2,1,1,2,2,1,8,159,3206,14130,82714,325844,23431,158,1081,12975,96928,224239,108635,5476,442,35072,157937,159718,72144,23089,1090,5353,12489,37835,93521,157374,137670,5250,8099,55451,108255,139505,103706,33070,1406,0,1100,89060,291001,62019,5989,323,0,1170,97385,286690,57808,6111,328,9269,75644,115464,118193,85058,42809,3055,3892,8128,36068,114408,207632,77075,2289,1955,4992,22972,71188,178267,161164,8954,91,1979,24001,88323,137622,156263,41213,13390,134175,179585,80266,28679,11255,2142
195,2,1,1,2,2,1,6,11,585,13271,148653,199686,14463,18,1218,24403,131398,154400,58559,6679,165,64027,159890,101247,37102,9527,4717,16147,24816,52432,94892,100621,85037,2730,15033,78048,120236,94529,48486,15571,4772,16,25485,255859,82397,12533,368,17,31,30956,273731,60155,11394,391,17,16179,99842,114815,72934,45772,20897,6236,9823,22396,67102,129074,117966,25653,4661,11358,4757,17782,54113,130561,151233,6871,89,1624,12563,41989,98280,164939,57191,17160,141874,131916,51469,18779,8684,6793
196,2,1,1,2,2,1,742,28261,39526,52981,114459,41980,2985,3009,31462,41420,111016,71366,21083,1578,1906,65873,93472,70432,37347,10699,1205,13125,31593,44349,84250,81561,25475,581,9147,38862,59542,72101,56625,36370,8287,0,1630,118456,19925,34322,96483,10118,0,11897,113724,14557,33746,97379,9631,9392,47329,60516,67531,55505,33874,6787,16045,34884,62001,79162,66475,21004,1363,5648,3528,14814,57649,112162,77898,9235,47510,27933,22237,40709,54872,64864,22809,9958,59445,80389,44921,28706,26560,30955
197,2,2,2,2,2,2,0,0,832,7044,60123,93827,10451,0,1653,6352,49478,67163,41954,5677,837,17356,55818,53437,29573,12851,2405,7041,9416,21093,41588,49220,42540,1379,5669,18180,37935,48931,40554,18485,2523,0,6,63712,92483,9615,6203,258,0,61,83601,73619,8582,6144,270,5625,23251,40321,40439,35895,22746,4000,4263,8931,23864,46192,57735,27226,4066,6287,5088,13464,32569,63454,49770,1645,141,2208,16282,37298,49246,52157,14945,5073,36786,62058,40704,17726,6825,3105
198,2,1,2,2,2,1,0,0,164,3810,34658,67156,6251,0,305,6791,35008,45771,21298,2866,63,15013,38473,34895,16686,5146,1763,1991,2808,7092,18302,36554,40866,4426,3638,14052,21973,33984,27119,9429,1844,0,214,28367,74592,7168,1485,213,0,258,30052,73483,6530,1517,199,4407,17440,26525,28146,21558,11433,2530,1624,2413,9962,25684,47457,22962,1937,3097,1415,5098,12954,36292,48742,4441,62,1163,10898,28684,31554,28518,11160,5313,34107,42902,18849,6343,3433,1092
199,2,1,1,2,2,1,11,15695,69253,137287,172696,97026,7997,2303,30317,61721,115122,142505,137077,10920,5820,30160,78998,120415,128421,125311,10840,26478,35405,68991,122735,147031,89533,9792,15616,15484,37183,99674,121117,137072,73819,1,4535,53419,109909,100626,186882,44593,1,4968,57690,107359,97286,188213,44448,12438,16794,46291,96506,115688,141723,70525,20329,34976,63181,94287,127650,143604,15938,20657,31567,113097,153561,136617,40864,3602,115733,84689,97829,94363,58461,26525,22365,8524,26378,94788,93236,83608,82556,110875
200,2,1,1,2,2,1,31214,180190,170356,163508,140046,52433,10219,35259,145020,103864,138358,154999,153116,17350,7191,129159,122076,143995,197493,132784,15268,64439,102882,154185,196355,165182,57653,7270,42896,19708,67002,147115,187341,223858,60046,0,4264,33903,11584,124818,480413,92984,0,3741,34650,11365,124134,482710,91366,39848,17338,95733,151326,167888,219700,56133,79232,116270,108924,133684,159992,136294,13570,56526,42260,119767,200700,222691,100719,5303,212934,192954,148985,85641,43801,12792,50859,35124,10314,86913,171488,176954,139941,127232
201,2,1,1,2,1,1,0,0,242,3464,29551,190386,60768,0,37,3724,23159,98796,145347,13348,0,11698,55792,97523,82615,32961,3822,1522,3217,12451,39185,93109,122211,12716,2422,28260,76325,90283,56119,25843,5159,0,95475,151407,30957,5524,1048,0,0,104917,145177,28084,5089,1144,0,2357,33789,73965,76578,55806,33356,8560,628,977,3893,25906,128298,118856,5853,869,10251,25363,57284,103648,80642,6354,5,385,7697,32581,73441,131611,38691,10333,109655,90400,38839,19827,11795,3562
203,2,1,1,2,1,1,855,32116,38099,40809,135048,310230,34551,10302,71261,63190,113414,196372,119342,17827,22167,117082,127465,148014,130625,36691,9664,93897,225808,200183,53400,13980,4010,430,48236,143501,112045,126509,110466,45196,5755,10863,82589,99104,93052,170143,59527,76430,18265,87697,88025,94697,165152,61053,76819,32111,135017,110242,110582,117150,69366,17240,79967,141029,150762,142199,51658,19039,7054,27969,50629,168731,168099,95275,70368,10637,1372,15289,45829,94225,133424,199440,102129,9865,82422,130622,139297,123569,74291,31642
204,2,1,1,2,1,1,0,0,393,8176,130579,299143,8576,545,17050,79093,213534,115699,18403,2543,5495,157167,211071,54545,13735,4088,766,126508,206301,84534,23735,4773,814,202,63114,205773,117174,41492,14853,4227,234,69321,375286,2243,17,0,0,0,120385,324575,1893,14,0,0,0,37126,186187,138580,53273,20583,9051,2067,101244,200896,108408,25099,8065,2815,340,14177,24851,59642,129211,157035,60523,1428,18,590,4176,16216,53316,192326,180225,16546,116950,164524,86583,36288,17253,8723
205,2,1,1,2,1,1,0,0,6,1110,17914,13002,299,1,1566,9306,17368,3451,528,111,475,18423,11582,1417,263,152,19,7175,15484,6686,2473,486,27,0,2022,18047,10123,1638,356,129,16,5740,26573,18,0,0,0,0,11847,20474,10,0,0,0,0,1806,17886,9749,2069,527,196,98,9122,17801,4611,573,132,83,9,753,341,1409,7019,14679,7872,258,0,9,72,560,3412,21325,6953,334,8533,14771,6477,1541,408,267
206,2,1,1,2,1,1,276,117,901,21017,145710,92382,1244,267,15786,76326,117635,45163,6180,290,3872,107283,115017,29388,5414,604,69,54619,107637,66389,27155,5298,530,19,15342,98565,101896,35852,8866,1055,71,22611,238969,67,0,0,0,0,46680,214922,45,0,0,0,0,11783,96229,92421,43591,14174,3156,293,51198,95285,80331,29345,4968,485,35,2359,5915,24016,67565,101453,58896,1443,166,454,2834,13415,58057,151313,35408,4192,57960,96077,64483,26967,9086,2882
207,2,1,1,2,2,1,1,3,4748,77348,170610,119622,13111,90,22178,104522,121102,83742,49756,4053,3758,128398,120250,70498,40847,19207,2485,19055,76692,128180,116463,37817,6117,1119,19141,90759,106445,75568,47658,35867,10005,6989,373301,5118,35,0,0,0,12050,368094,5265,34,0,0,0,12610,92112,97424,72623,50034,42107,18533,18897,58799,127459,110067,51937,15648,2636,3245,14446,41524,78563,125400,110229,12036,442,20357,36763,59904,100124,136152,31701,11938,90763,111617,72374,41946,25275,31530
208,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,0,2,7,10,12,18,29,12,6,6,5,5,7,13,17,16,10,13,8,7,0,0,0,0,0,3,25,0,0,0,0,0,0,34,0,0,3,35,14,39,49,18,19,16,5,7,31,65,46,10,3,1,0,0,30,100,0,0,0,0,0,17,0,0,11,45,27,2,20
209,2,1,1,2,1,1,0,818,14461,62630,134884,98684,2549,1211,29003,89781,114244,59364,20071,352,6496,109724,120692,58959,17221,852,82,21422,103963,122448,49349,14874,1939,31,29608,130504,83476,45186,19653,5464,135,20590,289497,3907,32,0,0,0,31236,279733,3046,11,0,0,0,32214,122577,80030,45422,22714,10571,498,16879,111962,132773,43800,7968,588,56,2337,5383,25969,69798,112243,92212,6084,1463,6109,13901,29925,56749,110011,95868,18090,112504,87979,50143,25216,12165,7929
210,2,1,1,2,1,1,24,6445,26068,62745,78199,35812,7193,4053,28824,66049,64357,35117,13292,4794,7377,42497,88335,53705,17653,4322,2597,32319,98579,63984,15679,4996,876,53,7489,26682,52724,68970,44549,12791,3281,4641,204212,7443,190,0,0,0,7359,202762,6307,58,0,0,0,7229,29123,50181,61439,46926,16676,4912,27454,84963,60967,31072,7025,3342,1663,11590,5041,29354,78265,61779,27231,3226,3997,21650,51036,53781,40754,29792,15476,3350,16596,37248,48703,49921,36016,24652
211,2,1,1,2,1,1,0,527,23845,86125,140880,103786,6375,604,35250,120268,120266,64424,18189,2537,8300,135697,134619,68597,10952,2142,1231,38893,117734,122316,57867,21339,3317,72,27500,138544,118302,56767,14966,3717,1742,27528,331524,2480,6,0,0,0,50371,309250,1916,1,0,0,0,30281,135923,109423,57354,19802,6165,2590,28791,123813,140129,56575,9416,1929,885,7563,6986,28939,80358,117164,105925,14603,279,3438,12748,32826,79413,157826,75008,19715,111092,115115,67093,29611,11052,7860
212,2,1,1,2,1,1,0,29,2886,32043,122927,165296,17128,677,29059,83423,105288,82290,32201,7371,10078,101947,128757,77616,13629,4599,3683,83242,113742,87155,36665,15720,3705,80,63669,111829,91010,47800,18467,4842,2692,63690,274984,1635,0,0,0,0,92839,246366,1104,0,0,0,0,62560,121803,80483,42346,20847,7087,5183,63116,114072,98385,44780,13561,3699,2696,30585,12154,38525,82472,101660,66853,8060,148,2870,13039,26217,55380,121618,121037,38558,90307,98400,56048,28069,15452,13475
213,2,1,1,2,1,1,0,0,0,0,0,1,27,0,0,0,0,0,6,50,0,0,0,0,2,18,50,22,4,4,14,5,6,29,0,27,14,19,22,39,19,0,0,0,0,32,8,0,0,0,0,0,30,12,0,0,0,0,0,38,25,84,0,1,15,17,11,8,109,78,0,0,0,0,0,20,120,0,0,0,0,0,61,0,0,4,81,9,0,80
214,2,1,1,2,1,1,0,4074,50239,61236,44909,20233,7449,920,48142,64432,40154,21062,8374,5056,22248,87901,44085,21075,6337,3531,2963,20747,32507,36162,39296,34702,21067,3659,29409,64475,44790,28193,13519,4695,3059,3828,171553,11521,1226,12,0,0,3648,171700,11613,1168,11,0,0,25498,59278,40614,29222,19319,8771,5438,15411,33718,68613,52405,11787,3370,2836,9287,4613,12759,23699,33995,56212,47575,99,1930,9422,22805,43707,76505,33672,39003,56901,36258,23107,14904,9801,8166
215,2,1,1,2,1,1,0,0,3108,86492,124717,40052,1311,142,19783,98296,90180,38542,8232,505,4439,125452,81635,33185,9101,1731,137,15287,46352,65464,68981,44231,14645,720,25061,86426,75093,43228,20915,4742,215,9189,242731,3737,23,0,0,0,16044,235811,3802,23,0,0,0,21546,88080,67811,43689,24372,9288,894,15351,38836,84412,92843,21773,2296,169,1282,3299,13164,35034,71331,104575,26995,50,2222,12110,27708,59323,113545,40722,26526,95188,69231,35495,17342,8627,3271
216,2,1,1,2,1,1,68,125,1220,57753,141094,146794,8908,106,11818,96077,151109,83510,11969,1373,3790,180060,128892,36508,4727,1589,396,75979,101447,77885,55569,30974,13234,874,89243,208252,49410,6381,1847,774,55,106271,249265,426,0,0,0,0,165731,189948,283,0,0,0,0,65198,206555,68349,11001,2770,1447,642,51224,123711,105551,57721,15614,1868,273,15337,18137,30866,54286,97719,111136,28481,0,35,278,1295,9396,117773,227185,53683,181118,89495,23851,5071,1942,802
217,2,1,1,2,1,1,0,1,2,607,15307,193185,19536,20,4678,19278,50023,99813,53196,1630,527,35622,87109,86364,16172,2399,445,52711,78748,62189,26387,7258,1344,1,27689,111835,70544,13278,4116,1175,1,11904,142272,71249,3055,158,0,0,18757,139945,67438,2361,137,0,0,15024,105738,82860,17148,4695,2468,705,40638,49236,58960,64346,14075,1184,199,10833,10135,36832,96457,66376,7951,54,1,9,190,1183,5465,78800,142990,6397,69340,110691,31531,7238,2168,1273
218,2,1,1,2,2,1,0,0,1,17,21444,218483,8716,1,2167,16532,82190,129499,17159,1113,606,56391,137722,48738,3836,975,393,53062,65685,67682,45521,14996,1672,43,43625,115610,73716,12994,1986,569,161,26255,220828,1575,3,0,0,0,40232,206930,1499,0,0,0,0,28162,117295,82737,16272,2938,736,521,41721,68409,72194,53586,11782,745,224,10117,12281,23931,61497,103763,36265,807,0,4,87,799,6730,93525,147516,15755,107187,95839,23691,4545,906,738
219,2,1,1,2,2,1,0,0,0,721,95421,180316,18433,1,2030,44035,146817,77779,15927,8302,1898,131672,121258,24348,5951,5032,4732,102835,73784,56684,37424,17533,6099,532,76584,145361,52015,10551,3841,3365,3174,69759,221274,3858,0,0,0,0,107383,184601,2907,0,0,0,0,50959,152710,63029,14644,4508,3269,5772,72820,111190,69136,25890,8041,4117,3697,29346,21496,34308,54381,76758,71977,6625,0,23,408,2119,11793,100840,179708,29625,114401,90383,38745,10980,4334,6423
220,2,1,1,2,1,1,12,595,5794,45233,111841,50745,9251,1329,16812,83793,81735,25727,8087,5988,7501,134479,57376,13728,3444,2378,4565,48498,46185,45487,40585,27007,13970,1739,74681,109330,25081,5934,2906,2057,3482,67584,151859,4026,2,0,0,0,101805,118282,3384,0,0,0,0,54331,114742,35372,8610,3287,2207,4922,43687,53868,61920,39716,16742,3187,4351,22507,8635,12974,20929,47084,87984,23358,3,175,623,2337,10296,73730,136307,55392,110901,35101,10434,4258,4751,2634
221,2,1,1,2,1,1,0,1026,38622,131333,114015,32960,5595,997,55679,139826,85612,28914,8734,3789,28502,198907,67566,18354,5212,2404,2606,23613,34202,47272,63656,72798,69074,12936,72518,165097,54246,19215,7513,2525,2437,44628,271472,7033,418,0,0,0,68783,247568,6794,406,0,0,0,64382,159761,58321,23502,9807,4071,3707,21218,39518,82674,114256,54326,8991,2568,9167,4714,10085,21088,43966,130956,103575,28,800,3717,11170,31773,149158,126905,113960,139270,39609,16295,7515,5122,1780
222,2,1,1,2,1,1,0,32428,81270,55977,26617,8870,10259,11135,99185,56658,24208,10377,4734,9124,69066,91216,30677,9995,4084,2514,7869,16360,17140,21389,27473,41205,65041,26813,72531,77813,35847,14015,5707,2415,7093,5109,182757,17011,10071,400,65,8,4732,183114,17238,9862,399,68,8,68077,74031,35569,17895,7740,3789,8320,15635,23619,53712,85418,25975,3272,7790,14878,2923,5870,12882,20950,48009,109909,95,695,3217,10781,34495,106371,59767,102400,57889,24941,12425,6521,8546,2699
223,2,1,1,2,1,1,266,20182,62908,37724,23788,15155,5663,3978,69180,42612,23479,15193,7338,3906,47435,69793,26256,12094,4823,3046,2239,10789,11019,16703,25932,38941,48464,13838,48363,59000,29566,15321,7387,3698,2351,4404,144627,13013,3574,65,3,0,4091,144932,13119,3473,68,3,0,48597,55861,26588,16211,9427,4862,4140,9871,13084,46872,66292,22271,4906,2390,8378,3232,5261,9831,18216,38768,82000,157,1038,4410,12801,27211,76988,43081,73608,45638,20921,11892,6639,4056,2932
