census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6
274,1,2,2,1,1,1,178407,118549,89447,64255,20406,33516,303621,134975,22864,8556,6762,27802,382105,67061,19023,8309,6521,21561,145952,91815,74102,70334,62420,59957,240526,119049,73865,33174,20182,17784,486103,17763,652,57,5,0,487365,16652,507,52,4,0,337223,94349,26846,16832,12539,16791,240589,109124,75800,35092,16336,27639,8713,13790,19449,36553,116902,309173,35917,54180,57942,62446,99473,194622,245681,151506,53739,29632,11333,12689
275,1,2,2,1,2,1,0,288,12909,15529,23959,336,5782,12753,14423,13917,6146,0,8686,14443,15250,14317,325,0,37548,12718,2130,489,122,14,18157,7418,8029,8237,10879,301,46815,6164,37,5,0,0,47736,5246,34,5,0,0,17487,8148,7658,8656,10981,91,24688,15383,11735,1140,75,0,10043,18144,15914,6522,2148,250,2781,8394,6784,6128,8998,19936,10494,7613,6202,6477,5217,17018
276,1,2,2,1,2,1,1954,4334,12337,21850,37877,417,6242,14981,23093,25202,9251,0,5634,18208,29976,23520,1431,0,47553,25184,4562,1225,228,17,13737,10240,14385,15465,22065,2877,68960,9655,144,10,0,0,70408,8243,110,8,0,0,13582,12743,15317,15773,20718,636,26671,28992,19997,2870,236,3,3907,28480,26082,13615,5000,1685,11763,17837,12328,10389,12152,14300,5185,8356,9907,11344,9585,34392
277,3,2,3,3,3,2,1,1,1835,12165,16674,2562,430,11781,13447,4979,1672,929,9041,17693,3812,1642,688,362,6461,13081,5991,3713,2984,1008,16828,9563,3869,1673,1187,118,32648,590,0,0,0,0,32634,604,0,0,0,0,22738,6214,2043,1292,818,133,8581,13189,7973,2218,693,584,95,683,3518,6700,14639,7603,16,244,1254,2403,7934,21387,14969,11413,3903,1547,735,671
278,1,2,3,1,2,1,3355,8467,13350,20826,54340,1542,10207,16277,25319,38091,11985,1,8516,20221,34244,37884,1015,0,72537,22225,4328,2082,658,50,14341,15972,18495,24013,27676,1383,78506,23190,182,2,0,0,81375,20374,130,1,0,0,14043,15189,18447,25869,27917,415,33069,44449,22376,1875,111,0,9611,43323,26046,11549,8290,3061,14396,21113,17182,14142,17004,18043,5732,8698,11848,14662,12694,48246
279,1,2,2,1,1,1,455213,35733,2582,251,37,37,473459,17313,2573,409,77,22,452607,31839,7605,1596,194,12,173995,70296,62078,66391,71949,49144,269511,118114,62651,28642,13443,1492,446689,45232,1412,379,135,6,446872,45325,1163,353,134,6,367578,84603,25149,12081,4268,174,292908,91584,65338,33881,9846,296,754,1627,5994,17174,64342,403962,95273,74723,68182,59850,74151,121674,280871,129753,44018,19694,10165,9352
280,1,2,2,1,1,1,256375,75642,13677,3818,1201,10,315695,26803,5894,1981,313,37,314757,24586,8426,2651,262,41,100403,55041,47920,46738,45189,55432,190699,92525,42156,15488,8428,1427,333375,15979,1186,162,20,1,334624,14983,966,131,18,1,280449,45314,12344,7699,4483,434,184764,70874,50878,28412,14818,977,313,2629,7580,13385,42645,284171,37945,47197,48468,49553,67965,99595,236066,66759,21255,10907,6444,9292
281,1,2,2,1,1,1,289965,39155,2662,869,331,51,319549,9795,1928,1082,585,94,319535,9286,2266,1124,697,125,49435,46945,50792,56079,69169,60613,160086,108747,50814,10055,2652,679,252874,79451,650,46,9,3,262333,70166,479,44,8,3,273027,51200,5830,2142,793,41,148986,88037,52739,33475,8877,919,7,104,548,3059,15130,314185,38573,59129,59382,55894,62246,57809,238621,81890,9690,2057,562,213
282,1,2,3,1,2,1,31928,72704,32345,9942,1439,12,111893,31693,3384,1226,171,3,136044,9593,2015,607,103,8,23281,29997,27828,25433,27303,14528,74519,47564,21148,3650,1337,152,132857,15444,64,5,0,0,134516,13805,45,4,0,0,122945,19834,3641,1490,451,9,63381,45248,26077,11668,1896,100,69,114,553,3074,19061,125499,3643,13725,22983,25482,35565,46972,93915,45717,5955,1817,659,307
283,1,2,3,3,2,1,274741,92647,32785,4145,1779,3644,350370,43855,6908,3169,2207,3232,359127,32525,9027,3884,2543,2635,83624,62452,61337,65403,78444,58481,174435,112523,80455,27486,11069,3773,254548,137416,14397,2319,562,499,257408,136915,12203,2151,583,481,267207,101969,21017,10820,6949,1779,184097,101805,69391,39278,10868,4302,386,2381,6042,12920,50349,337663,58712,77236,67667,55165,64135,86826,211091,140734,35945,13875,4862,3234
284,1,2,2,1,2,1,344174,13659,2640,1243,1297,4115,335626,18810,5077,2260,2089,3266,297143,50204,11753,3504,2404,2120,66995,68103,77365,74611,62543,17511,97957,131411,80440,39785,14881,2654,42925,163187,115061,27797,11129,7029,42936,185926,95282,25141,11148,6695,159228,130475,37257,18950,15831,5387,182412,119184,44338,14756,3316,3122,348,9725,12138,18042,48384,278491,97993,103766,76698,47032,29450,12189,103906,146302,56139,24910,12920,22951
285,1,2,3,1,1,1,119354,5772,673,100,18,0,115361,8533,1490,421,107,5,104437,17298,3239,772,167,4,18635,20703,24973,26393,26082,9131,32104,43634,32322,13745,3945,167,12284,76755,25987,6894,2440,1557,11732,82485,21493,6260,2460,1487,54839,47413,12994,6209,4053,409,52952,44792,20580,7124,462,7,193,2060,2538,5311,15990,99825,33208,35972,24565,15718,11749,4705,37243,53566,17841,8171,3934,5162
286,1,2,2,1,2,1,454028,33576,4175,874,203,12,456704,29461,4867,1439,359,38,433578,46818,9568,2302,555,47,64831,82630,90391,96023,102754,56239,163362,183147,110275,29987,5768,329,88010,266558,102838,24095,6145,5222,91459,275692,93511,20952,6222,5032,288739,156740,30614,11304,4825,646,209068,160289,84506,35423,3338,244,1141,4143,6169,13444,49483,418488,72667,125645,106882,79613,67654,40407,208984,204215,49447,16915,6503,6804
287,1,2,1,1,2,1,81260,99168,26178,5433,1760,3165,132609,73275,6931,1586,1069,1494,149238,57341,7512,1740,916,217,33531,54505,48670,39790,30635,9833,61846,81957,56298,14506,2155,202,9589,107397,67562,24498,5425,2493,11433,108939,66601,22154,5502,2335,97261,93066,19844,5411,1311,71,86988,77531,35825,11972,2608,2040,651,1591,4710,15146,57202,137664,10294,37951,46604,44170,47817,30128,50655,110105,39692,11325,3650,1537
288,1,2,1,1,3,1,188248,16814,3178,941,705,4496,188457,16977,3063,1064,1039,3782,161015,38978,8089,2091,1505,2704,44740,38938,37074,36450,34438,22742,72252,63558,47344,22900,6588,1740,7964,98354,63407,27650,9491,7516,8126,103727,61225,24438,9645,7221,99598,73155,26199,9366,4718,1346,105676,57394,29605,14217,3945,3545,1010,4601,8641,12714,34239,153177,49201,51340,39203,28188,26714,19736,74428,75469,37153,15598,6658,5076
289,1,2,2,1,2,1,33718,70803,83411,75719,63479,1927,96791,111424,79064,34365,7334,79,120554,137775,50980,17418,2268,62,135168,121530,44443,18646,7554,1716,85315,129169,67662,30526,14703,1682,46310,272827,9658,262,0,0,47126,274959,6798,174,0,0,109829,131570,51561,23401,12192,504,154088,128137,33974,10794,1864,200,2763,17202,52505,88546,87281,80760,11759,37676,58443,67148,83154,70877,28652,125478,84336,45384,24745,20462
290,1,2,1,1,2,1,110746,153093,50385,23128,6634,43,226545,75519,26032,13621,2273,39,224561,84750,24316,8785,1564,53,94436,122041,69287,38647,16252,3366,100342,140328,61841,27572,12301,1645,5531,327411,11071,16,0,0,7708,329969,6346,6,0,0,150828,127264,39330,17876,8399,332,205349,91003,32997,12131,2320,229,2190,4667,16120,50374,103612,167066,19878,58643,81595,76483,66765,40665,39921,167769,78587,34564,15996,7192
291,1,2,1,1,1,1,125807,87537,20964,8529,4483,258,195209,33287,9724,5996,3194,168,194946,34674,10053,5478,2307,120,49117,81230,56205,34225,20221,6580,80266,103852,39084,14582,8230,1564,35130,209146,3204,98,0,0,42910,202725,1863,80,0,0,140627,73542,18798,8437,5455,719,141088,68041,23097,11869,3113,370,3373,1773,5790,19723,54849,162070,12177,39498,60565,59485,53209,22644,50847,126975,42215,15939,6890,4712
292,1,2,1,1,1,1,36854,104393,48925,22654,12033,278,130520,56276,19769,12148,6383,41,144062,51629,17187,9142,3095,22,59141,81199,44622,21241,12812,6122,72927,83590,39978,16584,11148,910,51306,172622,1199,10,0,0,59912,164535,686,4,0,0,114232,67244,23128,11515,8736,282,115167,72469,19973,14744,2538,246,465,3732,13719,34129,61861,111231,7778,26813,40618,51219,65559,33150,37901,106735,43780,19324,9833,7564
293,1,2,1,1,1,1,194137,132227,31578,11375,2866,308,271056,72696,21239,6485,864,151,262795,83885,19064,6118,550,79,54524,112276,105409,62420,29285,8577,111786,145917,74921,29605,10020,242,79130,289208,4115,38,0,0,80518,289212,2723,38,0,0,186317,130611,36599,15329,3432,203,162876,140316,54043,13410,1771,75,983,847,6067,29425,96362,238807,30622,72702,84503,79027,75155,30482,74454,193915,68376,23392,9084,3270
294,1,2,1,1,1,1,103865,173063,36900,10059,2715,132,131171,162342,25957,6292,962,10,170850,136477,14958,3962,484,3,86067,110393,79904,37021,11140,2209,118597,103731,68917,26955,8315,219,244736,81710,287,1,0,0,252190,74363,180,1,0,0,157673,120250,32111,12719,3922,59,186206,101044,33096,5895,481,12,335,982,8167,45893,173668,97689,11451,38994,55477,61772,82825,76215,62519,145102,75350,27226,10481,6056
295,1,2,1,1,1,1,14913,43631,44666,54381,51547,4453,52973,94145,51007,12126,2816,524,103374,93005,12569,3825,664,154,55217,72760,45349,23824,12327,4114,101895,72080,26738,9996,2715,167,174070,39231,282,8,0,0,175190,38207,187,7,0,0,136591,55392,14031,6079,1284,214,99837,82222,24795,5468,976,293,849,2052,10570,37193,89893,73034,719,5918,15577,29039,68167,94171,75168,88520,31349,11258,5029,2267
296,1,1,1,1,1,1,456808,96724,20759,5361,1821,236,494281,76777,7655,2312,533,151,455536,102664,18561,4360,472,116,224585,145456,94091,62351,41722,13504,279152,140771,88458,50331,21577,1420,462584,116026,3046,53,0,0,470414,108977,2286,32,0,0,326192,145281,59673,36844,13296,423,413919,106206,43168,14208,3756,452,509,3061,22153,64936,162749,328301,97735,83633,77850,76756,111620,134115,215615,172571,76607,45225,33161,38530
297,1,2,1,1,1,1,109790,95342,34202,28300,2452,12,164272,91425,13093,1237,71,0,180862,80250,8043,892,51,0,137159,74897,34090,16407,6717,828,114542,77242,53182,20769,4199,164,226471,41212,2275,140,0,0,229463,38475,2036,124,0,0,137475,87656,30828,11243,2859,37,202831,47704,14903,4250,397,13,845,1322,11677,50919,121756,83579,16919,37455,44468,42023,55072,74161,50372,108263,54723,28802,15814,12124
298,3,2,3,1,2,1,250394,46238,9070,3878,1677,496,249171,47172,10390,3707,969,344,205528,66996,27226,10126,1720,157,142823,60392,35480,26771,25946,20341,120663,67447,48169,40859,30716,3899,202705,101387,7239,410,12,0,206971,98621,5804,341,16,0,142377,64490,38726,36207,26309,3644,192216,62751,30736,18195,7305,550,1401,6928,37637,54324,68865,142598,93877,46457,35798,33605,42351,59665,107065,64292,32028,25218,24095,59055
299,1,1,2,1,2,1,280041,130839,9767,967,187,212,371919,46298,3013,453,180,150,303815,104995,11601,1307,199,96,275315,66658,36994,24547,15099,3400,204911,108229,65926,35449,7245,253,286259,116549,18779,425,1,0,293022,113693,15033,264,1,0,213960,92519,55383,46121,13723,307,358977,48586,11183,2672,452,143,2296,26922,63935,62776,98540,167544,47816,67292,61595,65173,90776,89361,125025,96792,50565,35934,29864,83833
300,1,1,1,1,1,1,181318,95476,47097,22183,5495,4743,189882,99592,44286,15573,4025,2954,198347,91022,49168,13212,3433,1130,36137,132266,132961,43589,10332,1027,133567,68707,74416,65352,14146,124,47876,302439,5754,243,0,0,47757,304149,4259,147,0,0,155331,78342,70950,44590,5960,1139,159139,118532,63885,11858,2394,504,6470,3507,18918,55359,79981,192077,15082,73564,75342,84789,93118,14417,122996,76983,65901,51772,29668,8992
301,2,2,1,1,1,1,12380,45212,59345,51883,50940,37001,26615,60124,59342,60946,23300,26434,36028,84184,77912,28120,13509,17008,75977,95020,59427,20314,5655,368,53245,56411,61000,51440,21530,13135,9251,227475,19657,378,0,0,10195,230720,15569,277,0,0,50935,60821,55901,48065,20048,20991,67919,81618,63860,20199,9737,13428,57487,13073,37545,66780,57839,24037,4020,28385,43915,49249,70653,60539,33551,50253,58942,45333,31916,36766
302,1,2,1,1,1,1,671,9192,28163,45804,83397,57565,4330,23546,43065,71748,60509,21594,7974,49405,71762,55945,27430,12276,53449,89886,57958,19423,3977,99,33136,41529,47375,44441,47563,10748,93634,127255,3903,0,0,0,99925,121504,3363,0,0,0,32292,51398,45871,45446,34355,15430,40673,74268,60903,28194,12228,8526,36391,31816,54618,66228,31881,3858,4121,23526,38011,40361,65523,53250,15261,39666,48049,38796,31028,51992
303,2,2,1,2,1,1,102,212,2065,20340,128429,107734,161,1588,29420,116767,77832,33114,477,55615,104575,58330,25800,14085,112348,104631,34434,6534,839,96,62031,65116,56631,48631,19565,6908,54816,200132,3934,0,0,0,63730,193795,1357,0,0,0,43862,67142,65877,44865,18638,18498,57168,88139,77384,16782,12404,7005,65521,30642,79864,62194,19931,730,178,1899,10412,28725,82242,135426,25004,56228,56644,48020,35396,37590
304,2,2,1,1,1,1,0,70,712,8318,121715,42294,20,5518,26122,87827,44753,8869,1385,40530,79803,40431,7414,3546,113574,52627,6177,615,112,4,57819,37937,32796,27830,16110,617,114792,57804,513,0,0,0,120932,52045,132,0,0,0,46788,41266,34010,29446,14621,6978,66917,64236,28152,8038,5231,535,34156,47977,57022,26977,6815,162,31,2907,14664,20945,46111,88451,24201,33832,34802,26052,21019,33203
305,2,2,1,1,1,1,1047,24138,40480,52417,265486,63517,32908,59231,73031,154305,125639,1971,58936,105021,130101,103937,48300,790,200514,197455,42182,5624,1215,95,113591,95880,81373,71273,74392,10576,305147,141833,105,0,0,0,322345,124725,15,0,0,0,108722,98708,82498,74241,77634,5282,151770,146915,80783,64618,2562,437,26214,123948,131518,82073,56831,26501,5371,55743,60502,66610,110413,148446,43198,90806,78821,65854,61418,106988
306,1,2,1,1,1,1,103970,82044,98655,98927,113903,87147,129081,118720,112445,116751,55865,51784,153694,145108,136467,87887,31733,29757,104388,167169,149393,99523,47556,16617,119213,127375,114822,139109,70164,13963,439219,144577,850,0,0,0,449199,135244,203,0,0,0,133999,139661,127745,117411,27258,38572,135341,158795,149250,84822,39397,17041,88042,24384,88786,112114,107847,163473,16694,88372,117446,112284,160585,89265,115344,116582,106017,100168,86156,60379
307,1,2,1,1,1,1,7852,5910,4436,2080,2663,1834,9257,7327,5667,3485,1126,997,9753,6892,8301,4544,1187,439,4805,9585,11067,6992,1681,383,9289,8286,6838,13988,6111,179,38343,11382,132,0,0,0,40210,9591,56,0,0,0,9642,8885,11141,9474,1097,622,5946,7731,5357,2304,726,139,2105,845,5799,6820,5806,9741,3008,8151,5471,4105,4588,2528,6507,6844,6092,6568,6072,2420
308,2,1,1,1,1,1,20586,12630,2586,7274,5061,14173,16059,16055,8683,4196,4511,11349,17804,21489,4531,3239,5803,6617,22673,8554,6722,8828,8794,2544,16292,10325,13244,6890,5247,2250,13043,33039,5958,247,4,0,12834,33661,5570,222,4,0,16476,15843,8740,3438,4641,6517,22222,12289,13066,7541,4811,3990,25191,1152,1169,2282,10081,18240,1385,7659,8440,6667,10873,19224,11974,11541,10312,5155,4193,11073
309,2,2,1,1,1,1,353574,44259,8387,4739,4856,13942,310127,87661,10982,4344,5785,10858,317640,88016,7175,4734,7131,5061,41147,33546,59937,98819,132960,63348,139347,136401,112433,29417,9417,2742,135985,283848,8721,1203,0,0,131279,288958,8406,1114,0,0,212739,159959,36355,7075,6456,7173,121816,124866,110331,55849,14045,2850,27478,3128,3357,5589,42596,347609,19053,107423,133065,80358,58957,30901,200477,153551,44615,9148,5788,16178
310,2,2,1,1,1,1,122256,60333,4905,5318,3556,8622,110945,61325,14300,3583,2985,6766,113897,65160,6375,2193,3848,3199,18736,13582,27054,45932,59944,24192,43228,55590,54521,16872,3227,944,26638,136840,2854,257,60,3,24905,139045,2402,239,58,3,73979,70640,27230,2652,2586,2844,47059,59471,59862,32228,9486,2055,16007,1156,1386,2678,33933,134280,3460,44007,63070,31853,17406,14586,67360,70639,26650,2815,2164,4754
311,2,2,1,1,1,1,62976,24109,1340,889,256,13,62539,22450,2088,353,67,1,61233,22998,951,202,23,0,2600,3288,9485,19442,29466,19065,14990,30094,26316,5580,393,14,15095,58801,104,6,0,0,14609,59341,51,5,0,0,38209,33173,7682,473,71,3,13914,27240,30866,17138,2946,28,456,163,345,808,10313,71258,3363,28059,24594,11761,6740,2870,36731,30967,9052,413,175,49
312,1,2,2,1,1,1,4701,26537,30950,59722,56756,15221,30068,55220,42106,48639,8284,9572,55979,51566,35203,39055,7060,5029,25892,80844,53810,18449,10021,4881,41141,54526,34772,46088,14614,2669,186037,7154,3,0,0,0,186063,7130,1,0,0,0,60122,50500,43964,30377,4030,4818,36183,79378,51072,18738,5173,3669,12259,11980,42595,33440,44694,48924,150,14076,43335,41077,60086,35086,36822,50073,32601,27619,33191,13504
313,2,2,1,1,1,1,4597,44854,61936,144832,102808,18461,31910,106944,104346,108464,13048,12776,74457,130039,81829,74624,8621,7918,47346,142480,130529,46151,9907,1075,57300,106264,81885,88810,36765,6464,340364,35558,1564,0,1,1,341736,34998,752,2,0,0,86154,113276,88752,71633,7400,10273,64283,137054,118288,46344,6269,5250,26726,16194,71075,86639,109079,67775,1015,42784,86280,85380,105635,56394,40328,109506,84443,60306,46934,35971
314,1,2,1,1,1,1,233106,418402,285527,122345,84668,20851,679956,320131,65431,52224,46987,170,827558,209621,54819,46144,26693,64,333213,357361,214227,124815,79048,56235,546959,311226,168824,71878,60359,5653,1034566,129867,437,27,2,0,1049208,115390,276,23,2,0,731043,257095,81047,44726,49953,1035,647720,281656,126093,86885,21788,757,4702,46803,64366,119788,307708,621532,32644,137028,155806,182089,286283,371049,471029,352487,143327,73121,45977,78958
315,1,2,1,1,1,1,92508,182222,145257,110006,11546,3676,266921,234084,34147,5649,1515,2899,411633,115137,11558,3580,1057,2250,172423,155503,91774,62037,44906,18572,263410,183256,71528,18772,6477,1772,504449,39554,1123,86,3,0,508167,36160,810,77,1,0,376771,126762,25443,10579,4197,1463,318243,132622,62627,23906,4625,3192,3067,4997,15889,42641,193263,285358,10432,29629,58936,94530,167488,184200,194055,240119,64401,23095,11966,11579
316,1,2,1,1,1,1,23818,38745,63614,103674,132675,56232,74360,108895,90901,68790,73608,2204,136243,132324,65930,52984,30654,623,118023,184265,69600,26767,16580,3523,172395,102822,56257,37310,49047,927,250757,166771,1227,3,0,0,256224,161752,782,0,0,0,207499,88005,42847,33850,45932,625,132309,151546,79525,50980,3588,810,8235,54918,69165,79423,107955,99062,3952,22264,48184,54453,103403,186502,130510,111983,60433,36883,27894,51055
317,1,2,1,1,1,1,1169,40033,50693,47021,47549,19940,41871,58656,34668,31260,28349,11601,58340,65200,32356,26351,16454,7704,67303,83897,33329,10308,5888,5680,56706,54358,36705,27047,26202,5387,90306,115791,307,1,0,0,97898,108315,192,0,0,0,69468,53733,29523,24567,24739,4375,78596,65073,24015,24992,5539,8190,6845,27340,35446,54560,46655,35559,3984,18386,34047,37017,55126,57845,21362,65469,45532,29526,21987,22529
318,1,2,1,1,1,1,4004,52822,26177,19586,23452,20966,51040,31694,17231,15141,18044,13857,62277,33243,16342,13893,11611,9641,30968,52028,30926,14635,10839,7611,46240,38779,25116,15118,16615,5139,87129,59763,109,6,0,0,91553,55380,70,4,0,0,62878,35161,15956,13388,14260,5364,48540,45621,18222,20111,4870,9643,10399,15238,16672,22653,32161,49884,1946,12475,22284,24563,39280,46459,30265,51708,25788,17472,12601,9173
319,1,2,1,1,1,1,5465,8766,7616,10268,56543,29282,10694,11540,23115,47955,19036,5600,12440,36520,45528,16234,5324,1894,34705,50812,23504,6583,2039,297,25666,34007,27717,22771,6799,980,25954,90939,1047,0,0,0,29763,87210,967,0,0,0,22196,39121,29289,19470,5468,2396,29575,46033,31712,6973,2388,1259,14315,8167,26632,38007,22618,8201,1546,9813,11758,15001,32738,47084,9740,34597,31633,20323,13618,8029
321,2,2,2,3,1,1,12645,26292,41164,89418,116560,38946,19980,49994,83138,92525,68340,11048,40296,97638,106535,63509,12585,4462,124059,133558,52094,11621,3078,615,101308,80496,66454,49492,25504,1771,130767,190923,3335,0,0,0,142039,181178,1808,0,0,0,98789,91229,66250,46086,15967,6704,100706,124705,77289,15684,5219,1422,34037,36181,84876,91122,56830,21979,1900,13991,29870,44774,90338,144152,50446,91805,67622,49059,33864,32229
323,2,2,1,1,1,1,0,44,5421,28548,53863,27742,7,2471,22157,42724,40649,7610,528,27550,41383,36437,7243,2477,37175,57526,18061,2516,328,12,27462,23065,23994,28641,11770,686,27046,87739,833,0,0,0,31519,83824,275,0,0,0,23242,25384,29841,25168,8038,3945,25218,37711,42449,6401,3097,742,15991,15408,41132,28859,13878,350,5,1543,10113,19375,33874,50708,11736,24926,21255,21447,20215,16039
325,2,2,1,1,1,1,378,3740,6967,13716,75610,80371,1184,7226,21841,57599,66109,26823,2885,31570,69021,46822,20423,10061,70380,85659,21934,2487,307,15,36563,42936,41714,37864,19303,2402,103197,76944,635,6,0,0,105648,74705,427,2,0,0,29310,44642,40518,34356,15121,16835,35637,60522,50156,18433,13170,2864,45280,25240,55094,42506,10867,1795,74,1515,11141,24514,63928,79610,13424,34647,42112,35898,25547,29154
327,1,2,2,1,1,1,234442,46335,30917,25931,7931,13815,262659,42108,30229,8871,4681,10823,263364,50181,26294,7309,5207,7016,139720,74937,42383,35383,33741,33207,168876,73673,54150,43177,14401,5094,283709,73986,1674,2,0,0,287295,70946,1129,1,0,0,199310,70989,46000,26952,10304,5816,192005,82404,44082,21556,11004,8320,6483,7915,26354,40140,61886,216593,41634,48018,57788,52680,57628,101623,157332,98288,45269,30134,19268,9080
328,1,1,1,1,1,1,246004,138060,142168,96807,35369,40641,320485,167104,121081,40941,18775,30663,339157,186243,114336,22407,18764,18142,188163,250812,146937,68170,36298,8669,197281,183108,173610,107450,27044,10556,145228,526170,26115,1536,0,0,157101,519520,21201,1227,0,0,253524,149843,162067,88348,25811,19456,313795,247255,88970,21942,15356,11731,45596,16452,79602,130639,126054,300706,18134,86970,182469,192382,158519,60574,173382,149723,122599,121078,81078,51189
329,2,1,1,2,1,1,13935,69430,123141,117075,43151,14815,48741,125900,125834,56665,13372,11035,65840,159049,120863,22267,6453,7075,116904,188431,64176,9813,2072,151,38135,92034,138026,90308,17759,5285,2347,369578,9184,438,0,0,2756,371213,7296,282,0,0,36529,91700,131163,87717,24853,9585,125024,172590,63415,10792,4645,5081,23899,11059,74984,136238,97895,37472,3002,41685,113193,118643,77277,27747,12707,62432,100966,106895,61753,36794
330,2,1,1,2,2,1,429,20669,72646,130973,126342,9017,17841,66632,130407,107715,36766,715,33172,132252,137497,54894,2016,245,94161,176225,65513,20455,3494,228,41437,106630,119134,81253,11155,467,123646,236094,336,0,0,0,142660,217225,191,0,0,0,41047,105106,111411,77135,24377,1000,83325,147237,85536,39646,4144,188,3763,21513,99613,132242,87574,15371,1974,20819,68863,91086,102967,74367,19358,85355,105966,77092,47712,24593
331,2,1,1,2,1,1,731,13088,33530,95728,92030,5862,4429,39468,77219,91077,27880,896,15080,66097,92492,61234,5690,376,40432,126974,62144,10376,1000,43,29258,55947,67882,74879,12444,559,17950,221009,1987,23,0,0,21736,218092,1125,16,0,0,26277,64431,67856,63906,17515,984,43825,94427,73750,26127,2502,338,4753,15140,74144,95700,46754,4478,1516,12566,50400,66572,66045,43870,9015,52207,75522,59085,34080,11060
332,2,1,1,2,1,1,2831,45465,100365,142354,98876,9266,41138,100118,108396,107560,38211,3734,67471,144428,122801,56497,7070,890,136586,146876,90256,22701,2629,109,122546,121708,74661,58270,21240,732,131285,266969,903,0,0,0,145851,252748,558,0,0,0,113083,130465,76088,54013,23691,1817,128066,128479,99120,38865,4031,596,32168,23926,64188,126212,124235,28428,5052,28747,46367,62149,118421,138421,60731,138942,99584,54266,30851,14783
333,2,1,1,2,1,1,539,16470,121287,289158,146234,13889,14538,179865,206634,128774,50129,7637,55887,274294,152276,80237,20752,4131,199302,201373,130704,42809,9776,3613,173440,215569,104644,54903,33831,5190,26510,518839,41985,243,0,0,29474,528889,29004,210,0,0,136593,243298,106315,55739,36513,9119,207263,205910,106178,52498,12837,2891,43526,38482,124445,194769,153571,32784,5414,31117,45750,72508,201043,231745,73437,225729,153134,73084,36952,25241
334,2,1,1,2,1,1,154,8668,81598,188789,208547,11964,4939,64290,123689,188565,111758,6479,9278,78496,139119,180228,86992,5607,44459,135353,218376,82067,15200,4265,39061,73420,88702,106436,160379,31722,3087,468062,28275,296,0,0,3640,477869,18041,170,0,0,28936,77109,86509,103356,168847,34963,54684,133541,147661,122194,36141,5499,10617,72770,179732,158902,70204,7495,55018,138348,94397,76339,81212,54406,19539,83535,95465,85916,91297,123968
335,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,2,3,2,0,0,4,9,8,7,31,5,5,1,0,0,23,17,9,6,1,0,0,0,0,0,8,20,0,0,0,1,8,31,0,7,60,45,39,3,69,36,19,13,32,13,33,0,0,0,0,20,70,0,0,0,0,9,0,1,19,28,0,20
336,2,2,1,2,1,1,9,3492,50639,235888,135354,3900,2242,56326,148580,159794,61029,1311,17723,158459,168260,76848,7596,396,91958,108405,115831,85907,26040,1141,65368,142871,133982,75840,10911,310,311,101506,278320,49130,15,0,300,109965,274487,44510,20,0,54565,158019,127736,71468,16818,676,69824,109312,131739,97786,20241,380,14770,32829,79270,139237,142597,20579,46,1878,18414,101450,197484,110010,33040,155773,148811,71000,17794,2864
337,2,2,2,2,2,1,420,5907,195425,236545,175660,16898,9909,202000,167702,179652,70524,1068,180573,203385,157215,84082,5052,548,118129,134129,190020,148139,38127,2311,300889,132082,111792,78647,7160,285,211682,104216,309047,5833,77,0,213665,109942,302375,4784,89,0,295048,157268,106939,64848,6339,413,107260,230919,185568,89632,16866,610,45519,33959,63486,123147,187236,177508,7,727,17143,97084,167052,348842,261074,185635,116566,44631,19366,3583
338,2,2,2,2,2,1,24,1005,54825,184682,96451,5927,242,33069,135730,135613,36481,1779,9242,145919,126387,49153,11281,932,38182,81358,86136,88014,41684,7540,53448,101979,97684,65160,21381,3262,1407,222720,114221,4478,88,0,1834,229385,107779,3813,103,0,49657,130858,89707,47591,20486,4615,40543,86036,104524,79917,30809,1085,7198,10341,44169,108443,149305,23458,1289,13755,43937,70781,124078,89074,34044,149983,95297,38358,16834,8398
339,2,1,1,1,2,1,0,0,0,0,0,0,2,10,15,8,12,16,0,30,73,35,45,27,237,14,1,0,0,0,191,53,21,8,0,0,0,0,0,7,65,8,0,0,2,0,75,3,0,66,108,59,49,5,177,36,16,22,27,16,245,1,0,0,0,60,300,0,0,0,0,77,1,7,119,134,19,36
