census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13
68,2,2,2,2,2,2,182,16769,31021,30873,25560,38675,34849,28313,21505,18975,16595,10101,2955,35,6372,23149,21562,25767,39134,31141,28765,36164,25579,24907,13455,343,31,4544,15903,28124,36507,34658,38185,36492,31398,24329,17885,8317,0,5057,14579,33575,35384,49201,54134,33128,28528,16102,4373,1923,315,74,1548,1884,5691,12790,20902,29821,41426,44849,46904,37774,25355,7172,257,0,0,198,1105,19120,59785,63998,46920,37963,23161,15765,7966,392,0,0,197,1278,16246,57865,69829,43875,41737,23964,12663,8317,402,736,1687,7512,13876,20298,28385,34534,40315,35381,39846,31502,20261,2040,3732,14701,24318,34466,29667,33376,32562,38701,25980,18980,15355,4533,2,6654,6258,11416,20849,29845,39142,44121,41945,34392,22733,13378,5078,562,1256,8033,20234,37706,55123,49753,33800,22266,15800,14630,11404,5019,1349,8,781,5586,13658,21812,27912,31905,35063,37261,32177,28223,30305,11682
69,3,2,3,3,2,3,5389,16032,13408,9625,9718,9180,9228,9035,7382,5580,3489,943,1,10754,18325,12289,10219,9391,8485,7856,7143,6630,4820,2571,527,0,6856,18104,15615,11743,9475,8184,7415,7467,6974,4862,2040,275,0,12151,13778,11962,10425,9772,8789,8137,7167,6964,5981,3199,641,44,5950,12634,13338,12781,11973,11220,10367,9451,6954,3525,783,34,0,0,15495,44159,23707,10738,4287,611,13,0,0,0,0,0,0,14808,42532,26628,10340,4100,578,24,0,0,0,0,0,5486,11635,14591,12873,10808,9403,8251,8100,7401,6224,3557,670,11,16932,12631,8932,7693,8348,9443,10481,10166,7642,4761,1750,231,0,61,996,1982,3379,6057,8758,9956,11257,12868,14332,15760,11793,1811,223,1187,2685,4838,7926,10423,11160,11709,12091,13061,13355,9969,383,264,6840,12699,15514,14963,13560,12262,10297,7294,3648,1261,389,19
70,3,2,3,3,2,3,0,0,73,1566,8315,26153,42388,44219,26565,15132,9097,2284,8,0,952,9089,23909,38498,37241,26183,15470,11015,7683,4681,1078,1,375,17142,42339,37035,25036,17047,11711,9057,7472,5431,2618,536,1,600,3464,6111,7961,10219,13225,16765,20575,24787,29017,25637,14872,2567,1394,39145,38443,27885,19974,15285,11720,9456,7094,3956,1309,138,1,0,94741,64329,11978,3649,1032,68,2,1,0,0,0,0,0,93134,64444,13682,3340,1135,61,3,1,0,0,0,0,3348,31837,38288,26618,19042,14413,11671,9594,8161,6905,4506,1334,83,613,3067,4391,7062,11784,20920,35181,43983,31574,13260,3412,552,1,36,834,2334,3494,5161,7084,9485,12506,16562,22976,33840,42263,19225,0,8,139,943,2689,5362,8008,11742,16372,24889,43960,61483,205,16112,54612,31817,20527,14376,10830,8929,7920,5923,3132,1255,357,10
71,2,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,4,5,0,0,0,0,2,11,15,8,1,6,13,30,40,132,24,26,14,13,11,9,7,6,20,17,19,31,66,103,37,20,30,27,27,27,30,41,29,6,33,0,0,0,0,3,16,27,42,28,36,12,0,0,0,0,0,0,0,17,30,49,44,32,14,0,0,0,0,28,40,97,81,53,49,48,70,71,125,80,251,72,21,26,23,20,20,21,22,45,60,139,127,147,10,2,0,0,0,0,0,0,0,0,0,290,660,0,0,0,0,0,0,0,0,1,1,15,0,1,4,10,9,31,64,213,25,18,6,6,4,218
72,3,2,3,3,2,3,0,2,869,12574,29234,43144,36388,31938,14335,6152,5107,2165,26,38,4730,38887,46645,37465,24546,12758,6360,4050,3335,2523,596,1,3132,62197,55037,26959,13626,7157,4145,3094,2979,2379,930,299,0,401,1698,2945,4658,6620,8838,11033,14228,19198,27753,38944,36839,8779,2672,82897,44938,22342,11411,6061,3965,3173,2389,1218,731,124,13,0,157162,22765,1720,255,32,0,0,0,0,0,0,0,0,156253,23433,1980,243,25,0,0,0,0,0,0,0,10705,68027,45430,22524,12194,6898,4496,3360,2948,2925,1745,604,78,716,1891,2745,5522,9747,16282,28402,43890,45456,23308,3506,467,2,87,307,784,1659,2329,2592,3193,4951,8371,14227,24688,54071,64675,1,9,71,238,663,1296,2349,3945,6950,15981,48843,101331,257,45179,78437,25407,13038,6710,3841,3008,3078,2004,733,295,172,32
73,2,1,3,2,2,2,0,6,3817,32099,64255,64861,38856,25889,15204,9814,8389,2752,48,138,8999,52708,60270,47249,34998,22959,15383,10432,7101,4510,1238,5,6341,87617,70432,37602,22258,13874,9014,6527,5537,4474,1876,438,0,434,1278,1969,2568,3289,4380,6296,10384,19365,40301,75010,80864,19852,2305,89849,69711,42063,23104,13611,8966,6216,4789,3141,1582,596,57,0,175589,79014,6310,2750,1782,518,25,2,0,0,0,0,0,175837,78955,6466,2269,1977,459,26,1,0,0,0,0,10517,82339,72083,39382,20438,12601,8450,5560,4257,4983,3960,1239,181,865,1994,1395,1352,2453,5963,16819,42822,84419,87789,19110,1002,7,67,311,879,2385,3172,3326,3876,5622,9315,16050,33035,81453,106499,4,41,298,849,1595,2752,4486,8132,15517,36665,93441,101787,423,58676,126102,38412,16261,8688,4837,3255,3046,3697,2107,732,170,7
74,2,2,3,3,2,2,0,1,1424,25434,65767,70482,50644,38812,23120,13082,10159,5771,169,0,2882,36762,77877,69206,46093,27672,17752,10418,7917,6463,1818,5,2457,88256,98398,45517,25154,15389,9131,6545,6351,5289,2122,253,3,1461,2121,3397,5705,9053,13397,18245,21120,26911,41204,73382,72411,16458,2898,114356,84566,44300,22794,12220,8118,6820,5178,2448,910,223,34,0,154724,106947,24600,10950,4328,1890,832,483,108,3,0,0,0,155873,105292,26597,9192,4624,1875,806,494,111,1,0,0,12230,104294,83959,41408,21016,12305,7659,5912,5800,6128,3473,594,87,822,1442,2338,4130,7477,14927,28643,63102,94185,73992,13256,536,15,423,1798,2192,3013,3862,4590,5734,8045,12872,21473,40629,100299,99935,1,17,114,528,1152,2182,3534,5895,11892,32927,96018,149537,1068,58028,149654,44719,18935,9961,6072,4810,5345,4371,2236,628,102,4
75,2,2,3,3,1,2,0,0,341,15891,39043,24714,19191,12506,9285,7368,7538,5174,146,0,81,2881,17624,31834,29041,19551,14064,9296,7151,7619,2043,12,60,10921,40138,29514,18808,13022,9206,6123,5232,5396,2387,386,4,1148,1771,1990,2598,3692,5493,7791,11417,17749,26693,37852,21649,1354,782,9875,40729,34342,21642,12172,7659,6006,4612,2137,1031,202,8,0,4,30701,49045,37580,13825,7101,2136,631,166,8,0,0,0,3,24875,61713,29206,15477,7033,2069,683,131,7,0,0,510,19920,42993,27891,15548,9224,6275,5235,5093,4807,2859,776,66,522,696,803,1178,1825,3913,11819,32891,51166,30696,5030,645,13,547,1651,2185,2971,3277,3891,4523,5617,8164,13462,26788,54076,14045,1,5,57,218,641,1381,2477,5087,11315,29899,64700,24770,646,1577,62865,34830,13997,7578,5264,4636,4536,3518,1631,583,159,23
76,2,1,3,3,2,2,0,0,97,8639,38822,40642,48984,40534,28726,19608,14789,6825,88,0,8,399,7569,27530,44036,48898,45898,32797,20510,16116,3980,13,1,1229,28074,42105,44300,39786,33300,23522,16646,11882,6116,791,2,866,1000,1379,2403,4551,8197,15870,29033,49077,63203,55036,16649,490,865,3869,28003,43593,47900,42751,33225,22899,13925,6786,3183,732,23,0,0,18641,95092,79318,33241,15152,5313,934,62,1,0,0,0,0,13519,111847,63966,36414,15982,4959,1017,49,1,0,0,418,8399,40546,45021,40353,33377,24717,18812,14470,11878,6823,2722,218,423,623,677,949,1741,4543,16175,46876,94484,66674,13038,1543,8,290,1282,2637,3877,5960,9193,14252,21934,32727,45271,58970,48511,2850,1,21,173,635,1856,4722,12647,28762,45677,66650,69670,16239,701,111,44014,69658,51791,32833,19472,11892,7971,5508,2887,1248,344,25
77,2,1,3,2,2,2,0,1,1398,14139,40125,55820,65564,59873,34977,20527,15824,3836,18,0,3430,10023,17742,35217,50604,56226,57982,40971,22007,15195,2700,5,2799,18378,37127,47495,49689,46355,39084,30310,19588,13070,7194,1011,2,559,586,739,1183,2118,3868,7084,15599,35905,78277,104698,52964,8522,809,18149,39687,53929,54382,50021,40583,24478,14051,9476,5163,1245,129,0,13987,88157,120681,53006,21374,10405,3491,827,172,2,0,0,0,14418,80802,131438,50309,20564,9942,3649,797,181,2,0,0,2972,19805,48464,57705,50654,43616,30253,20207,13268,10588,10143,3984,443,299,475,542,544,975,2114,7482,32446,101669,133262,29835,2454,5,57,375,1915,3996,5714,7451,11645,20549,35039,53716,74049,70205,27391,4,78,530,1631,3415,6134,13499,33001,60990,83347,82338,26615,520,12336,79095,86725,59778,32848,15257,8012,6061,5806,4287,1622,264,11
78,2,2,3,2,2,1,3,1763,11947,26826,48476,49671,40049,32560,24368,15454,16515,9727,30,21,16226,46718,37260,29505,29333,29955,25281,20090,16045,15717,11226,12,16883,70462,47764,34666,24946,18789,14865,11008,9187,9327,10621,8796,75,124,249,535,877,1319,2259,4361,9823,19522,34198,56519,85413,62190,820,81966,42720,27876,23917,25171,21578,15712,11322,10325,8646,6515,821,0,20031,135525,47499,25520,23565,12780,6120,4272,2037,40,0,0,0,19139,142683,44913,18312,26650,13625,5658,4640,1756,13,0,0,22389,64750,45172,36964,24150,18765,13386,9955,8219,8140,10265,9740,5494,146,185,299,422,778,1684,4167,17423,64759,127989,48605,10859,73,22,2392,6459,5792,5868,5529,6437,8457,12737,20564,35291,58475,109366,3,19,159,816,4920,12789,17792,26428,30369,36044,62887,85055,108,79292,71460,40689,27855,16485,10058,6448,5656,5802,5734,5757,2150,3
79,3,2,3,2,2,2,0,52,7218,33782,59787,61285,52657,54058,51557,42580,50326,75049,992,0,8421,48746,45362,41318,38784,42292,43558,41542,44379,52336,78664,3941,6629,76090,69067,51135,39688,33460,30109,26835,26193,27387,36667,59333,6750,294,344,671,1222,1840,3765,7632,18459,41667,82951,135352,154331,40815,510,72457,66031,45063,38571,42187,40670,35581,30616,30829,32010,38706,16112,0,5339,139627,82213,75397,59691,47489,37770,26925,12327,2565,0,0,0,4158,143515,90280,57304,65157,51307,35337,28653,12426,1206,0,0,13448,72112,61825,55014,39643,35904,29532,24394,23074,23651,28886,36363,45497,185,240,358,567,1172,2346,6019,21779,78791,153409,136164,83306,5007,1394,35050,24456,17935,16338,17019,19700,24094,30976,41601,61445,92477,106858,0,15,107,668,5113,31659,62962,66756,69216,68500,98063,86066,218,60116,117035,67204,53032,40123,28362,20240,17222,16789,19690,28543,20976,11
80,3,2,3,2,2,2,0,0,60,829,6758,24194,65206,99445,91491,64741,64128,65367,770,0,55,875,2825,10096,26756,57159,89741,92313,71169,63381,68190,429,21,1577,11860,37521,64936,71298,68661,53230,41679,36507,42792,51968,939,377,530,773,1389,2253,4508,6958,15512,40684,98122,176039,123190,12654,420,1960,14662,34205,57335,74331,75828,62288,45087,36187,35457,36373,8856,0,12,31080,120538,137301,75379,52439,32816,23853,9390,181,0,0,0,17,30666,142118,108592,81379,55599,30951,25170,8302,195,0,0,213,3144,24850,64012,76188,68574,49870,36336,27514,26525,31400,42371,31992,160,279,366,507,941,2087,5159,16706,66975,169205,148634,70702,1268,53,9345,30603,25561,21090,21480,24923,35442,55659,88766,108317,56583,5167,12,75,510,3756,19920,43982,56892,82890,97615,96686,66333,13937,381,880,45123,111669,101946,64585,35881,23032,19479,21513,27154,25537,6165,25
81,3,1,3,2,2,1,0,0,0,3,283,2635,10225,29310,62519,122456,189678,110613,1496,0,0,7,67,306,2192,8887,25579,56227,105684,189472,140504,293,0,2,209,4097,10956,21475,32574,46651,66190,97832,132947,115529,756,289,478,738,792,1509,3096,5512,12417,26438,65776,167828,203011,41334,204,521,2995,6451,12234,23056,37174,53609,73381,100854,111738,89286,17715,0,389,23079,92523,99780,96240,70291,61656,62552,22560,148,0,0,0,316,21146,99253,98360,93852,69018,62346,63638,21192,97,0,0,87,563,4960,10886,19937,27925,32754,40853,52132,72127,99348,105292,62354,114,215,243,356,572,1214,2994,7942,24343,75751,204902,209452,1120,83,9365,52864,50339,45610,51439,67191,77710,74371,59774,33817,6546,109,5,176,2579,26126,96889,108051,87296,74995,64129,43930,19345,5513,184,42,7999,35228,65767,85586,80786,59267,43427,42376,46134,44667,17806,133
82,1,2,3,3,2,2,0,0,3,565,4835,13920,25700,40485,39455,34678,28303,9275,24,0,11,70,395,2838,11939,26339,41336,43725,34985,28932,6673,0,0,35,1481,12219,23418,30712,33450,32189,27265,21783,12786,1905,0,413,715,1188,1760,2781,4593,9118,20916,40847,58607,45068,10946,291,461,1144,6322,14367,25443,36651,37731,31004,21791,13945,7158,1192,34,0,0,3239,61987,69349,39150,17109,5015,1332,62,0,0,0,0,0,1615,66136,69753,37392,15641,5390,1248,68,0,0,0,204,965,10069,18232,25708,30460,28328,25217,21171,17616,13446,5455,372,238,279,433,559,1222,2848,7674,22607,59148,68991,28535,4708,1,83,724,2584,5282,8600,13604,20887,29309,37195,40460,30489,7950,76,1,9,141,1202,2999,5656,12685,31476,53572,53214,28531,7403,354,38,9732,35832,47591,39818,26234,14671,9604,7018,4459,1799,431,16
83,2,1,3,2,1,2,0,0,0,22,1213,5040,13822,29570,47306,61679,49482,13329,58,0,1,46,193,1250,5998,14473,29287,45581,58291,53308,13077,16,0,7,1187,5349,12094,20305,29818,38724,44651,38698,24791,5891,6,274,435,1124,2153,3853,6872,11858,20108,32830,51781,55365,31948,2920,286,1038,4015,8975,15785,25005,34742,40677,40548,30820,15389,3992,249,0,11,3214,44061,68495,54575,29276,15495,5428,832,111,23,0,0,9,2070,48223,68117,52414,28834,15417,5478,848,87,24,0,130,898,5766,11084,16662,24094,29172,32939,33431,31219,23448,10912,1766,142,225,344,625,1228,3016,8010,17581,39253,66066,71688,13325,18,62,1297,5015,8206,13541,20888,30913,39740,42740,35604,19194,4281,40,0,42,477,2150,6745,18068,32402,44381,48035,39326,22617,7054,224,27,5216,23695,42559,49015,39022,24607,15200,10138,6873,3883,1248,38
84,3,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,21,10,0,1,1,5,20,29,2,5,9,16,20,10,9,6,8,8,11,18,18,97,14,4,3,5,2,2,9,4,7,6,3,5,36,51,8,12,12,7,3,8,12,10,8,0,1,0,0,0,0,0,2,6,14,24,4,0,0,0,0,0,0,0,0,6,1,11,30,4,0,0,0,3,2,10,14,56,8,5,11,15,12,7,33,6,118,10,4,5,6,9,8,10,11,5,10,46,24,148,17,2,1,1,0,3,0,1,1,3,2,30,100,0,0,0,0,0,0,0,0,0,1,102,23,1,2,8,7,19,35,71,21,10,10,5,6,22
85,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,2,2,5,5,4,0,0,0,1,11,1,6,9,7,7,5,1,8,0,62,3,0,3,0,2,0,0,0,0,0,0,0,16,51,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,9,18,38,28,14,8,12,5,1,0,33,40,11,7,5,6,14,12,3,2,2,5,0,69,1,0,0,0,0,0,0,0,0,0,0,20,90,0,0,0,0,0,0,0,0,0,0,26,10,0,0,1,6,10,9,34,11,8,5,2,2,30
86,3,1,2,3,2,2,0,1,179,897,2785,6558,14671,23572,32373,30359,21834,7779,121,0,6,309,1001,1892,4224,8297,16650,26816,35201,37390,9289,54,1,114,859,1963,4210,7841,13444,19893,28669,31944,26773,5371,47,216,1253,2398,3700,5098,6118,7802,11197,17194,28388,37853,18229,1683,96,224,908,2580,5019,9070,15819,23463,29376,29030,19661,5550,333,0,213,4204,5719,9662,13841,33083,37455,23821,10443,2558,124,6,0,187,4040,6432,8760,13952,33279,36941,24322,10630,2422,158,6,35,246,1398,2921,5922,9719,13386,18097,22743,26761,24816,13188,1897,108,316,746,990,1260,2139,4192,7380,16555,40484,59505,7399,55,105,1240,4470,11829,18142,19755,20239,21318,19971,14896,7312,1714,138,27,228,2250,8955,19449,27135,26685,21383,14994,10538,7163,2273,49,8,1414,7919,15906,22142,22315,19238,16480,13435,10060,7678,4269,265
88,3,2,3,3,2,2,0,0,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,0,1,0,0,4,4,4,6,1,1,0,1,0,0,2,1,9,5,8,6,8,1,21,14,2,1,3,4,1,2,0,1,0,0,0,1,31,10,11,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,3,0,0,0,0,0,0,0,0,0,2,2,16,2,0,0,0,0,1,14,9,5,15,10,10,10,3,9,13,4,2,7,5,3,3,7,3,9,12,7,46,3,0,0,0,0,0,1,0,0,2,0,10,60,0,0,0,0,0,1,0,1,0,0,22,3,0,0,3,11,14,13,16,1,0,0,0,0,20
90,3,2,3,3,2,3,0,0,0,28,1244,2164,4453,6556,8575,9242,11265,7201,9,0,0,6,316,2034,4126,5668,7884,8523,8799,11545,1836,0,0,21,1971,4290,5081,5650,6635,6782,8361,8076,3315,555,0,496,2674,4333,4407,5503,7042,8697,7711,5334,2939,1364,234,3,190,885,4640,6737,8606,9014,7420,5716,3846,2178,1168,336,1,0,0,0,2956,11462,9606,14191,9761,2435,301,23,2,0,0,0,0,4807,8046,10430,15400,9086,2686,263,16,3,0,75,920,4374,5267,6119,6292,6384,6839,5941,4489,2671,1280,86,118,235,581,1185,2221,4201,9582,13103,11672,5338,1968,533,0,740,3944,3931,4117,4743,5385,5678,5884,5531,4571,3980,2191,42,0,3,9,95,379,886,1872,3677,6950,11105,15446,10165,150,4,2798,6176,7213,7212,6311,6435,6343,4516,2077,1203,442,7
91,3,3,3,3,2,3,0,0,0,11,193,295,685,1047,1394,1504,2064,714,2,0,31,108,270,347,609,1036,1426,1449,1494,1093,46,0,0,97,505,687,1051,1237,1252,1084,1364,537,90,5,0,888,1495,1276,1181,979,866,613,346,193,47,19,6,0,425,466,1489,1851,1713,1096,487,238,100,36,8,0,0,0,0,0,307,1966,2215,2481,767,157,16,0,0,0,0,0,0,485,1443,2368,2722,709,172,10,0,0,0,283,341,731,1168,1351,1414,1263,758,368,159,60,13,0,362,256,478,967,1156,1243,1651,1249,383,125,39,0,0,667,768,745,663,676,713,843,930,905,636,305,58,0,0,0,0,0,2,18,35,76,250,830,2421,3935,342,0,329,986,1350,1414,1353,1295,851,246,63,20,2,0
92,3,2,3,3,2,3,0,0,0,2,39,73,228,360,510,818,2059,3053,2,0,0,11,65,86,142,317,594,793,1421,3461,254,0,0,8,129,158,339,533,634,731,1451,2417,701,43,0,365,2212,1542,788,698,659,487,236,104,34,18,1,0,101,87,422,999,1880,1845,869,467,251,148,64,10,1,0,0,0,82,609,1040,3030,1889,397,94,3,0,0,0,0,0,115,430,1094,3276,1715,428,84,2,0,0,72,62,175,371,566,788,1203,1802,1294,478,243,85,5,87,32,106,365,670,988,1742,1746,903,324,148,33,0,1562,1816,749,540,406,452,476,495,354,176,77,41,0,0,0,0,1,13,30,68,186,342,811,1879,3716,98,0,65,216,509,698,837,1183,1993,1208,326,92,17,0
93,3,3,3,3,3,3,0,0,2,13,56,97,239,467,514,890,1843,3339,1,0,53,48,66,142,241,423,618,771,1211,3520,368,0,0,57,147,319,534,622,683,697,1327,2257,781,37,0,285,1660,1643,1264,900,665,478,316,158,69,22,1,0,154,199,523,1149,1990,1466,928,507,244,160,122,19,0,0,0,0,79,565,1146,2977,2028,575,70,17,4,0,0,0,0,117,383,1204,3141,1917,620,61,13,5,0,118,115,260,570,752,878,1285,1647,999,438,272,127,0,148,79,150,330,490,884,1619,1993,1083,451,199,35,0,978,1465,1180,782,596,525,487,486,474,325,148,15,0,0,0,2,21,43,56,104,140,258,544,2135,4035,123,9,149,446,771,745,953,1488,1689,731,259,152,69,0
94,3,3,3,3,2,3,0,0,0,20,304,364,551,739,1002,849,454,112,6,0,13,140,320,527,706,786,739,616,378,138,38,0,0,34,491,838,941,758,615,380,227,75,38,4,0,272,634,937,954,685,393,235,135,56,47,33,20,0,59,533,1529,1000,522,329,193,118,87,26,4,1,0,0,0,0,15,568,2088,1368,304,48,9,1,0,0,0,0,0,33,285,2216,1531,277,50,9,0,0,0,36,225,1030,1075,851,521,292,165,118,63,20,4,1,91,329,502,803,823,649,491,333,199,125,43,13,0,43,129,177,215,332,460,660,771,787,556,229,42,0,0,0,0,8,26,53,75,97,143,389,1306,2264,40,0,47,705,1308,1145,621,312,160,64,24,14,0,1
95,3,3,3,3,2,3,0,0,2,3,64,83,90,106,169,292,692,227,3,0,15,11,74,93,116,165,212,305,473,252,15,0,0,16,66,170,170,185,249,304,466,83,22,0,0,342,684,271,196,104,60,31,18,16,7,2,0,0,41,112,543,589,284,75,39,25,12,9,2,0,0,0,0,0,18,83,420,875,281,47,6,1,0,0,0,0,0,22,50,415,951,240,46,7,0,0,0,27,34,178,258,326,492,287,69,34,9,13,4,0,53,95,193,399,418,288,142,68,38,19,18,0,0,308,322,207,144,113,137,131,132,132,76,29,0,0,0,0,0,0,0,5,7,16,34,56,312,1262,39,0,18,98,220,343,344,381,266,39,10,10,2,0
96,3,3,3,3,2,3,0,0,0,0,56,148,388,808,1250,2140,4839,4323,5,0,0,10,67,190,389,699,1125,1719,2916,6097,743,2,0,2,109,402,745,854,1306,1715,3068,4026,1673,55,2,346,2206,2817,1977,1480,1230,1231,1185,838,421,178,40,8,140,284,792,1428,2352,2876,2262,1667,1120,729,260,45,2,0,0,0,25,630,2130,6277,3767,976,138,14,0,0,0,0,0,66,456,1976,6788,3508,1036,121,6,0,0,62,172,465,671,1044,1781,2432,2630,2074,1403,903,306,14,99,137,283,502,808,1285,2403,2868,2697,2088,743,42,2,806,2720,2310,1739,1433,1265,1125,953,755,524,267,60,0,0,1,5,22,85,234,486,850,1358,2011,3198,5609,98,0,162,589,1031,1397,2039,2896,3038,1895,594,252,63,1
97,3,3,3,3,3,3,0,0,2,146,878,1270,2619,4663,8469,12145,12580,6832,70,0,2,231,868,1319,1759,2698,4974,9006,11279,13652,3871,15,0,69,1131,1823,2531,3571,6068,7455,8904,9406,7714,999,3,502,1356,3070,3758,4260,4279,5312,6496,8038,8045,3884,652,22,205,411,1913,2987,4505,6226,7557,8426,7632,5700,3154,925,33,0,0,4,419,3863,13065,18503,9801,3480,501,38,0,0,0,0,6,713,2473,13022,20217,9065,3736,420,22,0,0,146,402,1501,2323,3588,5165,6012,6967,7541,7012,5357,3245,415,261,581,798,1150,1585,2139,3814,5740,10489,13725,8417,973,2,494,2091,2746,4512,6370,7009,7383,7352,6332,3746,1350,284,5,0,3,45,435,1774,3296,5332,7916,8728,8775,8765,4469,136,1,399,2557,5857,8340,8354,7327,6446,4631,2763,1898,1048,53
98,3,3,3,3,2,3,0,0,11,199,1077,1432,2845,3949,4928,5642,6073,2817,8,0,146,189,533,1147,1957,2886,3801,5093,5912,6650,659,8,0,248,818,1639,2429,2913,3649,4248,5270,5049,2291,413,14,612,2331,4201,3742,3597,3089,3252,3194,2502,1513,634,273,41,440,495,1622,2721,4503,4562,4268,3430,2978,2273,1280,349,60,0,0,0,98,1292,5873,11106,6645,3234,637,78,18,0,0,0,0,215,777,5677,12023,6218,3433,555,67,16,0,317,421,1050,2024,2871,3869,3751,4122,3535,3235,2515,1141,130,403,265,579,1222,1776,2502,4307,5206,4893,4888,2490,436,14,364,2126,2564,3705,4318,4049,3111,2576,2355,2143,1283,341,46,0,1,39,596,1644,2472,2956,3026,2975,3424,5224,6258,366,34,542,1230,3066,4379,4443,4210,3930,2998,2389,1431,324,5
99,3,2,2,2,2,2,0,0,1,64,675,1788,4959,11132,25890,59315,183620,760226,182926,0,0,25,109,381,2201,5085,12143,33037,70422,200938,644160,262095,0,72,889,2783,6683,12416,25443,40702,73048,111108,197221,490426,269805,743,415,587,901,1627,2528,4866,10845,25677,81803,278444,686807,135353,694,781,1894,5579,13829,28084,55103,81948,111298,143873,180487,283102,323924,0,7314,54473,78494,84922,65764,88055,119698,136392,156497,301332,136545,1110,0,7909,57779,90609,59967,72202,91902,115040,135751,157250,267363,173758,1066,490,351,2421,9687,20583,31632,46061,62000,80680,105989,151877,225483,493342,436,162,203,193,493,888,2509,7097,16114,48395,215208,638619,300279,41429,388749,181620,100393,98311,102517,99091,86053,65203,41404,19918,5558,350,15,73,304,882,2986,26240,188820,391767,335556,194988,70269,17876,820,178,5491,38305,87467,120206,125358,113794,107661,139070,225523,211808,55638,96
100,3,2,2,1,2,1,0,1,812,5066,10994,18940,31206,47937,62205,75360,124090,706479,59358,0,1708,5112,5295,7965,14431,26134,42535,58993,82685,122890,604486,170214,1812,7400,13201,22474,33655,40412,45391,49636,56988,62691,88761,432443,287584,3787,1155,1145,1285,1954,3445,6874,17601,45182,123833,312256,519538,104393,4089,10741,13689,18614,29243,47153,65902,68715,65414,67823,91212,263483,396370,0,733,20738,52036,109133,118401,122269,141740,277190,177707,118509,3795,197,0,802,22897,60039,86303,129978,125367,137123,293655,191952,90040,4093,199,4832,12500,20981,41180,43188,46537,45947,43680,43225,46422,62642,139789,591525,2516,794,674,656,1148,2091,4172,10769,33940,99250,199404,564152,222882,44153,494531,139227,52502,41003,42686,47964,53913,59494,63358,57192,33038,13387,1,17,143,1222,20525,137359,349363,289046,159454,101584,53004,26551,4179,8146,28821,66984,88716,78901,61640,47581,43930,67562,170786,302016,177149,216
