census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11
116,1,1,1,1,1,1,8,100,390,1361,3931,10535,24826,59962,196256,740110,152727,62,326,692,1311,2838,6879,14155,31770,114399,829263,188511,15,145,660,1602,3713,7701,15867,36018,106256,728985,289244,1972,3362,3529,4669,7164,10156,18750,39224,114094,394665,592621,330,1049,1566,2081,3841,7330,15710,35036,92616,300063,730584,0,168,6759,17880,35084,87903,111670,182447,432954,296362,18979,0,212,5712,18662,46249,77111,111925,194319,426537,290813,18666,65,422,1269,2129,3858,6653,12677,25245,65152,246217,826519,1250,1502,1436,1575,1982,2911,5654,14976,71654,673722,413544,13188,225089,482707,204562,109453,70326,43133,24791,12825,3829,303,15076,143145,266832,303088,271514,125631,37170,14882,8346,4170,352,39,2155,10986,25579,46022,74886,115611,187235,284359,332382,110952
117,2,1,2,1,2,1,3854,7150,11495,17938,29960,46906,84397,121563,152064,89712,5616,4034,6766,9760,11145,17639,25835,45338,73499,164562,203856,8221,1656,3763,5487,8873,12669,19493,29821,58692,149194,259846,21161,17504,18120,17410,24915,31720,44344,57995,81719,104889,119160,52879,5025,5094,4868,5805,8555,12917,21664,37506,82324,180658,206239,0,1662,6313,10359,14846,32287,57523,88882,200281,143595,14907,0,1733,5926,10584,17885,29400,57746,95892,197397,141067,13025,2177,3104,4324,5806,8861,11984,18464,31879,68535,180290,235231,14752,9435,8278,9387,14500,17859,32019,53871,142734,239426,28394,2220,61146,233965,128191,60209,31336,20051,15819,11880,5473,365,129974,172587,117679,66694,33387,16114,10261,8015,6646,6885,2413,392,1693,7192,13021,17875,23583,31196,43046,60496,145064,227097
118,1,1,2,1,2,1,87,2024,4929,9134,16473,29302,60460,137362,352453,707505,57375,1211,5973,7004,9346,14694,23921,46358,98372,322604,809138,38483,568,3006,6066,9614,14798,25674,45929,101062,312862,806567,50958,9670,13760,18398,25931,37045,55775,93666,162167,338471,492069,130152,4069,3878,5193,6743,9876,15527,27763,58657,159275,501570,584553,0,345,4249,9807,17816,44799,92055,235407,615075,349671,7880,0,385,3868,10072,21168,40631,94832,251496,597479,350941,6232,2791,2755,4691,7304,10401,14837,23964,44481,111678,429085,725117,9577,8229,7797,9124,12728,19286,34892,73740,285014,836963,79754,4883,85497,457094,402850,225059,101051,51177,28029,14884,5889,691,70725,351513,445283,292107,125722,45386,18995,11006,7509,5551,3307,1117,2905,7526,18749,35739,56233,83604,129484,210676,467159,363912
119,3,1,2,1,2,1,173,1829,3918,7265,14415,34335,78286,161664,283304,347682,21084,784,3043,3937,5963,11177,19692,43786,102599,272904,472899,17171,137,1765,3969,6442,11503,20988,38777,84563,257513,503783,24515,5375,10262,17241,26978,37465,59156,93779,149652,242348,261146,50553,2188,2347,3068,4408,7562,13341,24455,51649,127124,351792,366021,0,6,1133,8019,14296,34202,68956,145935,417295,255698,8415,0,7,1078,8078,15605,31902,70507,155539,402396,263248,5595,1436,1645,3091,4941,7743,12589,20812,39682,98373,331774,431869,4539,4448,5271,7446,11607,20786,36492,85879,253001,490083,34403,3137,65880,362359,267160,116062,61695,37690,22361,12156,5004,451,117812,263785,259505,165436,76401,32655,16774,10092,5900,3380,2215,880,1979,6188,13854,25294,39565,57138,81524,115827,258552,353153
120,1,1,2,1,2,1,0,2438,2877,2148,6141,17408,52111,126855,263517,314432,23098,331,3777,1707,2479,6372,11883,34775,98897,263325,371090,16389,2649,2356,2949,3931,7130,13744,37411,110805,272535,338429,19086,8250,3601,10353,23498,33783,55285,69500,98785,157965,280013,69992,6761,1364,2137,2714,4343,8373,17952,56089,173671,323570,214051,0,0,1802,9241,5694,9450,29473,58205,336571,337425,23164,0,0,366,10445,7271,8650,29179,68322,302515,367967,16310,6247,1704,2448,3796,6106,10563,18214,39178,133169,358510,231090,6755,1420,1667,2933,7230,18167,35025,92659,231090,384541,29538,7144,35560,206586,214650,138402,94272,62204,31948,13978,5461,820,54261,180376,225044,188247,94426,32271,14456,6998,4528,3205,7213,5659,3109,7565,19004,41669,63898,78157,87485,105717,191876,206886
121,2,1,2,1,1,1,41,2607,7154,16663,42637,70366,90073,108070,164427,118651,227,1029,4942,10056,33484,54242,48556,62885,94173,146777,164511,261,1052,5892,26970,36643,39772,45929,63553,93447,140750,165592,1316,8244,8170,10699,16306,26242,44712,68487,110217,155880,153802,18157,4896,3213,10405,24931,44504,52909,60387,91867,124788,120876,82140,0,0,870,8817,28628,71736,93266,91003,197407,126498,2691,0,0,352,9226,37836,64212,92525,98927,178048,138043,1747,4285,6103,16975,26276,37654,49622,56667,75799,129542,152238,65755,7431,5061,5703,7239,17618,37452,60333,109520,176164,192060,2335,3829,19236,104360,102619,87172,78834,69515,60988,54092,36130,4141,52505,83135,86954,98109,90779,73789,60705,39657,22239,8052,4992,2624,16349,51193,65483,69855,71252,71908,65538,55801,64381,86532
122,2,1,2,1,2,1,3,435,3996,14916,31664,50003,89949,170734,331870,442514,27908,156,1381,7307,17199,28383,41618,69454,136203,318915,524507,18869,112,2346,10091,16668,25753,38422,62579,126525,321473,538297,21726,5466,8587,18602,31408,48298,77751,125163,193519,296302,307282,51614,3365,1859,3136,6087,13659,28315,50375,86485,167250,364266,439195,0,34,3067,13081,28465,114828,295574,337574,284922,84877,1570,0,40,2557,13548,32786,109366,304203,353144,255418,91945,985,2809,2283,5050,10371,17007,25652,39511,71884,154657,410733,424035,4009,2531,4457,8431,16294,34603,67026,153307,326611,514546,32177,4231,63732,335488,365367,169689,81174,53130,40234,30957,17729,2261,165162,321530,297991,187306,91380,43155,23844,14585,9472,5605,3962,1542,5949,17777,29497,40957,53128,69305,93903,127764,276058,448112
123,2,1,2,1,1,1,215,3432,7071,9662,15745,23023,46911,95762,174602,147182,9470,2138,6869,6461,8451,12226,18518,34183,79641,178961,178575,7052,477,2957,4987,6972,9208,16172,30121,75891,188659,190012,7619,10372,20800,32805,46683,59103,71892,80894,82237,77257,42535,8497,2744,3773,4312,5378,7424,11671,21170,41666,103112,188770,143055,0,1766,12017,17522,28697,88262,159010,139393,81813,4570,25,0,2051,10598,18509,37036,81747,160331,148080,69654,5052,17,1161,2792,3756,5042,6743,8904,14066,28508,76000,215082,171021,10356,9194,8897,12987,18914,31137,56675,90351,147825,138688,8051,2676,77039,221279,129700,56260,24747,11148,5881,3073,1156,116,63249,154503,134324,81396,45178,23239,12789,7971,5578,3702,1146,192,594,2389,5173,7992,11465,17126,28929,48613,117457,293145
124,2,1,1,1,1,1,0,171,495,729,2550,10492,28080,70687,167844,133970,488,36,457,884,1676,4687,10102,19551,48297,140551,189057,208,32,770,996,1729,3486,7463,14558,35666,121351,228820,635,3918,5365,9120,16308,27654,44798,65549,97208,98190,45518,1878,2178,833,1512,2899,5344,10244,18665,34843,70605,123465,144918,0,6,930,2535,3400,14302,48832,91845,191734,55747,6175,0,7,756,2725,4688,13826,49289,104818,174179,59747,5471,1667,538,967,2000,3839,7288,15144,31387,73736,156246,122694,2830,1780,2695,4081,6223,10539,23644,52316,136583,173927,888,3194,57628,197461,93009,33443,13086,8683,5795,2673,517,17,99299,104008,63791,39550,29648,23841,19839,16056,12059,5129,2286,751,1334,2482,4801,8418,15300,26674,37365,42872,76547,198962
125,2,1,1,1,1,1,0,103,7039,39032,70536,77442,79698,88704,101973,28892,104,83,1397,22778,42809,58152,72142,69581,80360,102828,43328,65,203,4598,13991,26180,36178,52490,78605,88902,115175,77126,75,47618,71882,42384,33568,35810,45399,59655,73344,62458,20885,520,6505,9043,20818,39697,53958,54278,47892,51198,64382,82969,62783,0,0,53,4837,5739,20680,41622,64008,150071,159547,46966,0,0,42,4889,7847,19427,41783,72027,140232,162292,44984,4584,2703,9493,25138,43498,64286,65222,60487,72871,97857,47384,18521,25211,35307,38483,39304,47919,60559,73572,100573,53951,123,6638,66399,131716,111580,62990,36663,27585,23754,17978,7583,637,72896,79594,56260,46192,43185,43424,47006,47472,35533,15771,6190,3157,2948,9973,19713,28195,44112,74467,81399,61275,70053,98231
126,2,1,2,1,1,1,59,17153,13519,38278,74690,94184,144229,187210,181023,92636,3114,17236,8739,23371,45358,62535,81253,110512,159344,201794,134028,1925,18839,6471,19275,32910,45277,62817,94469,150402,227224,186389,2022,27510,19256,33397,46452,66811,100343,138633,157490,167166,82312,6725,23320,3430,4867,8335,18147,37664,66676,107271,170390,248406,157589,0,277,19724,19467,36558,161171,283001,221863,99625,4397,12,0,341,19497,19976,43934,154261,286358,232010,84785,4922,11,22326,3929,7724,14574,24610,38536,58024,100469,190723,286566,98614,25701,6773,12463,22714,38645,74853,117482,168014,210949,165950,2551,22584,20247,151045,218008,160643,96882,63134,48185,39735,23354,2278,200635,224493,169880,111544,62523,26795,12120,7034,4670,3449,22952,19392,6103,18798,32019,40034,45773,56659,73710,98146,184420,271041
127,3,1,3,2,2,2,3,845,3871,15146,46052,93837,120635,126683,142642,60036,1519,149,2202,10807,36646,71977,84895,88200,94114,132503,88857,919,336,5054,19739,44702,68272,79586,83153,86950,111101,111455,921,7983,8197,18580,35548,51926,70176,94169,119391,120792,72755,11752,6073,3496,9746,31049,62687,80526,96798,99769,85297,93150,42678,0,0,430,10340,54781,125761,130738,138411,89238,50094,11476,0,0,421,10393,64033,114518,134857,139237,87805,48801,11204,4865,5454,13885,30764,53582,72379,85867,94802,100250,121643,27778,5982,3201,8198,16520,31432,60778,92050,119918,151118,120056,2016,6309,16395,89723,94744,79822,75449,73610,78069,65535,29005,2608,46050,73259,52202,62048,90518,95808,82935,58863,31400,11483,6703,1634,18759,60692,83550,80159,71644,63243,51933,38620,53081,87954
128,2,1,2,2,2,1,5,602,7652,28665,54487,89032,129761,164015,175795,105207,557,40,831,5094,16890,32037,49706,84722,137182,239405,189128,743,142,776,5466,12314,17562,32060,69276,141731,231407,242604,2440,8199,20079,30884,42318,54697,70682,97165,138730,161238,110756,21030,2304,2521,4990,12725,29653,46376,73165,135011,161828,145793,141412,0,396,2448,7870,19874,33359,40859,62908,174693,242810,170561,0,416,2401,8057,22695,29950,41608,66400,184508,231649,168094,1570,1232,5175,12035,24813,43004,70403,121382,175488,200595,100081,4255,5820,10241,16666,26689,42586,63832,102597,214372,265122,3598,2683,42442,196779,186286,143425,93739,45756,21904,12619,9116,1029,142922,82762,66385,92114,128281,116727,61979,34109,19602,8416,2481,144,5214,17703,30997,55084,91630,114048,103770,70726,78382,188080
129,2,1,2,1,2,1,7,1299,15626,51128,102801,130192,145014,142847,87157,13465,122,177,1728,14125,53601,89702,111905,132415,142724,116955,26266,60,193,1670,9076,29804,62693,94873,131201,171454,146672,41963,59,56737,114061,106541,90780,75068,67959,62912,54757,42146,17477,1220,4409,28533,49990,70394,95505,111704,113064,99610,68358,35852,12239,0,104,2563,8688,24053,77603,125528,143516,141742,148355,17506,0,112,2639,8979,25277,73573,130695,146497,142589,144480,14817,1855,3208,26214,59049,89621,122129,138586,120292,81420,40751,6533,14416,43809,57064,70038,85571,101600,93362,87629,91306,44763,100,5931,115228,148268,131760,114788,86228,48495,24439,11600,2865,56,20066,25879,30671,56510,86381,98047,99913,104017,98745,65681,3748,547,3718,18298,41225,83338,145471,167356,118746,53711,34037,23211
130,2,1,2,1,1,1,311,5631,16975,41343,84840,133250,204462,327811,317302,180300,2357,3022,13666,18153,31624,56122,88148,132906,244582,405414,319488,1457,1911,5237,11663,20371,29864,57226,95707,196239,431121,462736,2507,35086,66045,77852,100587,119325,152750,189781,229825,230574,102448,10309,10171,11422,14281,18510,26760,38139,61219,101908,221431,389302,421439,0,1430,28748,44758,58140,141041,275317,303867,379784,76184,5313,0,1828,24513,47754,80223,127042,272282,339101,333840,83811,4188,5248,7761,11579,18876,28306,35958,56827,106719,232679,481160,329469,34623,34408,29784,39685,51413,74259,131694,202080,366159,347139,3338,7480,117025,512188,349757,181382,85781,34478,16378,7768,2242,103,443846,334425,190096,114151,72973,45938,34360,28669,24027,19651,6446,1751,2724,7224,14847,25025,40045,57779,83093,116168,241873,724053
132,2,2,2,2,2,1,0,0,1,0,3,2,3,5,2,8,11,0,0,1,3,7,5,7,4,3,13,6,0,0,0,6,11,13,7,4,7,8,0,57,5,1,4,3,0,0,0,0,0,0,20,40,7,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,2,4,22,0,0,11,28,33,16,8,9,3,4,0,75,18,5,5,2,3,2,2,2,5,0,59,6,1,1,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,10,46,0,0,2,11,21,35,7,5,1,1,11
133,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,6,0,2,3,4,9,1,5,2,4,10,16,48,10,7,2,3,5,1,5,5,2,10,44,22,6,20,7,5,8,13,9,9,4,13,16,31,17,6,3,0,0,0,0,0,30,29,36,19,8,4,0,0,0,0,0,43,68,66,56,32,22,22,34,31,53,49,265,22,13,10,8,19,17,19,13,57,68,64,5,0,0,0,0,0,0,0,0,60,190,0,0,0,0,0,0,0,0,2,16,0,0,4,14,22,43,20,6,3,2,72
134,2,2,2,2,2,1,456,14133,17241,14610,29071,69755,124362,132633,74173,18962,1947,133,13465,22148,26408,72566,94622,102746,78248,61526,24703,778,49,13737,55249,78649,82198,102413,82679,49351,24224,8768,26,3699,11458,21382,33979,75809,137109,134137,64485,13584,1645,56,2325,10550,40602,114689,106740,80787,60119,43263,25399,11580,1289,0,10,5131,128998,232075,89940,27040,7870,4919,1324,36,0,15,4295,127542,247472,76465,27315,8442,4302,1472,23,2536,20475,93941,91851,75542,64004,50186,43104,32476,19758,3470,3559,15328,21258,17623,34250,77157,138294,129833,49796,10186,59,2453,3676,8377,16980,38431,82854,129980,114382,81053,18681,476,934,5974,13754,23637,36345,52891,73262,105769,131655,50337,2785,581,11982,99960,140378,95705,58476,36341,22341,14000,12795,4784
135,2,2,1,2,1,1,0,0,121,1073,4768,26411,92592,141672,115305,32324,855,0,74,2337,17854,50816,99379,115137,79823,41492,8061,148,35,6059,65121,97102,96143,73235,43186,22812,9358,2054,16,1303,2231,3977,7423,17116,46676,95161,130711,99611,10778,134,726,12213,51030,85292,93979,76230,49874,29716,13331,2581,149,0,16,34024,126005,175067,67081,10554,2303,71,0,0,0,19,33183,136621,170729,61023,11312,2157,77,0,0,521,23599,78846,83911,76144,57467,40937,29058,18065,5628,945,380,1339,3165,5803,18849,52198,124545,157286,47841,3682,33,450,1793,2761,5488,11919,25118,56740,103133,130027,75092,2600,0,121,785,5385,21326,40369,63722,97994,124046,60153,1220,594,55593,125040,111622,61239,29890,16710,9353,3811,1221,48
136,2,2,1,2,1,1,0,626,3662,11411,27751,41751,57248,49662,79703,22128,688,6,8416,31321,61043,47552,54249,44278,27938,16349,3322,156,4050,82559,77321,48525,34917,20332,15482,7537,2783,1110,14,3016,7755,8782,12406,19491,29618,51315,66267,68473,26236,1271,6306,80061,75947,46268,33372,21757,15902,10025,3902,993,97,0,2355,187204,72556,21416,8080,2239,604,176,0,0,0,6208,171665,83806,24712,5377,2098,639,125,0,0,13609,90959,63875,37824,31745,19769,15606,11595,6889,2209,550,4521,5424,8698,14178,47406,67176,93123,41486,11144,1443,31,328,1597,2402,3212,6161,10936,20399,36765,65424,100636,46770,2,61,488,2227,6802,12722,19738,35312,77217,136136,3925,25108,113677,67548,40112,21216,11882,7445,4809,1993,761,79
137,2,2,1,2,1,1,0,15,2576,15635,38798,49007,55125,50880,33268,13107,1885,0,564,5252,20733,47511,65998,55308,35424,21989,6846,671,0,4298,39709,61885,59943,46876,25831,13893,5536,2321,4,2727,1840,4279,8356,22798,50422,80109,66266,22340,1147,12,1958,3775,18045,52208,61504,52418,36510,22938,8881,1996,63,0,0,1104,19262,120565,90526,24596,3776,449,18,0,0,0,698,20173,140568,71170,23529,3768,374,16,0,1425,9998,47550,55836,45403,37565,26546,19512,11298,4150,1013,1183,1712,4286,5389,15280,37176,83167,90668,18449,2979,7,3246,1849,2151,3790,8560,17829,41163,73329,79533,28641,205,2,258,2265,10247,24348,37671,49955,62281,56032,14748,2489,618,10917,64140,76885,50542,27408,15288,7792,3515,2743,448
138,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,4,0,0,1,2,2,7,2,4,5,8,4,30,5,2,1,2,2,2,1,2,1,1,17,23,7,7,2,2,6,3,3,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,1,11,24,20,12,17,11,24,6,39,20,6,9,5,10,4,6,6,26,9,44,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,2,16,4,2,3,6,10,24,5,4,2,3,30
139,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,0,3,2,5,1,0,0,2,12,12,6,5,5,4,10,0,58,9,4,1,3,2,0,0,0,0,0,32,30,11,4,7,5,2,0,0,0,0,0,0,0,0,0,0,0,11,3,10,8,0,0,0,0,0,0,0,6,15,12,3,0,0,8,17,32,10,17,15,22,11,1,64,13,9,5,7,5,11,9,14,16,1,61,7,4,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,1,15,11,0,0,0,3,13,62,13,4,0,0,20
140,2,2,2,3,2,2,0,0,0,0,0,2,1,0,0,3,8,0,1,1,1,0,0,1,1,4,9,17,0,2,4,5,2,6,1,1,6,6,9,28,12,2,2,0,2,7,1,2,3,4,24,21,7,5,5,3,5,8,2,3,1,0,0,0,0,0,11,15,2,0,2,0,0,0,0,0,0,7,19,6,2,0,0,0,1,5,20,23,9,11,19,8,23,14,51,6,6,1,4,4,11,5,9,23,27,41,2,0,0,4,1,1,2,0,0,30,70,0,0,0,0,0,0,0,1,3,41,2,3,4,4,9,42,11,1,0,0,33
141,2,2,2,3,2,2,0,0,0,3,3,8,8,4,1,11,39,0,0,1,1,2,6,13,14,7,29,46,0,0,0,3,11,29,14,10,23,41,16,84,21,10,4,11,8,5,4,4,4,6,7,63,24,22,4,18,22,2,11,9,0,0,0,12,19,22,1,0,0,0,0,0,0,0,5,28,23,0,0,0,0,0,0,0,1,0,3,50,22,22,24,20,45,23,45,28,7,14,11,5,9,9,14,44,24,173,6,1,2,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,2,14,133,0,3,6,12,21,84,37,11,10,8,40
142,2,1,1,2,2,1,0,1408,30008,72592,85282,70169,55606,46161,31634,11642,1599,0,1577,18283,50818,78296,90135,78342,51593,28929,7547,581,1,19804,90609,102139,78900,49583,32896,20916,8249,2908,96,3516,3260,5973,8481,18345,40170,82565,124214,99703,19409,465,2684,8583,29480,58657,84151,98482,70836,39353,11235,2491,149,0,28,1399,22347,152137,169344,49454,9460,1798,134,0,0,27,1135,21217,192272,131858,48329,9506,1644,113,0,1878,19082,72495,90618,74149,58135,39171,28594,16252,4753,974,1427,2249,5180,7280,18907,52065,113998,155021,45497,4400,77,3441,2209,2666,5423,11739,20850,37278,73958,135691,107054,5792,20,214,2714,18948,64153,85601,84257,74066,55447,17276,3405,983,30542,102217,126043,75793,36414,18596,9525,3459,2091,438
143,2,1,1,2,1,1,10,0,0,2,0,0,2,0,0,0,0,28,11,6,0,0,9,0,9,0,0,0,42,3,20,5,13,1,14,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,140,35,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,117,0,65,16,37,38,0,0,0,0,0,259,42,0,0,0,0,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,60,160,0,0,0,0,0,0,0,0,3,47,0,0,4,10,6,64,6,7,1,4,50
144,2,1,1,2,1,1,17,3531,11821,11070,10816,11732,12946,20623,43253,72864,1646,23,1483,6645,11220,11326,15382,33737,59426,41018,19766,293,75,1876,12874,31345,31802,32396,28989,26890,22449,11510,113,65,384,1297,2746,7071,13072,20865,39882,55557,55819,3561,124,5106,25656,31830,32069,29722,24310,22169,18244,10336,753,0,6,33900,38453,22887,35126,29343,16201,15038,6029,3336,0,5,28084,43888,29857,29227,28416,17764,13210,6754,3114,74,4779,24977,31616,29069,26237,22212,21099,20651,17213,2392,50,109,636,1412,3886,14148,34177,76752,51796,17169,184,105,1685,4809,8339,13974,20975,30318,40046,50044,28706,1318,247,458,2102,10178,21422,24345,27472,32599,38646,42404,446,737,40448,51898,36721,24759,16440,12017,8555,5382,2998,364
145,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,3,6,0,0,0,0,3,5,8,3,6,8,2,0,26,4,2,2,0,1,0,0,0,0,0,6,18,8,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,29,9,0,0,0,22,38,36,23,14,14,7,0,64,29,16,8,10,8,6,8,5,17,4,38,4,2,1,1,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,5,23,0,0,0,3,7,19,10,3,1,2,10
146,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,3,6,26,0,0,0,0,4,13,11,2,11,24,26,45,10,8,6,7,3,1,2,8,12,10,16,40,11,14,11,7,2,18,14,7,0,0,0,0,0,0,0,10,34,2,0,0,0,0,0,0,0,0,10,31,5,0,0,0,0,0,22,31,10,11,18,17,25,27,50,16,3,3,9,3,10,10,8,17,39,114,0,0,0,0,0,0,0,0,0,30,130,0,0,0,0,0,0,0,0,0,63,0,0,2,5,47,82,6,0,0,0,40
147,2,1,1,2,1,1,0,0,0,0,21,387,5444,24970,91740,145288,3383,0,0,0,319,3937,9952,31493,71363,115765,38126,278,0,366,7750,16958,32597,59416,64534,55345,27284,6939,44,1912,2230,4639,7796,11918,18448,31587,55276,81681,53997,1749,1288,5053,15697,36306,54052,55429,44704,31755,19209,7181,559,0,11,62601,113614,48933,29408,12483,3007,1154,22,0,0,16,63284,114609,51685,25705,11839,3145,922,28,0,744,6281,19436,37191,45835,45647,40120,34228,27293,13259,1199,699,545,909,2044,4528,13817,35848,102502,94774,15442,125,1174,2616,7390,16212,24767,35060,53721,62259,49734,17783,517,0,5,212,2271,9457,20425,33567,51826,78862,72352,2256,481,34021,74286,58949,35347,21825,16618,13895,9554,5600,657
148,2,1,1,2,2,1,0,0,0,0,29,1991,14034,40096,104621,136295,7624,0,0,46,1550,10429,22092,35241,66340,120242,47462,1288,0,1878,18543,26799,38035,64801,70985,45462,25791,11981,415,924,1371,3142,7052,14933,30081,56511,85847,77361,26305,1163,1361,12740,25788,39865,56824,60183,45572,29462,20056,11243,1596,0,18,68166,166643,49692,17277,2798,96,0,0,0,0,16,75118,162629,47460,16318,3044,105,0,0,0,832,15282,29121,41524,51345,51082,42696,32121,23104,15066,2517,200,627,893,2130,6395,22773,54857,100572,95111,20277,855,85,1647,8564,17771,25956,40829,64495,73792,48907,21109,1535,0,1,95,1746,7795,18076,32619,56642,93475,91433,2808,1585,34899,74227,73145,46891,27345,17878,13079,8931,6046,664
149,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,1,6,5,0,0,2,2,6,7,3,5,9,12,3,33,7,4,2,2,1,2,5,0,0,0,21,16,11,7,5,4,7,4,2,0,0,0,0,0,0,0,0,4,6,6,7,3,0,0,0,0,2,9,5,6,6,2,0,0,6,8,26,17,5,14,15,3,23,2,64,8,6,11,3,9,11,8,12,26,10,59,3,1,0,0,0,0,0,0,0,10,80,0,0,0,0,0,0,0,0,6,21,0,0,1,4,5,35,13,5,1,3,34
150,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,24,2,3,3,2,0,1,0,0,0,0,28,22,5,3,2,5,1,0,1,3,0,65,3,2,1,3,0,0,0,1,2,0,71,6,5,1,1,4,2,1,0,0,0,24,2,0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,31,27,21,8,6,3,2,4,3,4,3,100,3,1,1,2,1,0,3,1,5,2,50,8,11,5,0,1,5,1,1,0,14,83,0,1,0,1,0,4,0,2,5,28,4,1,5,8,15,27,15,5,5,3,22
151,2,1,1,2,1,1,6308,41252,54805,66921,63109,55565,52599,35518,22846,6950,4603,22721,78096,89178,79026,52421,41709,24044,9859,5510,6201,1711,47579,151927,90340,52978,31556,15415,8820,3927,2678,5253,3,63749,31446,21915,27065,32737,39810,52989,50435,49315,38615,2400,37267,139738,77913,58119,40918,25161,16218,7864,4020,3132,126,5,56485,212018,105955,25564,7441,2362,631,15,0,0,5,60752,201516,112006,27132,6008,2446,597,14,0,0,74736,102828,75489,48909,38953,25118,18316,12328,6655,3909,3235,74500,18226,17979,27802,66138,94673,87932,15951,2662,4604,9,9841,4077,3452,4389,8788,16422,28285,54276,100323,100221,80402,97,865,2659,7068,15200,23712,35727,56447,96603,163057,9041,55645,102386,89277,64001,35175,22520,15326,10770,6443,7344,1589
152,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,6,1,1,6,2,0,1,5,3,4,31,12,15,2,17,5,2,5,1,7,1,204,4,1,0,2,2,2,2,0,0,0,287,52,11,2,2,4,7,5,1,0,0,0,0,0,106,34,0,0,0,0,0,0,0,0,0,139,53,0,0,0,0,0,0,171,165,156,120,114,50,48,11,22,32,0,813,48,32,32,9,7,5,4,15,49,1,106,1,0,0,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,0,0,51,1,3,6,9,29,91,33,5,2,6,236
153,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,1,1,1,5,6,6,56,19,3,2,2,5,6,9,7,5,12,144,3,3,2,0,0,1,1,0,5,9,118,22,14,6,5,5,4,1,6,5,3,26,34,0,0,0,0,0,0,0,0,0,36,32,6,0,0,0,0,0,0,0,0,86,73,23,16,18,20,18,8,18,16,26,241,15,16,11,10,10,12,5,4,16,31,138,6,2,1,2,4,0,0,0,0,60,190,3,0,0,1,0,2,1,0,5,56,8,6,5,14,23,91,20,6,4,6,52
