census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5
366,1,1,1,1,1,1,195713,139810,155807,90621,2901,176092,103476,141428,152959,10897,138866,89837,138781,191626,25742,60300,151883,187999,157688,26982,78710,72886,91644,176985,164627,151150,404216,29329,157,0,152797,400383,31517,155,0,99423,78319,107106,188295,111709,124362,118094,143323,168579,30494,4639,64825,258864,131061,125463,310725,149545,67358,38371,18853,67487,78706,105309,156590,176760
368,1,1,1,1,1,1,255435,218259,139863,163421,7151,251377,200259,121937,189944,20612,158596,226954,151029,218102,29448,50328,228748,361788,138416,4849,76220,138660,172116,218435,178698,18,288519,485276,10307,9,15,275981,499406,8717,10,102364,184785,151603,204532,140845,167225,248422,184611,166384,17487,4598,152374,210331,268644,148182,358278,231794,95115,67044,31898,48915,190358,164608,144059,236189
370,2,1,1,1,1,1,64887,181164,260552,114247,3792,87535,202015,215766,108363,10963,101160,169923,194390,143726,15443,47292,118363,279569,158511,20907,74190,92860,110315,197519,149758,1667,388616,189156,5907,39296,1685,383382,194578,5696,39301,108973,112344,140260,187389,75676,76821,176623,212411,141281,17506,21737,37454,232606,241992,90853,294264,147515,76070,45129,61664,56277,137840,125259,138398,166868
371,1,1,2,1,1,1,24675,53238,108211,41248,1586,37891,71520,74072,43084,2391,65072,48732,61053,51192,2909,53944,41540,81252,47364,4858,58036,30382,35113,61937,43490,4,179907,48359,687,1,2,177318,50985,652,1,67093,33748,44130,66058,17929,70467,54337,57132,42190,4832,42057,15649,79720,57007,34525,81873,50347,29514,20219,47005,51262,37567,41922,48047,50160
372,2,1,1,1,1,1,339919,206068,143848,34447,1944,362622,180521,126781,52365,3937,347738,160010,137856,75793,4829,59985,228447,317910,108369,11515,243558,144767,122264,149904,65733,5860,587406,130014,2943,3,5024,582779,135799,2623,1,303532,139899,131244,123953,27598,259305,242731,145584,71773,6833,19888,22021,143844,200169,340304,196539,163174,128471,159499,78543,239609,170929,128821,105929,80938
373,2,1,1,1,1,1,73400,81856,71698,67240,9187,70394,68474,63579,83307,17627,72612,61362,65205,87546,16656,31220,62261,120209,81171,8520,50571,44697,51698,85674,70741,60,104545,147631,51099,46,54,101252,152478,49565,32,64591,48678,57575,84268,48269,60197,74690,72863,80673,14958,17938,50570,94423,67686,72764,114878,89259,41600,31853,25791,49399,55964,53917,64988,79113
374,2,1,1,1,1,1,348941,265831,230969,177185,30845,360415,251331,228270,175861,37894,337302,247484,245256,188085,35644,94694,355863,394147,188135,20932,220292,226465,211415,265379,130220,14035,749353,285736,4417,230,14159,741120,294297,4010,185,288694,229137,219676,231029,85235,274629,329899,246803,169986,32454,22571,108764,278941,322536,320959,244934,300845,226376,196592,85024,182793,281813,240993,197285,150887
375,1,1,1,1,1,1,218561,236805,190810,213674,37099,166835,222051,172439,273383,62241,99934,233110,187686,300265,75954,69143,206823,369167,229936,21880,47629,121636,183647,280109,263928,21,172045,590168,134460,255,27,164237,603975,128494,216,61456,164082,188848,272108,210455,143188,227260,222078,255600,48823,17487,244661,284047,247039,103715,422007,286150,106755,54176,27861,42369,140888,177178,195743,340771
376,1,1,1,1,1,1,0,0,0,0,0,3,6,11,4,4,0,21,37,13,6,120,6,0,0,0,119,40,6,3,0,0,2,2,1,57,0,14,2,4,54,60,86,73,48,20,210,23,15,23,16,99,0,0,0,70,200,0,0,0,35,0,1,150,2,60
377,2,1,1,2,1,1,0,0,0,0,0,3,9,3,1,12,0,14,15,7,20,53,8,8,10,5,55,18,10,12,3,0,5,27,0,0,0,4,32,0,0,3,47,33,25,32,65,11,12,14,45,61,3,0,1,40,100,0,1,0,34,4,20,72,8,22
378,2,1,1,2,1,1,0,0,0,0,0,4,6,5,1,12,2,11,17,5,21,102,6,7,12,6,104,39,15,24,0,0,51,3,0,0,0,56,0,0,0,15,86,20,43,32,120,8,31,13,38,67,5,0,0,110,220,0,0,0,35,4,20,130,6,70
379,2,1,1,2,1,1,0,4,5,14,33,0,2,10,33,67,0,2,29,48,68,92,12,29,16,19,91,23,37,44,8,0,0,6,55,5,0,0,0,60,8,0,0,95,52,98,45,56,12,30,109,180,3,0,0,30,130,0,0,0,142,0,12,187,9,51
380,2,1,1,1,1,1,1775,147919,29292,3556,3671,23658,135255,20016,3332,3952,67564,107901,5124,2326,3298,48387,37044,46907,41316,12559,64889,87441,23706,6443,3734,0,166165,18487,1560,1,0,163420,21239,1553,1,88914,81893,8226,3360,3820,56399,63314,52044,10722,3734,16415,4614,14550,87084,63550,3536,12271,35071,72967,62368,57587,110566,11301,3176,3583
381,1,1,2,1,1,1,3721,111319,119383,145138,43128,29839,143228,106440,108157,35025,61013,145799,88891,96230,30756,94453,141710,95498,60969,30059,36809,101822,108087,123573,52398,114,159465,171522,90840,748,118,149178,182550,89985,858,59484,124596,85185,102642,50782,81433,107113,144992,63015,26136,56379,98788,98337,104272,64913,56293,135608,116535,75659,38594,38142,100981,71410,75637,136518
382,1,1,1,2,1,1,17950,118668,97415,63987,13392,33771,119754,76090,66652,15145,63732,109824,55800,67344,14712,37300,72966,117040,65762,18344,42738,77673,70285,79295,41421,8,165790,120522,24285,807,4,161632,125897,23273,606,62156,93328,51651,71627,32650,42721,92273,107128,59364,9926,16912,52738,69431,99365,72966,60972,80004,73021,58449,38966,42808,102372,51756,49951,64525
383,1,1,1,1,1,1,28823,107475,127382,183685,33291,39757,100315,118198,182244,40142,37227,92797,115666,197179,37787,90508,191642,141533,49424,7549,21649,59287,98090,199929,101701,162,42916,210969,221969,4640,171,40012,216679,219453,4341,32453,81537,105493,181962,79211,72399,119563,155861,111024,21809,36795,202232,134336,85989,21304,122748,205129,98827,37645,16307,10555,49897,79281,106771,234152
384,1,1,1,1,1,1,68369,154013,207550,210877,43557,72726,187392,155103,218951,50194,74399,164139,168045,232390,45393,147709,178014,219493,128081,11069,60371,101846,144289,236565,141295,2425,110085,321211,243278,7367,2428,106100,328540,240417,6881,72414,122484,167570,220189,101709,150159,148653,175933,174054,35567,29530,226905,242066,129658,56207,184054,252120,132431,72992,42769,42608,84817,128128,175695,253118
385,1,1,1,1,1,1,1127,99952,155494,139346,20613,45479,153652,98201,102368,16832,51919,141344,108112,101093,14064,152249,206407,49082,5096,3698,31440,80490,124602,143953,36047,20,70574,194899,149878,1161,21,65421,200986,148920,1184,41244,106227,117164,116300,35597,142195,126197,98828,41063,8249,30711,127679,152248,92325,13569,61016,159453,118573,57299,20191,4651,48255,88541,112117,162968
386,1,1,2,1,1,2,1048,43904,62424,134650,52126,22389,62023,78403,98246,33091,36836,62172,77956,93178,24010,79638,127804,64267,17151,5292,20512,53246,74576,104877,40941,186,67203,146032,80709,22,178,61728,152165,80059,22,32429,61955,68761,85433,45574,54788,86343,89822,53013,10186,53408,92835,70093,53293,24523,26876,103697,85572,55248,22759,11017,44890,53721,61936,122588
387,2,1,1,2,1,1,987,61894,113140,158005,45702,23466,141738,113441,86983,14100,96484,163338,74936,37895,7075,175699,82060,75704,37971,8294,163053,97010,63655,46991,9019,163,294098,76704,8763,0,142,285981,85002,8603,0,177992,105698,51990,35377,8671,161340,105480,84568,22464,5876,106420,53351,75791,95833,48333,8960,31378,60881,90497,188012,136979,111393,63437,36438,31481
388,2,1,1,1,1,1,97304,138964,241242,362046,65221,102400,222308,233727,321770,24572,136920,230657,289258,232493,15449,171751,285435,231818,164829,50944,67933,138813,241946,355027,101058,1411,123837,454663,299705,25161,1438,119080,461433,295551,27275,95713,193008,251778,296218,68060,176694,227494,294999,190771,14819,24018,213477,305687,233248,128347,130771,399429,231603,97549,45425,59861,148866,228826,231441,235782
389,1,1,1,1,1,1,330218,58863,26950,15169,615,261462,104477,42971,21893,1012,269920,92636,47685,20888,686,28430,67089,120001,150029,66266,70434,144276,123145,78521,15439,5876,176765,170819,71417,6938,5949,175035,172952,70444,7435,121040,160569,85429,55316,9461,96515,145380,125635,61370,2915,1184,1688,28337,99767,300839,120171,163399,90442,46078,11725,106979,189364,90507,36825,8139
390,1,1,1,1,1,1,743796,62338,37718,16131,1292,692820,109678,38409,18261,2107,619870,138051,66063,34452,2839,180877,288051,230036,115491,46820,287429,279519,167990,101727,24610,181665,573879,100009,5720,2,182221,574145,99742,5164,3,430258,212578,118472,78793,21174,447399,266682,109975,34642,2577,1117,31068,84924,154004,590162,277231,259503,163276,108048,53217,280422,291691,143970,83824,61368
391,2,1,1,1,1,1,98423,68294,101106,58425,8469,106867,75514,76169,64267,11900,101337,71488,72755,75165,13972,65139,82252,117432,59399,10495,74774,63562,65935,87411,43035,21750,176765,121513,14392,297,21683,176425,122640,13641,328,95390,62203,66874,78994,31256,100085,81924,73388,65264,14056,15471,44609,107948,76233,90456,77578,108666,66934,48173,33366,60234,73109,71291,72882,57201
392,2,1,1,1,1,1,36491,72377,96011,44502,4167,40219,76390,81282,47451,8206,43333,67348,74180,59642,9045,15633,63944,123638,44715,5618,36100,39644,57382,85130,35292,1696,176483,73087,2280,2,1671,176711,73211,1953,2,49941,47204,67467,69332,19604,33203,88664,73129,48768,9784,12986,22016,91876,84192,42478,69835,84366,44969,32330,22048,32809,49777,62631,63791,44540
393,2,1,1,1,1,1,103085,194993,261357,136194,9060,112741,175821,234871,161544,19712,104461,142376,204279,218728,34845,28690,132058,329407,188146,26388,28641,93816,153095,267033,162104,5190,346561,338862,13675,401,5202,344621,342617,11855,394,72820,112397,177469,246337,95666,49729,181173,214213,212467,47107,11039,81315,310725,191054,110556,324557,239367,100877,25468,14420,33284,113732,165939,212181,179553
394,2,1,1,1,1,1,47443,95376,107765,137028,26900,20450,93203,97587,126898,76374,11570,65453,108508,138398,90583,48987,96325,109133,111021,49046,4316,11536,46802,141721,210137,93,38402,75862,73734,226421,77,36164,79182,69678,229411,5307,16335,58084,129911,204875,36888,85906,83787,122508,85423,12638,170285,161879,60123,9587,310663,81304,15351,4497,2697,628,13416,38914,75503,286051
395,2,1,1,1,1,1,378849,163027,213451,85892,2975,345430,189898,197688,100205,10973,332734,164256,193443,138497,15264,100800,221680,285515,170775,65424,156682,177970,193044,232340,84158,98402,486241,252727,6728,96,97849,485899,254605,5735,106,261156,159271,193815,184773,45179,215797,243169,211024,155951,18253,14642,55048,255433,189003,330068,278660,276681,151419,84368,53066,202484,162843,180419,179387,119061
396,2,1,1,1,1,1,617259,118243,42738,6157,269,560325,156847,51880,14919,695,508362,162794,84882,27583,1045,109987,180456,251522,172676,70025,194649,242278,183429,138308,26002,84180,583657,107695,8884,250,85204,583992,107464,7712,294,349301,204287,136819,85846,8413,298432,263414,157156,63125,2539,2587,8531,77194,184984,511370,260269,255888,150665,76377,41467,242447,261243,142928,84466,53582
397,2,1,1,1,1,1,87825,134699,148910,157200,36646,49360,98625,112731,188682,115882,41411,69265,101501,203629,149474,41632,110013,180673,196279,36683,13219,22702,46594,130724,352041,4734,55814,101945,150331,252456,4648,55416,105085,143904,256227,23781,27730,48918,120147,344704,44930,83387,117566,203781,115616,56955,240043,143589,75861,48832,449341,86744,16558,6082,6555,12620,33116,46672,61091,411781
398,2,1,1,1,1,1,0,0,0,0,0,27,14,10,7,12,1,38,21,15,30,95,15,9,5,9,72,39,18,18,7,0,6,0,4,40,0,4,3,11,38,1,65,48,49,47,97,17,26,32,52,100,21,11,2,40,128,7,8,11,56,0,4,123,27,39
399,2,1,1,1,1,1,0,0,0,0,0,5,3,0,0,6,7,13,0,6,9,41,2,1,5,0,42,15,5,8,0,0,0,38,0,0,0,0,58,0,0,7,112,22,41,28,124,29,8,18,31,44,0,0,0,20,80,0,0,0,18,0,0,54,2,30
400,1,1,2,1,2,1,445952,220452,51353,8352,916,420415,201420,79577,22570,3043,440241,169475,80657,33020,3632,63729,253109,199587,155011,55589,121834,244370,168735,144129,47957,290,379311,328970,18296,158,296,383741,328167,14639,182,222231,252687,138062,91902,22143,282704,201078,134456,100421,8366,3902,12015,50687,178035,482386,236216,226103,169080,76987,18639,94472,335335,174756,75338,47124
401,1,1,1,1,2,1,998656,491519,160428,64632,6077,822573,473060,276767,135168,13744,804837,404280,330670,165612,15913,122422,433431,555328,472393,137738,361174,391147,350036,431021,187934,119942,915727,598115,69011,18517,121565,926167,592250,63114,18216,528911,413871,352067,331959,94504,503720,478145,401841,297224,40382,15132,35222,241171,516464,913323,640125,449655,328422,227172,75938,351438,542508,419965,267899,139502
402,1,1,1,1,3,1,252963,176197,152485,49262,1725,230055,147054,173859,78526,3138,188532,128755,193405,115965,5975,73863,185047,204298,143735,25689,95348,108443,125364,192234,111243,180193,434415,17999,25,0,182795,431436,18380,21,0,133227,119033,146216,178076,56080,154748,171661,161878,126072,18273,3022,29203,228014,189805,182588,293253,169947,90462,56424,22546,84267,118517,139628,161941,128279
403,2,1,2,1,2,1,236817,187214,209537,128380,6358,243876,198642,211962,104504,9322,242888,185112,213100,117454,9752,34412,153093,312569,232514,35718,117337,161918,165908,230590,92553,4751,571336,178788,7064,6367,4778,571538,179222,6384,6384,195428,158488,179777,191156,43457,139397,263895,233764,118551,12699,12375,27102,182466,274990,271373,237594,235062,157561,98127,39962,124620,214630,200736,147052,81268
404,1,1,2,1,2,1,384867,156197,87767,64611,22647,346151,138039,88741,86632,56526,359229,120388,95804,95083,45585,46806,101359,216435,268161,83328,197950,136579,125651,159117,96792,186,290287,142826,120464,162326,198,293890,140585,119929,161487,269778,135149,108483,128318,74361,174304,199130,136951,153640,52064,28069,51882,84232,138035,413871,218558,200663,135823,111673,49372,231176,181624,151239,83171,68879
405,2,1,2,1,2,1,6958,23511,82390,230160,75945,2401,13977,51914,187455,163217,1711,12948,46158,194992,163155,12574,37375,129893,177127,61995,7945,6994,17186,109732,277107,0,44882,31955,16219,325908,0,45136,32134,14832,326862,6852,8694,21770,112045,269603,8469,19691,83666,168054,139084,54967,231622,99434,29857,3084,193623,188612,18443,7708,10578,5813,12295,28287,75595,296974
406,2,1,2,1,2,1,249029,197855,151023,243221,64707,221313,169011,149643,217184,148684,204499,147838,165173,243364,144961,35006,207121,319462,279038,65208,67430,121519,166262,251529,299095,5,135685,297634,115914,356597,5,134322,302854,111345,357309,105202,142193,170628,199666,288146,89148,211655,231339,251895,121798,37987,286705,179313,165551,236279,359466,354277,127248,51448,13396,70884,162299,177919,144194,350539
407,2,1,2,1,1,1,261062,131363,47125,17259,842,210402,155618,59073,29397,3161,180560,151502,77589,43132,4868,67831,170751,142314,66810,9945,75725,128904,129661,89156,34205,246,164653,234707,45711,12334,249,166808,237560,40021,13013,110661,141543,112183,74377,18887,115523,155715,119707,61246,5460,3161,28695,85173,158063,182559,140846,130801,117885,57980,10139,38594,167971,130301,75680,45105
408,2,1,2,1,2,1,282878,380985,155002,47137,1327,286302,340668,164533,71231,4595,253832,296320,196134,111608,9435,124503,369206,270713,90783,12124,74046,208328,237915,235170,111870,79,250389,531604,85053,204,97,249355,542973,74634,270,143649,232312,220388,206123,64857,225274,309002,209966,111616,11471,9409,60129,249216,342729,205846,354266,254997,169478,71723,16865,33608,213132,249708,169876,201005
409,2,1,2,1,2,1,56922,239377,347315,259336,23928,55020,227161,330167,273142,41388,37963,202921,327337,310987,47670,131671,402739,287219,97023,8226,27058,99730,279621,370664,149805,543,58520,356692,411706,99417,583,58763,365220,398646,103666,24277,129851,311812,334949,125989,104770,264641,306507,216837,34123,39287,288604,411130,166798,21059,250383,364634,199917,80239,31705,13895,72860,240501,300131,299491
410,2,1,2,1,2,1,74311,302462,260071,542947,160441,16899,246420,234349,487725,354839,7366,126827,277953,550408,377678,153468,365983,407243,332934,80604,6331,15464,83353,476403,758681,14,21562,46796,113042,1158818,14,21043,48785,104911,1165479,5232,18142,88352,433338,795168,92043,224345,286037,453973,283834,188735,734293,317578,88033,11593,840008,434323,39997,17190,8714,4443,16891,54378,136028,1128492
411,2,1,2,1,2,1,17441,62300,130620,218882,80819,22205,41612,96960,172628,176657,21445,26429,71794,191339,199055,14446,44265,136366,217983,97002,8664,14457,23360,89541,374040,312,75532,67988,14584,351646,308,76025,68569,13407,351753,15681,18072,35179,103325,337805,15851,37508,97288,174929,184486,38308,258001,142051,48297,23405,400538,82109,15836,6862,4717,7331,22992,31300,58720,389719
412,2,1,2,1,2,1,32291,132493,99146,129532,42122,6005,118459,108756,121951,80413,10809,69095,125942,151141,78597,59851,138774,105731,92639,38589,10388,13013,33849,168107,210227,22,6683,15320,68782,344777,22,6639,15999,62326,350598,11680,15912,38902,156468,212622,34079,113769,93601,125346,68789,26639,222672,114561,52904,18808,283276,113185,14463,11677,12983,12982,18646,28602,46877,328477
413,2,1,2,1,2,1,184272,200600,162078,147496,33612,211902,170335,153401,128966,63454,168179,161182,166197,172270,60230,135499,316856,156995,90240,28468,82848,116103,104850,189901,234356,33,147875,246389,199022,134739,36,143093,257844,187072,140013,113165,115829,103273,193902,201889,250129,168943,120398,123095,65493,7506,176175,256844,170550,116983,411071,143540,89450,66193,17804,38838,122886,92185,95891,378258
414,2,1,1,1,2,1,202275,336319,249473,243148,71614,93909,276091,247753,310574,174502,67143,240229,231434,364464,199559,86885,292919,363118,310984,48923,8621,67408,156249,348649,521902,6067,28667,248562,629848,189685,6200,26605,265169,611317,193538,14263,86618,176720,317864,507364,98588,239808,257790,335626,171017,87610,361018,316623,268107,69471,734687,271484,70286,19756,6616,4895,76141,156221,198809,666763
416,2,1,1,1,2,1,1,2,3,12,31,0,2,23,23,57,14,15,30,30,58,119,6,6,13,10,91,29,14,24,3,0,21,25,2,0,0,10,38,4,0,9,44,46,44,46,78,19,16,22,54,186,1,0,0,10,80,0,0,0,135,14,18,123,27,34
418,2,1,2,1,1,1,0,0,0,0,0,48,10,5,19,16,66,35,36,27,25,281,24,3,7,0,227,59,26,17,0,0,27,61,12,0,0,27,72,7,0,59,73,124,90,46,297,44,39,37,59,191,13,8,7,184,359,4,6,4,81,10,28,211,38,97
419,1,1,2,2,2,1,0,0,0,0,0,0,3,26,12,64,0,5,46,26,84,143,17,30,20,28,96,55,40,30,24,0,0,0,74,2,0,0,0,80,0,0,77,49,78,90,119,10,38,35,106,198,0,0,0,110,200,0,0,0,135,1,34,234,25,14
420,1,1,2,2,2,1,0,254,7237,242579,250826,37,1643,32254,344182,122780,738,16962,108750,316950,57496,8804,67380,130890,236793,57029,3399,23914,152171,287032,34380,21,35338,160467,239498,65572,17,36222,170181,222946,71530,3419,34826,126361,265296,70994,2456,8208,90938,298490,100804,14717,177908,209981,88753,9537,1448,42097,263040,172566,21745,8221,117044,195939,154183,25509
421,3,2,3,3,2,2,212,6974,110915,345342,119709,1930,46348,126824,309146,98904,6068,53874,150879,265697,106634,34879,104953,146769,231881,64670,6721,40381,127009,236765,172276,84,38645,162923,264726,116774,78,38579,170055,259243,115197,8894,50946,116273,223684,183355,12430,51075,132791,269789,117067,16430,242016,211765,92933,20008,155642,163302,168119,79695,16394,18030,85903,140702,136636,201881
422,2,1,2,2,2,1,0,261,21981,148415,39804,166,5758,39089,142725,22723,341,14166,74620,104704,16630,6310,33107,50144,98575,22325,978,12298,67866,101939,27380,12,15019,75953,95728,23749,13,15474,79928,89191,25855,1662,16247,59364,103571,29617,1730,11688,54328,113580,29135,1940,49249,101610,53687,3975,15628,52950,92414,44937,4532,2768,48990,78526,56649,23528
423,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,70,0,0,0,3,144,32,28,11,52,94,0,42,44,131,63,0,0,0,0,92,0,0,0,0,104,0,0,0,98,315,0,1,40,46,361,186,0,0,0,100,300,0,0,0,87,0,8,240,12,90
424,1,1,2,1,2,1,1553,50156,238228,255166,16334,4073,82601,221687,232572,20504,11154,81035,191816,242093,35339,18787,52007,137860,283851,68932,8639,23915,118431,222277,188175,436,11670,160606,341280,47445,472,11913,172192,328741,48119,9625,51515,121710,224486,154101,11969,29469,135664,327964,56371,5695,82772,269076,165617,38277,268566,177478,85770,19734,9889,11078,98212,132996,140188,178963
425,1,1,2,1,2,1,715,67341,350606,483663,57443,5538,91902,250415,521989,89924,4962,59779,212178,543752,139097,41685,144319,221249,445938,106577,8339,22344,108663,446132,374290,2,7358,181105,471283,300020,2,7652,191028,450134,310952,6930,40006,135687,454629,322516,14711,80585,223381,494734,146357,13650,345205,439704,146725,14484,482782,290386,152708,24226,9666,6479,64459,204357,293159,391314
426,1,1,1,1,2,1,15110,161869,340097,223914,41893,21476,172003,246813,274062,68529,6845,72755,256607,351377,95299,132719,222651,197851,190304,39358,7554,26202,126677,364500,257950,0,8822,220957,384173,168931,0,9269,239485,356264,177865,6275,36272,123974,378552,237810,50849,219397,214539,221606,76492,15924,393109,289441,76027,8382,435426,195293,118848,26907,6409,5518,42504,122362,163048,449451
427,1,1,2,1,2,1,25884,471938,539752,85970,2585,54309,536476,424977,106132,4235,31509,465865,452701,169000,7054,307265,493255,250246,67225,8138,43676,315997,432466,268773,65217,106,79572,551115,446987,48349,106,76949,575531,422551,50992,24775,293581,480949,276675,50149,167606,430948,393615,126912,7048,11726,244636,519095,327352,23320,212167,259054,364200,248480,42228,6183,189554,437481,334739,158172
428,1,1,2,1,2,1,32869,183939,252114,311415,26862,19193,166851,287832,291992,41331,14819,141073,278923,310889,61495,87395,177757,277722,223730,40595,7910,32424,213538,340976,212351,214,63963,333650,287669,121703,210,58111,349741,270692,128445,9001,57832,187873,365113,187380,20442,158581,311586,264442,52148,22980,266235,269106,217678,31200,377439,186824,190721,42954,9261,6003,70606,183930,240168,306492
429,1,1,2,1,3,1,28599,239911,412969,137332,8982,54790,215703,348409,185231,23660,28768,226595,322021,212790,37619,125616,243042,277580,167190,14365,21925,103376,287046,283001,132445,7985,162875,445387,196065,15481,10384,157249,463503,180117,16540,20209,133565,279768,274425,119826,93630,214480,288270,201448,29965,18836,193811,352297,230646,32203,266851,216473,229871,94923,19675,20233,139956,233662,182000,251942
430,1,1,2,2,3,1,15611,185306,371798,119464,5527,35194,169460,323057,155939,14056,31085,229268,251570,144629,41154,73328,198401,283144,130830,12003,21950,126631,272490,164604,112031,3989,292272,371860,29545,40,12340,276756,383065,25491,54,16758,156063,265687,153658,105540,62091,171757,270302,161074,32482,6614,140672,262003,261747,26670,169063,145228,250906,119437,13072,10848,169295,247147,109221,161195
431,1,1,2,1,2,1,191443,180855,90583,36908,3047,183490,155236,96284,58571,9255,103539,183671,118983,82451,14192,97427,220441,129979,49426,5563,37570,129755,155790,117554,62167,2471,178277,273060,48938,90,2460,168800,284489,46994,93,40696,167780,135171,107841,51348,169676,157004,96172,64134,15850,7320,62959,175230,202756,54571,164067,192757,91777,40432,13803,8083,111205,171270,116250,96028
432,3,1,3,1,2,2,754,72630,191456,176894,17966,5594,108679,140815,165087,39525,8154,77652,121730,182551,69613,80015,67333,143288,153392,15672,37595,60103,72754,117636,171612,2471,10791,197607,244913,3918,2181,10406,202996,241229,2888,14536,73750,90652,132931,147831,48553,63800,117733,188194,41420,27031,206121,147730,65351,13467,226522,70171,53634,61391,47982,11564,58337,118477,84492,186830
433,1,1,3,1,2,1,2031,177350,264573,166250,11033,21436,236285,188637,155144,19735,16601,199421,195843,181487,27885,305914,153314,105430,50664,5915,176986,177973,134701,85046,46531,4013,16867,154917,428863,16577,3626,16633,160240,426936,13802,56032,248059,172556,101744,42846,202650,155923,146634,100652,15378,127650,274096,149315,59795,10381,49201,48722,98735,200090,224489,31033,146487,275011,105627,63079
434,2,1,3,1,2,1,959,156753,240611,124174,6134,7707,159695,213565,139936,7728,1940,94234,220066,196701,15690,285949,151923,65300,23933,1526,72453,150314,188209,110054,7601,0,1464,20774,191674,314719,0,1412,21952,199253,306014,8304,139831,208993,164678,6825,141414,173960,137688,69646,5923,150960,266341,84844,24146,2340,6286,69857,169733,184069,98686,2853,51098,214431,208193,52055
435,2,1,3,1,2,2,756,137863,326040,185481,16413,3285,170680,288216,184375,19997,874,96900,323676,218745,26358,322393,170311,112435,57625,3789,75067,163559,263471,152286,12170,0,1520,36874,345161,282998,0,1506,42340,334202,288505,5239,135780,286318,226723,12493,159378,183374,187260,119459,17082,151258,328181,139408,44951,2755,2698,96391,250094,204412,112958,1916,56312,287161,281179,39985
436,2,1,3,1,2,1,1319,161536,319830,195516,12311,2738,173327,264130,221061,29256,3016,83544,275431,282043,46478,257239,218247,150504,62073,2449,55563,144157,290687,192939,7166,2,2709,70945,487196,129660,2,2732,82552,463666,141560,3882,127779,299947,252638,6266,98204,165834,255190,150706,20578,184641,290971,144906,63537,6457,8694,140658,236311,206910,97939,2999,63116,326421,260025,37950
437,2,1,3,1,2,1,2448,184807,392216,172780,6560,8909,244262,313884,178378,13378,3634,123963,308691,296917,25606,206418,277124,218284,54924,2061,28860,116559,275215,281349,56828,2,24322,291113,414988,28386,2,25054,313973,386215,33567,3663,100059,289709,328094,37286,79431,208629,313031,143330,14390,66969,340963,262258,82540,6081,148659,226593,218576,126571,38412,2525,56672,245610,293413,160591
438,2,1,3,2,1,1,13999,321643,368356,170474,11962,29602,267465,337711,235420,16236,3585,148967,364382,339829,29671,559675,212790,83245,28084,2640,149954,265081,290097,137611,43691,0,2075,42698,297693,543968,0,2057,45652,300663,538062,19471,225750,367524,227306,46383,285215,300915,191715,97802,10787,363167,416062,84590,20717,1898,52604,81079,213213,329148,210390,7831,57630,320214,375194,125564
439,3,2,3,3,3,3,1636,82326,204323,126534,11627,6330,96943,183768,126348,13057,2296,63733,187893,155063,17461,161749,147936,88184,27082,1495,27290,75866,195180,121248,6862,15,13369,104975,236167,71920,13,13555,115369,220540,76969,3421,63003,174824,181074,4124,49085,126868,163028,79258,8207,54916,218426,112839,37231,3034,21469,79856,173592,109850,41679,1809,40852,150368,186903,46514
440,3,1,3,2,1,1,2350,115632,354297,378843,21672,5668,164534,383727,308686,10179,1772,80209,339396,437770,13647,499112,313162,54018,6151,351,107731,291497,291938,172567,9061,172,18986,62473,204214,586949,174,19166,64877,198401,590176,12588,253709,365165,237683,3649,166428,328495,291587,85335,949,366009,372836,116566,15573,1810,35844,99199,152488,334843,250420,6703,117874,310007,316563,121647
441,2,1,2,2,1,1,35565,270459,212182,67965,2105,33921,212110,225620,114557,2068,5462,100305,229303,249264,3942,418282,145546,21537,2550,361,68387,193133,206169,113804,6783,0,620,11479,55235,520942,0,631,12550,50935,524160,10690,127541,250234,192824,6987,189896,254967,120062,22981,370,256888,250536,62886,15205,2761,47247,93857,131072,220327,95773,5916,40056,173317,229746,139241
442,2,1,3,1,2,1,5589,214462,280259,163939,8717,8510,165419,231995,238917,28125,3234,82932,224201,312012,50587,292784,214193,117327,45926,2736,60790,152359,257654,192104,10059,2,2612,55677,300767,313908,4,2494,65071,286841,318556,3948,125928,275566,258125,9399,120048,163218,215767,153508,20425,251968,268534,111378,36937,4149,9685,105539,239090,227619,91033,1858,45166,266226,320487,39229
443,2,1,2,2,2,1,0,0,0,0,0,0,3,2,1,8,0,3,9,6,17,30,3,7,3,6,26,13,5,9,3,0,2,20,4,0,0,7,24,19,0,5,65,59,61,76,112,15,23,35,102,44,0,0,0,20,60,0,0,0,17,4,11,42,5,10
