census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8
245,3,2,2,1,2,1,198268,9981,5637,4521,4057,4452,7744,32551,188323,16836,7984,5399,5434,5542,10507,27186,158048,32595,16583,10966,8595,7799,10325,22300,161268,27570,15539,11635,10856,10540,11314,18489,159050,32220,19572,16039,14559,13978,9266,2527,251254,13928,1789,219,21,0,0,0,251696,13574,1706,214,21,0,0,0,139875,41960,24700,19229,15334,13242,9224,3647,182099,20641,12148,8837,7283,6256,8066,21881,57638,17458,13934,15010,18140,22842,39090,83099,65160,16093,12213,10492,9517,12169,22738,118829,101062,57816,26802,18004,13048,9867,8696,31916
246,3,2,3,1,1,1,560598,9447,3571,2357,1854,1821,3079,12236,555981,13341,4153,2737,2521,2278,3940,10012,528996,29047,11526,5864,4033,3125,3957,8415,281363,54200,38542,30787,35114,31824,45050,78083,383139,93801,41504,25713,20816,16453,10208,3329,548986,43499,2131,290,36,14,3,4,553315,39391,1952,257,27,13,4,4,442782,75546,28287,17130,11542,9626,6982,3068,406912,53587,40050,24050,24599,17304,18782,9679,18327,11524,10987,12651,19111,29255,67114,425994,155345,64870,47210,38533,32834,38147,55553,162471,349587,127681,42566,22790,14004,9523,7718,21094
247,3,1,2,1,1,1,605562,9460,3864,2848,2117,2390,4426,48432,608586,10313,3398,2394,2667,2782,5989,42970,603764,13138,6219,3777,3392,3406,6208,39195,289182,54609,41471,33030,39065,35389,50893,135460,494648,94726,40084,19398,12130,6010,4542,7561,648603,30450,43,3,0,0,0,0,653326,25731,39,3,0,0,0,0,566086,68669,15918,7808,4362,4365,4016,7875,440096,53354,42703,23027,27991,21358,29424,41146,41562,17760,13954,11157,16701,22595,46468,508902,94924,63194,49990,45602,41612,49665,78002,256110,534974,103652,19700,12023,4176,2181,1235,1158
248,3,2,3,3,2,2,359389,10770,3904,2002,1107,813,462,30,360976,12964,3804,1933,1169,441,183,15,364238,12975,4550,1665,636,191,73,10,140262,30711,23319,19811,24763,23811,36901,87481,265555,65641,30724,16204,10941,4228,794,84,350088,47076,192,4,1,0,0,0,355111,42094,152,3,1,0,0,0,322305,49973,12242,4739,1510,633,206,29,224419,33656,31159,18718,23593,17162,24237,2513,2605,1705,1967,2499,5482,10366,26316,333398,56200,45372,39111,34564,28557,30697,42596,104388,328290,43152,8504,4036,1916,711,310,140
249,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,5,2,6,18,0,1,6,12,11,3,20,24,72,14,8,5,4,7,2,0,51,26,20,15,17,7,4,0,0,0,0,0,0,4,33,11,0,0,0,0,0,0,42,8,0,0,23,50,17,33,49,17,76,5,4,10,16,23,24,38,95,2,0,1,0,0,0,50,150,0,0,0,0,0,0,45,0,0,1,67,55,7,5,43
250,3,2,2,1,2,1,0,0,0,0,0,0,0,0,9,1,2,0,0,0,6,3,10,5,5,3,4,2,5,1,48,2,4,0,2,0,0,0,57,11,6,3,7,0,0,0,0,0,28,0,0,0,0,0,0,0,34,0,0,0,0,0,23,31,29,19,10,11,17,0,106,14,6,2,4,2,25,2,35,0,0,0,0,0,0,30,90,0,0,0,0,0,0,25,0,1,9,39,11,3,0,41
251,3,2,2,1,2,1,0,0,0,0,2,2,0,10,0,0,0,0,9,11,6,44,0,0,0,13,9,6,24,39,43,14,11,5,5,13,7,14,34,15,17,15,11,18,12,4,0,0,0,0,0,0,12,28,0,0,0,0,0,0,7,33,0,0,7,28,12,16,37,40,66,21,12,10,20,17,50,77,113,0,0,0,0,0,0,30,80,0,0,0,0,0,0,90,0,3,32,71,36,2,0,20
252,3,1,2,1,1,1,22256,483,308,358,353,396,1266,20078,20911,689,454,525,649,861,2561,18799,19027,1209,1113,964,1124,1594,2617,17841,14028,2241,1456,1342,1336,1668,2565,21078,34273,4489,3302,3149,1743,741,122,7,48394,745,11,2,0,0,0,0,48461,680,9,2,0,0,0,0,31692,4813,2544,3010,3099,1453,263,5,19338,2617,1994,1781,1900,1894,2904,13683,11901,5876,8821,1253,907,560,569,13462,2069,1101,824,629,551,677,958,28836,39570,621,83,15,14,4,4,1
253,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,0,0,0,0,10,2,17,6,21,9,5,1,1,3,2,0,7,13,15,7,3,4,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,3,17,0,0,0,19,5,30,14,9,11,13,0,10,16,9,14,11,39,0,0,0,0,0,0,10,50,0,0,0,0,0,0,16,0,2,3,22,26,0,0,10
254,3,2,2,1,2,1,227428,715,111,43,41,50,76,252,218639,8739,827,108,58,52,83,210,223078,4647,550,115,61,42,72,151,37667,15671,12896,12581,15269,18452,27732,88448,117206,42722,25618,19648,13877,7980,1542,123,62608,154897,10629,551,31,0,0,0,63955,155170,9047,516,28,0,0,0,165467,46963,11213,3332,1120,384,107,130,96787,26795,18331,16733,16658,19635,28384,5393,20,37,112,211,400,763,2860,224313,64610,32775,25071,20633,18215,19049,21055,27308,199709,24121,3837,836,157,36,16,4
255,3,2,3,1,2,1,158534,966,282,171,162,181,376,2257,160912,2432,460,237,216,212,573,1853,159541,5641,2191,687,325,272,557,1442,76722,16557,11480,8830,10794,9978,15306,24586,135600,22009,10464,5633,4326,2760,1813,1316,184464,4049,131,36,20,7,3,0,184952,3573,122,35,21,5,2,0,149312,15372,6867,4047,1645,1085,742,1347,110977,14510,12026,6067,6370,3533,3157,2400,155,775,2201,1799,2439,3956,11326,148005,28383,19651,16323,12843,10733,13012,20880,45070,135593,17899,8639,5127,2698,1789,1470,1038
257,3,2,2,1,2,1,0,0,0,0,0,0,0,0,2,1,1,2,0,2,3,3,1,5,3,4,3,4,4,4,37,5,0,0,0,3,4,0,35,18,12,1,3,5,3,0,21,27,0,0,0,0,0,0,28,28,0,0,0,0,0,0,7,26,34,48,29,31,22,13,124,30,8,22,16,6,7,32,33,1,0,0,0,0,0,30,90,0,0,0,0,0,0,18,0,1,2,21,31,6,1,41
259,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,31,33,84,0,0,0,0,66,52,87,96,207,86,35,32,50,32,35,27,24,168,68,78,71,68,44,11,0,0,0,15,85,58,0,0,0,0,0,23,84,55,0,0,0,0,15,112,106,98,156,87,101,102,40,21,32,60,133,92,355,4,0,0,0,0,0,290,540,0,0,0,0,0,1,191,0,1,15,249,243,58,12,46
261,1,2,1,1,1,1,180759,3415,683,416,284,273,478,2364,169060,12521,1398,484,290,344,614,1966,173353,6934,1222,570,359,307,489,1446,32978,12895,10466,10179,11593,15132,25406,64010,68947,40930,28305,19637,11689,4748,1326,1365,67046,86563,19844,570,50,5,1,0,69495,88045,15998,491,44,6,0,0,114353,48600,8996,2855,1459,1005,675,1033,71046,25406,18526,20233,15824,17688,17536,4682,264,357,595,779,1479,2649,9512,167024,35252,29492,24472,18797,13293,13293,17281,25067,114947,43424,11205,4291,1372,638,472,598
262,1,2,3,1,2,1,140204,33247,4361,1378,362,81,99,335,160048,15175,3139,1019,237,76,123,250,161094,13608,3325,1242,422,104,105,167,39861,22145,18330,18507,16319,19357,23830,21718,90925,39548,23642,13075,7452,3744,1402,278,166939,12559,535,16,0,0,0,0,167523,12007,504,15,0,0,0,0,125244,36974,9271,4127,2237,1426,662,125,84751,31835,21160,17454,13984,7399,3189,300,7,65,387,1864,3618,6415,20535,147176,12571,18160,19898,18137,16606,20176,31242,43276,101552,55779,11467,5093,2844,1562,836,933
263,1,2,2,1,1,1,138054,2175,347,117,46,21,25,33,134922,4604,785,286,103,62,32,24,126218,11312,2218,690,263,78,31,8,48820,14249,9644,9497,9234,12218,16960,20196,70309,21217,16862,13067,9917,6589,2622,235,132844,7224,545,174,26,5,0,0,133114,6977,517,179,28,3,0,0,84919,32858,13051,5231,2725,1357,631,46,78430,16819,12570,11788,10536,6950,3622,103,11,47,221,678,1751,4389,16904,116817,41086,15940,11751,9073,7966,9262,14806,30934,63948,48767,16538,6477,2824,1208,568,488
264,1,2,2,1,1,1,110883,53894,7802,1674,983,803,1352,4547,149886,21267,3225,1327,767,691,1632,3143,159201,13309,2962,1294,869,938,1412,1953,36680,19153,15764,17522,16290,20449,26200,29880,84976,42935,26176,13675,6852,3696,2240,1388,173356,8186,362,32,1,0,0,1,173781,7773,346,36,1,1,0,0,123753,38873,8609,3779,2206,1741,1610,1367,74714,30356,21917,18463,16457,10558,6255,3218,1738,877,1086,2233,3721,6147,19481,146655,9652,15287,18320,18711,18274,22898,33588,45208,104804,55898,11709,5529,1973,836,471,718
265,1,2,3,1,2,1,37536,17584,11372,9006,8831,5732,399,4,48047,16946,9972,8727,5212,1482,77,1,52473,15323,9740,7489,4466,942,31,0,11355,11447,14897,16935,10663,7627,7947,9593,22416,19352,18064,12803,8946,7300,1574,9,59058,31402,4,0,0,0,0,0,59821,30640,3,0,0,0,0,0,35227,26384,10857,7977,6992,2859,158,10,23118,21036,16805,13071,10198,4622,1608,6,168,458,1080,5040,8548,10202,14937,50031,6109,12717,14063,13236,11465,11154,11032,10688,25206,28874,12079,8988,6294,4508,3178,1337
266,3,2,3,1,2,1,223775,2146,573,342,249,225,377,892,217776,6845,1382,636,408,358,502,672,204220,16873,4012,1459,785,419,434,377,87150,21787,14958,14451,13928,18429,26305,31571,124183,34406,24445,18352,13383,9192,3899,719,222614,5793,165,7,0,0,0,0,223090,5340,146,3,0,0,0,0,149947,45561,17755,8043,4031,1944,958,340,135877,24965,17504,17945,14318,10741,6012,1217,46,322,652,1413,3324,7172,27033,188617,60526,26680,19158,15088,13417,15891,25155,52664,113310,72848,25392,10281,3995,1529,742,482
267,3,2,2,1,1,1,272633,2838,500,112,28,22,50,118,264429,9005,1987,499,181,56,66,78,256351,14373,3587,1235,514,136,58,47,101196,21739,15350,14110,14408,17723,27848,63927,150308,39081,28650,24399,17762,11067,4397,637,246638,25302,3330,508,310,158,55,0,248373,23981,2969,490,292,145,51,0,186621,56335,18281,7264,4038,2473,1224,65,155979,26111,16777,20443,16409,22430,17719,433,102,253,628,1684,3845,7800,24992,236997,85588,29830,19217,15454,14043,16810,26641,68718,167387,72410,21209,8459,3560,1692,866,718
270,1,2,3,1,2,1,158742,4218,839,338,151,103,113,275,156634,5602,1286,541,260,123,158,175,148662,11619,2621,1012,487,159,123,96,49629,20972,15270,15565,13956,17194,19065,13128,80596,32408,23569,15457,7912,3541,1121,175,155554,9072,144,8,1,0,0,0,156057,8570,140,11,1,0,0,0,102124,42251,12400,4359,2191,1052,330,72,93005,26709,17897,13202,8388,3669,1666,243,208,506,707,1385,2673,5527,17705,136068,32236,24051,18181,14242,12132,13870,19910,30157,71431,60630,19936,7506,3032,1316,603,325
272,1,2,2,1,1,1,276995,54614,25762,18459,6276,3472,462,498,295921,56444,18897,9722,4101,881,217,355,258850,72661,30409,15774,7074,1324,169,277,138452,67203,40831,33569,31071,27407,26677,21328,156429,62252,49972,42814,34816,27076,12327,852,315657,66329,3660,753,129,10,0,0,321001,61386,3384,656,100,11,0,0,182797,87947,47983,28244,20138,14399,4747,283,220720,61349,48909,29587,16150,7005,2396,422,189,2172,8565,18505,28536,43920,81166,203485,96166,58466,40920,31827,25520,27463,39978,66198,113429,99408,57622,37821,24933,17767,14281,21277
273,1,2,1,1,1,1,96420,48093,43634,71640,75246,87667,35730,6044,146790,131754,106312,60249,10045,2922,2325,4077,190609,227438,31089,6442,2693,1698,1418,3087,108705,86616,55869,50954,51442,42733,41795,26360,236443,99257,63466,36398,15063,7952,3441,2454,433334,29806,1090,184,46,11,3,0,436689,26571,1006,152,45,8,3,0,301140,115816,23950,10321,6088,3578,1683,1898,184893,81913,78454,60127,34947,14898,5243,3999,819,2271,4329,10650,28256,73429,167079,177641,12501,16639,21262,29273,35980,51958,97794,199067,210454,172133,43648,18862,8935,5024,3043,2375
274,1,2,2,1,1,1,129563,119613,68443,68784,53778,26757,7325,30317,218397,168602,60102,14359,7370,4478,7098,24174,285250,145564,25607,11768,6555,4372,6823,18641,106155,95950,56594,53170,54131,45375,48834,44371,200707,106290,75483,50960,26481,17839,12189,14631,442371,59630,2194,323,55,7,0,0,448017,54211,2023,273,48,8,0,0,270907,133513,36297,17701,12646,10942,8430,14144,210192,89123,73622,52576,29323,15828,10781,23135,4812,10744,11110,15286,24285,50621,148431,239291,24497,37430,41624,44488,45126,57818,106361,147236,153428,198860,61281,37357,24737,11448,7303,10166
275,1,2,2,1,2,1,0,70,724,12403,12077,16211,11536,0,748,10223,10860,11127,11042,8938,83,0,3883,10715,13501,10280,11731,2905,6,0,28022,19337,3902,1135,432,148,40,5,16825,4579,6320,5880,5729,8645,5024,19,29641,23256,90,29,5,0,0,0,31001,21906,84,25,5,0,0,0,15623,6050,6036,5584,5797,9986,3937,8,21991,9719,12472,7624,1088,109,18,0,7858,10936,14094,11213,5470,2602,749,99,1268,5594,6228,4869,4396,5735,7442,17489,7647,7191,4708,4763,4981,4127,4245,15359
276,1,2,2,1,2,1,899,3305,3485,10936,15813,29751,14580,0,2740,9220,13183,19173,20831,13362,260,0,2632,10072,20176,20938,18309,6595,47,0,29780,37178,7821,2520,1074,315,80,1,11461,7031,8762,11108,11234,14160,14741,272,34027,44215,445,72,8,2,0,0,37563,40721,414,63,8,0,0,0,10457,9211,10699,11275,11149,15099,10845,34,22000,17904,22797,12959,2697,356,56,0,2175,14058,22788,19448,11611,4796,3071,822,6429,15371,11361,8767,7534,8885,9432,10990,3068,6331,6324,7725,8569,7824,7267,31661
277,3,2,3,3,3,2,0,2,1,1834,7813,14137,8296,1155,3,5335,11339,8981,4218,2011,725,626,1151,21069,5760,2566,1338,653,600,101,2926,11155,7024,4428,2927,2413,1851,514,12434,10107,5287,2432,1331,1172,435,40,26282,6956,0,0,0,0,0,0,26378,6860,0,0,0,0,0,0,17734,9287,2561,1413,917,981,294,51,4890,11954,7616,5283,1996,598,589,312,62,145,1123,2966,4635,8155,12591,3561,7,53,456,998,1573,3501,10137,16513,8194,14858,4645,2588,1275,692,540,446
278,1,2,3,1,2,1,1827,5577,6778,10990,14661,39452,22590,5,5142,11788,13528,21345,31529,18313,235,0,4681,12226,21152,24922,31790,7094,15,0,47287,43377,5860,2566,1697,840,241,12,11928,9486,13458,13936,16980,22160,13759,173,33314,67888,597,79,2,0,0,0,36562,64713,534,70,1,0,0,0,10933,9964,13336,13446,16562,26887,10685,67,25560,28728,32831,12775,1747,222,17,0,4236,29220,27254,18270,9194,6708,5542,1456,8363,17225,14565,12538,10493,11416,14443,12837,3447,6616,6739,9476,11168,9843,10669,43922
279,1,2,2,1,1,1,407758,76827,7380,1563,230,44,25,26,438125,48454,5067,1699,379,84,38,7,421839,53461,12309,4442,1401,351,44,6,146245,67206,47738,45180,49330,50307,56508,31339,229768,107046,71580,41882,23138,13836,6120,483,360251,128373,3971,738,297,166,56,1,367975,120965,3756,664,289,149,54,1,311188,114202,35693,16247,9581,5387,1520,35,264865,76956,61796,46213,27853,13129,2996,45,548,840,2023,4964,10792,26763,87499,360424,76792,55846,55135,50405,44989,48945,66429,95312,197981,169123,58636,28902,15831,9651,6626,7103
280,1,2,2,1,1,1,214138,97596,24938,9022,3289,1628,107,5,265690,69513,9032,4157,1804,429,90,8,292549,38961,11124,5135,2295,536,107,16,76631,57271,35536,33926,35947,30731,39249,41432,158710,86944,51964,27762,12716,7493,4583,551,260831,86381,2714,614,143,35,5,0,275829,71671,2521,552,116,29,5,0,235257,78198,16545,8107,5849,4555,2092,120,165743,56364,48437,35972,23224,14774,6078,131,131,979,3319,6093,9049,17978,58706,254468,27381,33250,35676,37303,36804,42935,61779,75595,169720,112586,27480,14294,8648,5821,4448,7726
281,1,2,2,1,1,1,245224,79879,4979,1700,729,341,168,13,300960,25999,3043,1270,886,561,303,11,308438,18081,3008,1560,906,629,375,36,37692,34933,37145,37402,41353,48187,53754,42567,119537,100923,66465,32722,8902,2746,1401,337,43732,285095,3865,283,41,13,2,2,57806,271686,3246,240,41,11,1,2,208930,106580,10922,3625,1745,938,281,12,126310,78765,48624,36063,25571,14258,3089,353,2,39,135,483,1882,5164,26996,298332,25373,42278,44331,45102,41491,44001,50018,40439,124205,180139,20126,5731,1768,658,262,144
282,1,2,3,1,2,1,12558,66806,35613,22000,8449,2500,442,2,78412,59218,7355,1985,1093,256,51,0,119947,23461,2898,1346,543,129,46,0,14786,23767,21895,20658,18743,20529,19237,8755,55904,45627,28707,12993,3052,1443,582,62,62454,85082,805,24,4,1,0,0,72297,75421,625,23,4,0,0,0,95342,43431,5269,2378,1195,635,118,2,50901,40709,25690,17406,9873,3335,420,36,53,54,134,495,1855,6193,31379,108207,2232,6539,13468,18112,18755,22094,33923,33247,44586,86915,10385,3701,1530,681,366,206
283,1,2,3,3,2,1,245256,84760,50452,19705,3500,1695,1191,3182,288358,97174,11209,4392,2629,1706,1706,2567,326892,55255,12676,5856,3091,2096,2159,1716,63503,53232,45264,45414,49314,53991,60535,38488,137139,98697,74486,57091,23316,10631,6038,2343,136653,226827,35833,7048,1983,659,367,371,145733,219353,34839,6601,1884,628,332,371,200806,143617,32063,13707,8403,6226,4064,855,154929,85037,66441,48886,31549,15462,4402,3035,151,1213,2425,5020,8579,18973,74276,299104,39527,58369,56166,49553,41517,43172,55842,65595,110665,203359,50100,23646,11573,5368,2492,2538
284,1,2,2,1,2,1,334514,19975,4397,1587,956,935,1263,3501,313914,35321,7219,3059,1666,1578,1918,2453,261164,69504,21302,7130,2808,1916,1850,1454,47705,54258,56983,53517,62428,47721,36502,8014,60429,111083,77909,60387,33091,16104,6715,1410,21069,74142,162048,63914,22275,11482,7620,4578,21479,82086,163984,56595,20759,10737,7002,4486,102150,146263,54976,23571,14116,13192,10340,2520,139710,107839,69178,29207,12956,3730,2158,2350,48,4581,8098,9484,12489,21496,65070,245862,70379,81209,70636,56233,37126,26554,17691,7300,46551,150380,71955,37461,20250,12174,8456,19901
285,1,2,3,1,1,1,114832,9035,1596,336,81,35,2,0,106498,15349,2683,854,335,162,36,0,92763,23232,7217,1762,663,242,38,0,13079,15978,17223,18031,21541,18564,17628,3873,20553,35136,28308,24063,11644,4973,1209,31,138,52637,48395,13856,5597,2585,1721,988,147,55133,47664,12766,5236,2432,1558,981,33928,54181,18694,8443,4773,3779,2009,110,39218,37158,27945,14003,6441,1067,83,2,28,1160,1565,2038,3615,6836,21041,89634,22550,29906,23610,17679,12305,9832,7558,2477,15550,58107,22989,12004,6664,3774,2452,4377
286,1,2,2,1,2,1,415880,64549,9122,2228,765,246,75,3,417052,61833,9433,2714,1157,518,156,5,392484,74385,17363,5732,1956,764,172,12,44792,61060,66466,65534,75378,72347,75511,31780,109504,152660,118274,76346,26081,8212,1669,122,8390,258784,125673,64559,20585,6872,4131,3874,11006,258634,129887,61135,18218,6366,3790,3832,189979,216250,51034,18830,9000,5284,2297,194,159169,139296,97452,57946,30797,7329,799,80,525,2826,3095,5007,8967,19414,72039,380995,43715,92590,90685,78204,61070,53924,47404,25276,91523,262464,77248,31411,14099,6830,3659,5634
287,1,2,1,1,2,1,49428,90898,52076,14204,4816,1674,1285,2583,84911,104070,19722,4112,1313,749,1264,823,103881,90789,14915,4506,1447,764,641,21,20094,41299,40585,34728,31266,25372,19105,4515,40159,64763,56366,38813,12966,3133,691,73,17,69158,69264,46109,20702,7022,3153,1539,37,70426,69361,47149,19241,6383,2882,1485,60166,100716,37462,11827,4600,1786,365,42,61648,70344,44226,24126,10578,2873,2089,1080,420,898,1586,4048,9470,24697,71566,104279,5345,21210,33454,34840,33010,34578,36938,17589,23657,93762,58275,24758,9648,3944,1898,1022
288,1,2,1,1,3,1,173826,26946,5660,1808,766,480,766,4130,169534,31379,5739,1845,816,656,1290,3123,137166,51025,15025,4866,1723,1063,1446,2068,33090,32334,29109,26219,28691,25829,24029,15081,52153,55093,40877,35031,19465,7687,3171,905,71,74653,48646,46355,23050,9655,6688,5264,80,75853,51489,45656,20803,9147,6170,5184,70370,75810,35996,16776,7739,4149,3077,465,86719,50242,35140,20574,12002,4921,1909,2875,415,2360,4744,6733,8785,15076,44107,132162,35126,40970,35439,28209,21605,19506,22072,11455,41556,77971,42947,24576,12801,6755,3890,3886
289,1,2,2,1,2,1,14268,56806,49992,66866,51490,63280,26339,16,60238,93965,74996,58080,29067,11758,946,7,80460,119892,76226,32731,14366,5074,292,16,82949,129609,60114,28469,15453,8007,3511,945,52841,101291,82698,45316,25046,14063,7472,330,423,282063,42281,4028,262,0,0,0,486,288296,36798,3303,174,0,0,0,59060,134333,64852,34715,18532,12493,4966,106,109729,130113,56253,20104,8794,3500,484,80,1220,7730,20027,43493,65726,66741,67777,56343,6323,20724,35104,45727,48864,58031,66576,47708,11031,82430,86470,58535,36371,22928,16491,14801
290,1,2,1,1,2,1,41216,159495,79148,34365,20538,7238,2028,1,154653,118417,41745,13281,11270,4302,353,8,177016,106609,35835,14167,7386,2723,277,16,61779,100430,78032,45523,32087,16786,7814,1578,58410,116411,87403,40287,22705,12110,6413,290,49,256885,84495,2584,16,0,0,0,52,269703,72575,1693,6,0,0,0,83723,158044,49391,26264,14160,9126,3249,72,172220,108492,27603,21034,9192,4748,661,79,1597,2420,5131,13829,33523,60904,100554,126071,11343,32866,51642,64265,57443,54157,45557,26756,10809,126946,95594,52928,28172,15817,9506,4257
291,1,2,1,1,1,1,61877,128054,30053,14324,6291,4747,2183,49,157831,60318,13282,6789,5108,3397,823,30,166245,53387,13085,6956,4283,3078,518,26,28071,64760,54711,39010,27233,18860,11268,3665,46174,94292,57715,25021,11904,6895,5255,322,244,218481,27950,805,96,2,0,0,415,223003,23467,613,80,0,0,0,86116,108182,26325,12344,6657,4491,3320,143,112443,77112,27747,14924,8756,5353,1142,101,3153,717,2244,4822,12805,26589,68914,128334,6830,21319,36371,47720,45009,43040,34258,13031,12556,119962,60027,27492,13178,6845,4090,3428
292,1,2,1,1,1,1,19754,81944,52697,35777,16087,12909,5968,1,85235,81489,25042,14799,10606,7240,726,0,108006,71699,20737,12436,6982,5061,214,2,30078,75301,50177,29406,16863,11826,7458,4028,43122,78138,48279,26956,13235,9314,5934,159,1146,203989,19674,318,10,0,0,0,1563,207668,15644,258,4,0,0,0,72868,87303,28956,15477,8801,7376,4303,53,92307,73826,29032,12444,10992,5588,873,75,311,883,5511,11211,23586,34524,72015,77096,4126,14471,24357,32255,37466,45221,50614,16627,10826,92211,56195,29184,15707,9161,6567,5286
293,1,2,1,1,1,1,130371,161425,47052,19094,9783,3648,964,154,215759,106283,29792,13157,5698,1418,310,74,201888,121244,30124,12488,5537,1034,146,30,29317,82206,86432,74254,49458,30844,15283,4697,66113,125943,90977,49591,24531,12462,2816,58,11688,300637,59035,1093,38,0,0,0,12677,309026,49803,947,38,0,0,0,115778,160405,52653,24691,12801,5252,803,108,109147,136790,77697,33601,11832,2950,461,13,831,470,1046,5550,18457,44478,120054,181605,17624,46123,60582,63498,58985,59577,50566,15536,25912,164877,102711,43245,19320,9661,4866,1899
294,1,2,1,1,1,1,54351,162335,72978,24164,8833,3177,892,4,75512,176134,53924,13900,5257,1893,114,0,78620,196788,38116,8761,3300,1121,28,0,53643,95945,75609,51167,29964,14383,4928,1095,78945,98942,65800,47558,23081,9661,2708,39,64345,259888,2415,85,1,0,0,0,78795,245871,2000,67,1,0,0,0,103885,135248,48162,22739,10036,5739,917,8,142149,105507,52849,19841,5062,1166,160,0,194,495,1502,7293,26174,90880,146987,53209,5879,22173,34901,42969,42944,55410,75144,47314,26964,114243,91745,50019,22660,10781,6279,4043
295,1,2,1,1,1,1,8230,26853,35555,32572,37309,48900,23252,920,26989,77014,59197,34925,9947,4376,908,235,55354,118673,27179,7742,3418,790,390,45,34919,59909,47743,30755,19093,11894,6929,2349,69470,76891,36772,17580,8228,3953,588,109,68815,142175,2501,92,8,0,0,0,74401,137014,2102,67,7,0,0,0,101874,74756,19484,9900,5156,1938,344,139,63091,87902,41320,14541,4619,1466,566,86,527,1042,2732,9170,23800,52116,77724,46480,292,2354,6849,12719,19467,35762,72850,63298,39916,89404,45559,20158,9227,5031,2883,1413
296,1,1,1,1,1,1,406659,122625,32270,12737,4647,2018,618,135,414231,141117,18841,4524,1879,848,197,72,366586,162223,36633,11319,3906,821,186,35,171692,139221,90909,62310,47253,38908,23856,7560,214338,147804,83416,62823,41383,23661,7927,357,272880,294427,13128,1221,53,0,0,0,290420,278401,11789,1067,32,0,0,0,256746,163994,66723,43683,28905,17719,3813,126,355769,122836,56734,27954,11079,5333,1908,96,316,909,5070,19428,43698,80204,189146,242938,76141,63995,60988,58094,56203,68698,104243,93347,134783,186783,90997,52230,35349,27511,24665,29391
297,1,2,1,1,1,1,68440,103680,44072,23142,25854,4602,307,1,116299,108448,37022,7021,1145,149,14,0,112192,131447,21068,4448,833,102,8,0,103483,79867,40583,22213,13610,7212,2819,311,86824,69632,51234,37276,17806,6083,1220,23,120671,142472,5705,1110,138,2,0,0,130660,132851,5343,1120,123,1,0,0,101300,93794,40288,20577,9558,3988,586,7,170374,63477,22549,9038,3580,984,93,3,748,461,2140,10495,32827,67666,113068,42693,10390,23301,31494,33657,30756,35389,52061,53050,19675,92066,64392,37225,22941,14823,10107,8869
298,3,2,3,1,2,1,212675,71832,15562,5633,2624,2472,658,297,217006,65491,17248,6988,3231,1144,570,75,170809,76839,33331,18771,8770,2653,559,21,117682,61403,35241,24369,20266,19830,18480,14482,94675,64291,42143,35170,31150,27865,15399,1060,122034,165500,20370,3427,377,44,1,0,127670,161834,18801,3091,320,36,1,0,113060,69215,34631,28687,27356,24596,13181,1027,166203,63114,36262,20124,13653,9146,3166,85,905,2230,10583,32248,40863,43420,64545,116959,78595,40862,30176,26499,24837,28535,35600,46649,71445,76511,32602,22827,19083,18181,20142,50962
299,1,1,2,1,2,1,191953,186983,36850,4861,837,226,147,156,321494,88093,9778,1865,383,161,129,110,243939,134675,35130,6667,1215,196,129,62,242321,74136,37133,25377,19214,14648,7456,1728,157211,112171,62607,47077,29894,11182,1778,93,172633,201628,37797,9529,421,5,0,0,184714,192780,36048,8206,262,3,0,0,169270,102289,50140,40163,37516,19502,3013,120,327835,63967,20556,6388,2319,659,188,101,1312,7787,36859,47195,45880,56753,100024,126203,30852,51451,47304,47096,47510,59159,77416,61225,79277,105476,51757,35872,27805,23489,23872,74465
