census_code,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,ASSET_2011,ASSET_2001
440,2,2,3,3,1,1,3,3,2,2,1,1,3,3,1,1
441,2,2,2,2,1,1,3,2,1,2,1,1,3,2,1,1
442,2,2,2,2,1,1,2,3,1,1,1,2,3,3,1,1
443,1,1,2,2,1,1,2,2,1,2,2,2,2,3,1,1
444,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3
445,2,2,2,2,1,1,3,3,1,1,2,2,3,3,2,1
446,1,1,2,2,1,1,2,3,1,1,2,2,2,2,1,1
447,2,2,2,2,1,1,2,3,1,1,2,2,3,3,1,1
448,1,2,2,2,1,1,3,3,1,1,2,2,3,2,2,1
449,1,1,2,2,3,1,3,3,1,1,2,2,1,2,2,1
450,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1
451,3,3,2,3,3,1,3,3,1,1,2,2,2,3,2,2
452,2,2,2,2,1,1,2,3,1,1,2,2,2,3,1,1
453,2,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1
454,2,2,2,1,1,1,2,2,1,1,2,2,3,3,1,1
455,2,2,1,3,1,1,3,3,1,1,2,2,2,3,1,1
456,2,2,2,2,1,1,2,2,1,1,2,2,3,3,1,1
457,2,2,2,1,1,1,2,2,1,1,2,2,3,3,1,1
458,2,2,2,2,1,1,2,2,1,1,2,2,2,3,1,1
460,2,2,2,1,1,1,2,2,1,1,2,2,3,3,1,1
462,2,2,2,1,1,1,1,1,1,1,2,3,3,3,1,1
464,2,2,2,2,1,1,2,2,1,1,1,1,3,3,1,1
466,2,2,3,3,1,1,3,3,1,1,2,2,3,3,1,1
468,3,3,3,3,3,1,3,3,1,1,3,2,2,3,2,2
469,2,2,3,3,1,1,2,2,1,1,2,2,3,3,2,1
470,2,2,3,3,1,1,3,2,1,1,3,2,3,3,2,1
471,1,1,3,3,3,1,3,3,3,1,3,2,3,3,2,1
472,2,2,3,3,1,1,3,3,1,1,2,2,3,3,2,1
473,1,3,3,3,3,1,3,3,3,3,3,2,2,3,3,2
474,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
475,1,2,3,3,1,1,3,3,1,2,3,2,2,3,2,1
476,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2
477,1,1,3,3,3,1,3,3,3,2,3,2,2,3,3,2
478,1,1,3,3,3,1,3,3,3,2,3,3,2,3,3,2
479,1,1,3,3,3,1,3,3,1,2,3,2,2,3,3,2
480,2,2,3,3,3,1,3,3,2,2,3,2,2,3,2,1
481,1,3,3,3,3,1,3,3,3,2,3,2,2,3,2,1
482,1,1,3,3,3,1,3,3,1,1,3,2,2,3,2,1
483,1,2,3,3,1,1,3,2,1,1,2,2,2,3,1,1
484,2,2,2,1,1,1,3,2,1,1,2,1,3,3,1,1
485,2,2,2,2,1,1,3,1,1,1,1,1,3,3,1,1
486,1,1,3,3,3,3,3,3,3,3,3,2,2,3,3,2
487,2,2,2,2,1,1,3,2,1,1,2,1,3,3,1,1
488,1,1,3,3,3,2,3,3,3,2,3,2,2,3,2,1
489,2,2,2,2,1,1,2,2,1,1,3,1,3,3,1,1
490,2,2,3,3,3,1,3,3,1,1,3,2,2,3,2,1
491,3,2,2,2,3,1,3,3,1,1,3,2,2,3,2,1
492,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2
494,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,2
495,3,3,3,3,3,1,3,3,3,3,3,2,1,3,2,2
496,3,2,2,2,3,1,3,3,3,1,3,1,3,3,2,1
497,2,2,3,3,1,1,2,2,1,1,2,2,3,3,1,1
498,2,2,3,3,1,1,3,3,1,1,3,2,3,3,2,1
499,2,2,3,3,1,1,3,3,3,1,3,1,2,3,2,1
500,2,2,3,3,1,1,3,2,1,1,2,2,3,3,2,1
501,2,2,3,3,1,1,3,2,1,1,2,1,2,3,2,1
502,2,2,1,1,1,1,3,2,1,1,2,2,3,3,2,1
503,2,2,3,3,3,1,3,2,1,1,2,2,2,2,2,1
504,2,2,3,3,3,1,3,3,1,1,2,2,2,3,2,1
505,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2
506,2,2,1,1,2,1,3,2,1,1,2,2,3,3,2,1
507,2,2,2,1,2,1,3,2,1,1,2,1,3,2,1,1
508,2,2,2,1,1,1,2,2,1,1,2,2,3,3,1,1
509,2,2,2,1,1,1,3,2,1,1,2,1,3,3,2,1
510,2,2,1,1,1,1,2,2,1,1,2,1,3,3,1,1
511,2,2,3,3,1,1,3,2,1,1,2,1,3,3,2,1
512,2,2,2,2,1,1,2,2,1,1,2,1,3,3,2,1
513,2,2,2,2,1,1,3,2,1,1,2,2,3,3,2,1
514,2,2,1,3,1,1,3,2,1,1,2,2,3,3,2,1
515,2,2,3,3,1,1,3,3,1,2,3,2,2,3,2,2
516,2,3,3,3,1,1,3,2,3,3,3,3,1,3,2,2
517,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,2
518,3,3,3,3,3,1,3,3,3,3,3,2,1,3,3,3
519,3,3,3,3,3,1,3,3,3,3,3,2,1,3,3,3
520,3,1,3,3,3,1,3,3,3,1,3,3,2,3,3,1
521,3,3,3,3,3,1,3,3,3,3,3,2,2,3,3,3
522,2,2,1,3,1,1,3,2,1,1,3,1,3,3,2,1
523,2,2,3,3,1,1,3,2,1,1,2,2,3,3,2,1
524,2,2,3,3,1,1,3,3,1,1,2,2,2,3,2,1
525,2,2,3,3,1,1,2,2,1,1,2,2,3,3,2,1
526,2,2,3,3,1,1,2,2,1,1,3,2,3,3,2,1
527,2,2,3,3,2,1,3,3,3,1,3,2,3,3,2,1
528,2,2,3,1,3,1,3,3,1,1,3,2,3,3,2,1
529,1,1,1,1,3,1,3,3,1,1,3,2,3,3,2,1
530,2,2,3,3,3,1,3,3,3,3,3,2,3,3,3,2
531,2,2,3,3,3,1,3,3,3,1,3,2,3,3,2,1
532,2,2,2,1,1,1,3,2,1,1,3,3,3,3,2,1
533,2,2,3,3,1,1,3,3,1,1,3,3,3,3,2,1
534,2,2,3,1,1,1,3,3,1,1,3,2,3,3,2,1
535,2,2,3,3,1,1,3,2,1,1,3,3,3,3,2,1
536,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
537,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2
538,2,2,3,3,1,1,3,2,1,1,3,2,3,3,2,1
539,2,2,3,3,1,1,3,2,1,1,3,2,3,3,2,1
540,2,2,3,3,1,1,3,2,1,1,2,2,3,3,2,1
541,2,2,3,2,3,1,3,2,1,1,3,2,3,3,2,1
542,2,2,2,1,1,1,3,2,1,1,3,2,3,3,2,1
543,2,2,2,1,1,1,3,2,1,1,3,3,3,3,2,1
544,1,1,3,1,3,1,3,2,3,1,3,2,2,3,2,1
545,1,1,3,1,3,1,3,2,1,1,3,2,1,3,2,1
546,2,2,3,3,3,1,3,2,1,1,3,2,2,3,2,1
547,2,2,3,3,3,1,3,3,3,1,3,2,2,3,2,1
548,2,2,3,2,3,1,3,2,3,1,3,2,3,3,2,1
549,2,2,3,2,1,1,3,2,1,1,3,3,3,3,2,1
550,2,2,3,3,1,1,3,2,1,1,3,3,2,3,2,1
551,2,2,3,3,1,1,3,3,1,1,3,2,2,3,2,1
552,2,2,3,3,1,1,3,2,1,1,3,3,3,3,2,1
553,2,2,3,3,1,1,3,3,1,1,3,3,3,3,2,1
554,2,2,3,3,1,1,3,2,1,1,3,2,3,3,2,1
555,2,2,3,3,1,1,3,3,1,1,3,1,2,3,2,1
556,2,2,3,3,1,1,3,2,1,1,2,1,3,3,2,1
557,2,1,3,2,1,1,3,2,1,1,2,2,2,3,2,1
558,1,1,3,3,1,1,3,3,1,1,2,2,2,3,2,1
559,2,2,3,3,1,1,3,2,1,1,2,1,3,3,2,1
560,2,2,3,3,1,1,3,2,1,1,2,1,3,3,2,1
561,2,2,3,3,1,1,3,3,1,1,2,2,3,3,2,1
562,1,1,3,3,3,1,3,3,1,1,3,1,2,3,3,2
563,3,3,1,1,3,1,3,3,1,1,2,1,2,3,2,1
564,2,2,3,3,1,1,3,3,1,1,2,2,2,3,2,1
565,2,2,3,3,1,1,3,3,1,1,3,1,3,3,2,1
566,2,2,3,3,1,1,3,3,1,1,2,1,3,3,2,1
567,2,2,3,3,1,1,3,3,1,1,2,1,2,3,2,1
568,2,2,3,3,2,2,3,3,1,1,2,2,2,3,3,2
569,3,3,1,1,3,2,3,2,1,1,3,1,3,3,3,2
570,2,1,3,3,2,2,3,3,1,1,2,1,2,3,2,1
571,2,2,3,3,1,1,3,3,1,1,2,2,3,3,2,1
572,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3
573,2,2,3,3,1,1,3,3,1,1,2,1,2,3,2,1
574,2,2,3,3,1,1,3,3,1,1,2,2,3,3,2,1
575,3,3,1,1,3,3,3,2,1,1,3,1,3,3,3,2
576,3,3,1,1,3,2,3,2,1,1,2,1,3,3,2,1
577,1,1,3,3,2,1,3,3,3,1,2,1,2,3,3,1
578,2,2,3,3,1,1,3,2,1,1,2,3,2,3,2,1
579,2,2,3,3,1,1,3,2,1,1,2,1,3,3,2,1
581,2,2,3,3,1,1,3,3,1,1,2,3,3,3,2,1
583,2,2,3,3,2,1,3,3,1,1,2,1,2,3,2,1
585,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3
586,3,3,3,3,3,2,3,3,3,3,3,2,1,3,3,3
587,3,3,1,1,3,3,3,3,1,1,3,2,1,3,3,2
588,3,3,1,1,3,3,3,2,1,1,3,2,2,3,3,1
589,3,3,1,1,3,3,3,2,1,1,3,3,1,3,3,1
590,1,1,1,1,3,3,3,2,1,1,2,2,2,3,2,1
591,3,3,1,1,3,3,3,2,1,1,3,2,1,3,3,1
592,3,3,1,1,3,3,3,2,1,1,3,2,1,3,2,1
593,3,3,1,1,2,3,3,2,1,1,3,3,2,3,3,1
594,3,3,1,1,3,3,3,3,3,1,3,2,1,3,3,2
595,3,3,1,1,3,3,3,3,3,1,3,2,1,3,3,2
596,2,1,1,1,2,3,3,2,1,1,2,3,2,3,3,1
597,3,3,1,1,3,3,3,3,1,1,3,3,1,3,3,2
598,3,3,1,1,3,3,3,3,3,1,3,2,1,3,3,2
599,3,3,1,1,2,3,3,2,1,1,3,2,1,3,3,2
600,3,3,1,1,2,3,3,3,1,1,3,3,1,3,3,1
601,3,3,1,1,3,3,3,3,1,1,3,3,1,3,3,2
602,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,2
603,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
604,3,3,3,3,3,1,3,3,3,1,3,3,2,3,3,2
605,3,3,3,3,1,1,3,3,3,1,3,3,2,3,3,1
606,2,2,3,3,1,1,3,3,1,1,3,3,3,3,3,1
607,2,2,3,3,1,1,3,3,1,1,3,3,3,3,3,1
608,3,2,3,3,1,1,3,3,3,1,3,3,2,3,3,1
609,2,2,3,3,1,1,3,3,3,1,3,3,3,3,3,1
610,2,2,3,3,1,1,3,3,3,1,3,3,3,3,3,1
611,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1
612,2,2,3,3,1,1,3,2,1,1,3,3,3,3,3,1
613,2,2,3,3,1,1,3,3,3,1,3,3,3,3,3,1
614,3,1,3,3,1,1,3,3,3,1,3,3,2,3,3,2
615,2,2,3,3,1,1,3,3,1,1,3,3,3,3,3,1
616,2,2,3,3,1,1,3,2,1,1,2,3,3,3,3,1
617,1,1,3,3,1,1,3,3,1,1,3,3,2,3,3,1
618,1,1,3,2,1,1,3,2,1,1,2,3,2,3,3,1
619,1,2,3,2,1,1,3,2,1,1,2,3,2,3,3,1
620,1,1,3,3,1,1,3,2,1,1,2,3,2,3,3,1
621,2,2,3,3,1,1,3,2,1,1,2,3,3,3,3,1
622,2,2,3,3,1,1,3,2,1,1,3,3,2,3,3,1
623,3,3,3,3,3,1,3,3,3,2,3,3,2,3,3,2
624,2,2,3,3,1,1,3,3,3,1,3,3,3,3,3,1
625,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1
626,2,2,3,1,1,1,3,2,1,1,3,3,2,3,3,1
627,3,3,3,3,3,1,3,3,3,1,3,3,2,3,3,1
628,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1
629,3,3,3,1,2,2,3,3,1,1,3,3,1,3,3,1
630,2,2,3,3,1,1,3,2,1,1,3,3,3,3,3,1
632,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,2
634,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2
635,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2
636,3,3,1,1,3,3,3,3,3,3,3,2,1,3,3,2
637,3,3,3,3,3,1,3,3,3,1,3,1,1,3,3,2
638,3,3,3,1,3,1,3,3,1,1,3,1,2,3,2,1
639,3,3,3,3,3,2,3,3,3,2,3,2,1,3,3,2
